"","Value","month","yday"
"1",4,"07",184
"2",15.7,"08",214
"3",12.7,"09",254
"4",8,"10",282
"5",6.3,"11",305
"6",7.3,"12",338
"7",18.2,"02",36
"8",8.3,"03",64
"9",14.6,"05",127
"10",9.6,"06",155
"11",16.8,"07",183
"12",16.2,"08",218
"13",4.9,"10",281
"14",7.2,"12",344
"15",19.2,"01",9
"16",19.4,"02",42
"17",22.3,"03",70
"18",32.6,"04",98
"19",14.7,"05",126
"20",18.7,"06",155
"21",9.6,"07",189
"22",10.6,"08",217
"23",9.5,"09",253
"24",11,"10",283
"25",6.3,"11",322
"26",4.4,"12",344
"27",21.3,"01",12
"28",25.3,"02",40
"29",15.1,"03",61
"30",11.1,"04",96
"31",22.8,"05",127
"32",15.5,"06",152
"33",9.9,"07",194
"34",19.3,"08",222
"35",16.3,"09",257
"36",10.6,"10",278
"37",9.3,"11",313
"38",12.1,"12",341
"39",16,"01",11
"40",11.1,"02",41
"41",12.1,"03",67
"42",18,"04",96
"43",8.2,"05",130
"44",7.9,"06",158
"45",8.3,"08",215
"46",6.6,"09",257
"47",5.9,"10",276
"48",5.9,"11",312
"49",5.2,"12",341
