CPR_ID		Taxon	Log10_meancellmass	Log10_SDcellmass	n	CellSize sources						
188		Rhizosolenia stolterfothii 	−2.89	−3.06	10	1, 18, 38, 44, 51–54 						
189		Schroederella delicatula  	−3.10	−3.26	7	16, 31, 38, 44, 50, 51, 53    						
190		Stephanopyxis spp. 	−2.40	−2.61	8	3, 18, 25, 30, 38, 44, 51     						
191		Streptotheca tamesis      	−2.71	−3.45	2	51, 53   						
192		Surirella spp.    	−2.41	−2.10	6	3, 38, 51 						
199		Nitzschia spp.    	−3.57	−3.00	94	11, 28, 29, 31, 35, 38, 40, 41, 44, 45, 51, 54     						
200		Odontella mobiliensis     	−2.19	−2.09	7	16, 18, 38, 44, 51, 53						
202		Asterionella kariana      	−4.40	−4.70	4	38, 51   						
205		Stauroneis membranacea    	−3.01	−3.47	3	40, 41, 53 						
217		Ceratium falcatum 	−1.91	 	1	21						
220		Amphisolenia spp. 	−1.39	−1.41	11	19, 49, 54 						
221		Ceratium arietinum 	−1.94	−2.37	8	4, 14, 21, 37, 46, 54 						
222		Ceratium azoricum 	−2.16	−3.01	4	4, 16, 21, 37      						
223		Ceratium belone   	−1.92	−1.88	2	1, 37    						
224		Ceratium bucephalum	−1.94	−2.37	8	4, 21, 46, 54      						
225		Ceratium buceros  	−2.60	−2.72	2	1, 52    						
226		Ceratium candelabrum      	−2.08	−2.26	6	1, 5, 37, 52						
227		Ceratium carriense 	−1.71	−1.62	2	37, 52   						
228		Ceratium compressum	−1.61	−1.67	3	1, 14, 39 						
229		Ceratium declinatum	−2.31	−2.69	5	1, 37, 48, 49      						
230		Ceratium extensum 	−1.91	−1.83	4	1, 31, 37, 54      						
231		Ceratium gibberum 	−1.51	−1.68	3	1, 21, 37 						
232		Ceratium hexacanthum      	−1.35	−1.41	5	14, 31, 37, 52     						
233		Ceratium inflatum 	−2.55	−2.84	2	37, 48   						
234		Ceratium karstenii 	−1.54	−1.69	3	1, 37, 52 						
235		Ceratium lamellicorne     	−1.61	−1.67	3	1, 14, 39 						
237		Ceratium massiliense      	−1.81	−2.12	4	11, 31, 37, 54     						
238		Ceratium minutum  	−2.72	−4.47	2	36, 51   						
240		Ceratium pentagonum	−1.92	−1.99	9	1, 31, 49, 52, 54   						
241		Ceratium petersii 	−1.80	−4.04	2	14, 36   						
242		Ceratium platycorne	−1.61	−1.67	3	1, 14, 39 						
243		Ceratium praelongum	−2.01	 	1	1						
244		Ceratium pulchellum	−2.02	−2.29	3	1, 31, 54 						
245		Ceratium setaceum 	−2.21	−2.42	2	1, 21    						
246		Ceratium teres    	−2.30	−2.51	5	1, 21, 37, 49, 52   						
247		Ceratium trichoceros      	−2.51	−2.86	4	1, 21, 37, 52      						
248		Ceratium vultur   	−1.91	−2.28	4	1, 21, 37 						
249		Ceratocorys spp.  	−2.17	−2.17	4	1, 30, 31 						
250		Cladopyxis spp.   	−3.41	−3.74	6	1, 31, 38 						
251		Dinophysis spp.   	−2.26	−2.45	7	2, 6, 11, 12, 16, 19, 22, 25, 27, 31, 38, 40, 46, 51–54     						
252		Exuviaella spp.   	−2.51	−2.57	2	31, 38   						
253		Gonyaulax spp.    	−2.41	−2.28	65	1, 7, 11, 26, 31, 38, 40, 46, 49, 51, 54  						
254		Oxytoxum spp.     	−3.13	−3.33	3	1, 16, 54 						
255		Protoperidinium spp.      	−2.06	−1.95	211	7, 11, 16, 17, 22, 31, 35, 38, 40, 51, 53, 54      						
257		Podolampas spp.   	−2.26	−2.47	7	15, 16, 31, 54     						
258		Pronoctiluca pelagica     	−3.25	−3.40	4	1, 31, 38, 40      						
259		Prorocentrum spp. 	−2.90	−3.14	17	2, 7, 11, 16, 18, 25, 26, 30, 31, 38, 40, 51, 54   						
262		Ceratium falcatiforme     	−2.22	−2.42	2	21, 48   						
263	 	Ceratium longirostrum     	−2.46	−3.03	3	21, 37, 48 
