"Diatom"
"Bacteriastrum delicatulum Cleve"
"Bacteriastrum sp. Shadbolt"
"Cerataulina pelagica (Cleve) Hendey"
"Chaetoceros affinis Lauder"
"Chaetoceros anastomosans Grunow"
"Chaetoceros compressus Lauder"
"Chaetoceros decipiens Cleve"
"Chaetoceros didymus Ehrenberg"
"Chaetoceros lorenzianus Grunow"
"Chaetoceros sp. Ehrenberg"
"Chaetoceros sp. 2"
"Cylindrotheca closterium (Ehrenberg) Reiman & Lewin"
"Dactyliosolen fragilissimus (Bergon) Hasle apud G.R. Hasle & Syvertsen"
"Eucampia zodiacus Ehrenberg"
"Guinardia delicatula (Cleve) Hasle"
"Guinardia flaccida (Castracane) Peragallo"
"Guinardia striata (Stolterfoth) Hasle"
"Haslea wawrikae (Husedt) Simonsen"
"Helicotheca tamesis Ricard"
"Hemiaulus hauckii Grunow in Van Heurck"
"Hemiaulus sinensis Greville"
"Lauderia annulata Cleve"
"Leptocylindrus danicus Cleve"
"Leptocylindrus mediterraneus (H. Peragallo) Hasle"
"Leptocylindrus minimus Gran"
"Navicula sp. Bory de Saint-Vincent"
"Navicula yarrensis Grunow"
"Nitzschia fluminensis Grunow"
"Nitzschia longissima (Brébisson in Kützing) Ralfs in Pritchard"
"Proboscia alata (Brightwell) Sundström"
"Pseudo-nitzschia pseudodelicatissima (Hasle) Hasle"
"Pseudo-nitzschia pungens (Grunow ex P.T. Cleve) Hasle"
"Pseudo-nitzschia seriata (P.T. Cleve) H. Peragallo in H. & M. Peragallo"
"Pseudo-nitzschia sp. H. Peragallo in H. & M. Peragallo"
"Pseudo-nitzschia subfraudulenta (Hasle) Hasle"
"Rhizosolenia hebetate J. W. Bailey"
"Rhizosolenia imbricate Brightwell"
"Rhizosolenia setigera Brightwell"
"Rhizosolenia styliformis Brightwell"
"Skeletonema costatum Greville (Cleve)"
"Thalassionema delicatula"
"Thalassionema frauenfeldii (Grunow)"
"Thalassionema nitzschioides (Grunow) Mereschkowsky"
"Thalassiosira gravida P. T. Cleve"
"Thalassiosira rotula Meunier"
"Thalassiosira sp. Cleve"
"Thalassiosira subtilis (Ostenfeld) Gran"
"Dinoflagellate"
"Gonyaulax polygramma Stein"
"Gymnodinium mitratum Schiller"
"Gymnodinium sp. Stein"
"Gyrodinium fusus (Meunier) Akselman"
"Gyrodinium sp. Kofoid & Swezy"
"Heterocapsa triquetra (Ehrenberg) Stein"
"Neoceratium lineatum (Ehrenberg) F. Gomez, D. Moreira & P. Lopez-Garcia"
"Prorocentrum gracile Schütt"
"Prorocentrum micans Ehrenberg"
"Scrippsiella sp. Balech ex A.R. Loeblich III"
"Scrippsiella trochoidea (Stein) Balech ex A.R. Loeblich III"
"Coccolithophore"
"Calcidiscus leptoporus (Murray & Blackman) Loeblich & Tappan"
"Calcidiscus sp. Kamptner"
"Calciopappus caudatus Gaarder & Ramsfjell"
"Calciosolenia murrayi Gran"
"Emiliania sp. Hay & Mohler, in Hay, Mohler, Roth, Schmidt & Boudreaux + Gephyrocapsa spp. Kamptner"
"Cyanobacteria"
"Synechococcus sp. Nägeli"
"Trichodesmium thiebautii Gomont"
"Ciliate"
"Mesodinium rubrum (Lohmann, 1908)"
"Silicoflagellate"
"Dictyocha fibula Ehrenberg"
