,N,Si,PFT_all,PFT_1,PFT_2,Zall,Det,time,date
389,3.106442492198293,3.031976659387529,0.31111930988097375,0.07537444152221846,0.23574486835875527,0.10315205103664869,0.9888439370725111,5124.0,2007-01-25
390,3.1232568228003807,3.0475231361011903,0.31708311811619044,0.079823095587528,0.23726002252866246,0.10400627531455447,0.9988908346663704,5125.0,2007-01-26
391,3.1391630536801594,3.0621729665797015,0.3232189416836365,0.0845160050046196,0.2387029366790169,0.1049160221142559,1.0092756259538145,5126.0,2007-01-27
392,3.1541357694601535,3.0758875157861847,0.32952801870116744,0.08946080485912289,0.24006721384204452,0.1058841002775432,1.020004697513624,5127.0,2007-01-28
393,3.1681503973468006,3.0886281398726774,0.33601097205290803,0.09466453302743907,0.24134643902546896,0.10691351865930511,1.0310841286377594,5128.0,2007-01-29
394,3.181183322660504,3.1003563290520613,0.34266772896377223,0.10013352125399869,0.24253420770977355,0.1080074997926334,1.0425196246068218,5129.0,2007-01-30
395,3.1932120281871543,3.1110338822101964,0.3494974260551383,0.10587326568772702,0.24362416036741127,0.1091694961495918,1.0543164350258933,5130.0,2007-01-31
396,3.2042152610282604,3.120623119196571,0.3564982990496953,0.11188827500416203,0.2446100240455333,0.11040320960642835,1.066479252936559,5131.0,2007-02-01
397,3.2141731962413957,3.129087092779705,0.3636675791206756,0.11818192638019749,0.24548565274047812,0.111712609699552,1.0790121132679449,5132.0,2007-02-02
398,3.2230676156660154,3.136389824684092,0.37100138444471564,0.1247563128750094,0.24624507156970624,0.11310195317033732,1.0919182782878438,5133.0,2007-02-03
399,3.2308820963893266,3.142496559883229,0.3784946130609636,0.13161208981346248,0.24688252324750112,0.1145758042393474,1.105200110126744,5134.0,2007-02-04
400,3.23760220190756,3.147374028677085,0.38614083938604815,0.13874832422518515,0.247392515160863,0.11613905470959202,1.11885893650684,5135.0,2007-02-05
401,3.243215668244372,3.150990703655926,0.39393221275475554,0.1461623445749884,0.24776986817976718,0.11779694415336028,1.1328949196586788,5136.0,2007-02-06
402,3.247712460798267,3.1533170275738307,0.40185950793665753,0.1538496693976686,0.24800983853898895,0.11955508042646978,1.1473068982330028,5137.0,2007-02-07
403,3.251084848601733,3.154325634009387,0.4099121476209159,0.16180391938612437,0.2481082282347915,0.12141946017383909,1.1620922417062753,5138.0,2007-02-08
404,3.253325662681064,3.1539906623899725,0.4180799434655504,0.17001761251752492,0.24806233094802546,0.12339649194140244,1.177246793555496,5139.0,2007-02-09
405,3.2544292566206194,3.1522883023284605,0.42635203357881435,0.17848168448311633,0.24787034909569802,0.12549302373248378,1.1927649073968596,5140.0,2007-02-10
406,3.2543927824608154,3.1491975462843853,0.4347157233326107,0.18718488293700958,0.24753084039560114,0.12771636200071426,1.2086392770481587,5141.0,2007-02-11
407,3.2532161835453564,3.1447003552572066,0.44315662080646445,0.19611378054396106,0.2470428402625034,0.13007428705147348,1.224860754809296,5142.0,2007-02-12
408,3.2509023340925505,3.1387818674698695,0.4516586107761913,0.2052527256326238,0.24640588514356748,0.13257506437450212,1.241418191630651,5143.0,2007-02-13
409,3.2474571932891005,3.1314306348314704,0.4602038414079838,0.2145838058075412,0.24562003560044263,0.13522745375642223,1.2582982426731208,5144.0,2007-02-14
410,3.2428899299878675,3.122638823722264,0.46877273051236135,0.22408683657909484,0.2446858939332665,0.13804071254113678,1.2754851901397937,5145.0,2007-02-15
411,3.237213003759442,3.1124023614284644,0.47734399988925746,0.23373938614393583,0.2436046137453216,0.1410245904963162,1.2929607926086404,5146.0,2007-02-16
412,3.2304422475169794,3.100721094875528,0.485894728609323,0.24351681980286596,0.24237790880645702,0.14418931859031062,1.310704110122113,5147.0,2007-02-17
