"","Cruise_ID2","date","temp_5","temp_15","temp_25","temp_75"
"66","CAR-066","2001-05-05",25.33625,25.1259285714286,24.945375,22.9409594594595
"67","CAR-067","2001-06-10",24.8934,24.6874,24.59664,22.9698133333333
"68","CAR-068","2001-07-10",25.03075,24.5372857142857,23.68775,21.9822567567568
"69","CAR-069","2001-08-07",28.06175,27.8177857142857,27.4537916666667,25.5065810810811
"70","CAR-070","2001-09-11",26.56225,26.4579285714286,25.9366666666667,23.8552837837838
"71","CAR-071","2001-10-09",26.5496666666667,26.0768461538462,25.3270869565217,23.9406575342466
"72","CAR-072","2001-11-06",27.98975,27.7365714285714,27.4101666666667,25.5139459459459
"73","CAR-073","2001-12-11",27.1466666666667,26.9623846153846,26.627347826087,25.1989589041096
"74","CAR-074","2002-01-10",24.9424,24.6664,24.589,23.5961066666667
"75","CAR-075","2002-02-14",23.00625,22.7277857142857,22.6275,22.1186891891892
"76","CAR-076","2002-03-12",22.9764,22.8220666666667,22.57588,21.1960266666667
"77","CAR-077","2002-04-02",24.2525,24.0754285714286,23.5210416666667,21.8886891891892
"78","CAR-078","2002-05-07",26.3574,26.0554,25.95776,24.45792
"79","CAR-079","2002-06-12",26.614,26.2673571428571,25.6325,23.8750810810811
"80","CAR-080","2002-07-09",24.0158,22.6758,22.22192,21.3400933333333
"81","CAR-081","2002-08-06",27.5485,27.0572142857143,26.5824583333333,23.7180135135135
"82","CAR-082","2002-10-03",28.37225,28.2097857142857,27.4510833333333,25.7845945945946
"83","CAR-083","2002-11-07",26.6395,26.4535714285714,26.1778333333333,24.6035135135135
"84","CAR-084","2002-12-05",24.2702,24.2335333333333,23.84908,22.5994666666667
"85","CAR-085","2003-01-14",23.809,23.4078571428571,23.1944166666667,21.8822837837838
"86","CAR-086","2003-02-11",23.95225,23.3994285714286,23.18575,22.0601216216216
"87","CAR-087","2003-03-11",22.83025,22.2214285714286,22.0087916666667,21.0704647887324
"88","CAR-088","2003-04-08",25.228,25.074,24.9929565217391,23.6620441176471
"89","CAR-089","2003-05-13",24.37225,24.1599285714286,23.9405416666667,22.6412608695652
"90","CAR-090","2003-06-10",25.47275,25.0828571428571,24.5778333333333,23.1701267605634
