"","Value","month","yday","reg"
"57",0.864055,"07",184,2
"58",1.181565,"08",214,2
"59",1.342485,"09",254,2
"60",1.64074,"10",282,2
"61",1.025665,"11",305,2
"62",1.094625,"12",338,2
"63",1.62342,"02",36,2
"64",0.383365,"03",64,2
"65",1.21922,"04",99,2
"66",0.418015,"05",127,2
"67",0.87528,"06",155,2
"68",4.05002,"07",183,2
"69",1.28928,"08",218,2
"70",1.15178,"09",246,2
"71",1.469235,"10",291,2
"72",1.53741,"12",344,2
"73",0.854155,"01",9,2
"74",2.16597,"02",42,2
"75",2.10384,"03",70,2
"76",1.629205,"04",98,2
"77",0.97054,"05",124,2
"78",1.18564,"06",154,2
"79",1.10234,"07",189,2
"80",2.0319,"08",217,2
"81",0.61994,"09",253,2
"82",0.55755,"10",283,2
"83",0.621155,"11",322,2
"84",0.38526,"12",344,2
"85",0.358635,"01",12,2
"86",1.304915,"02",40,2
"87",2.013405,"03",61,2
"88",2.50626,"04",96,2
"89",2.0028,"05",127,2
"90",2.03461,"06",152,2
"91",0.947645,"07",194,2
"92",3.00045,"08",222,2
"93",2.40922,"09",257,2
"94",0.94674,"10",279,2
"95",0.661005,"11",313,2
"96",0.981555,"12",341,2
"97",1.499655,"01",6,2
"98",0.22538,"02",41,2
"99",1.24607,"03",67,2
"100",1.42131,"04",96,2
"101",1.31536,"05",130,2
"102",1.088985,"06",158,2
"103",0.783075,"08",215,2
"104",1.56217,"09",257,2
"105",0.879245,"10",277,2
"106",1.38503,"11",312,2
"107",0.89334,"12",341,2
