"","Value","month","yday","reg"
"1",29.02089,"01",12,1
"2",20.237395,"02",44,1
"3",14.92514,"03",72,1
"4",101.29711,"04",107,1
"5",31.409455,"05",130,1
"6",15.995075,"06",164,1
"7",11.01977,"07",192,1
"8",8.370465,"08",219,1
"9",13.05641,"09",254,1
"10",15.686575,"10",282,1
"11",24.581915,"11",315,1
"12",7.13724,"12",344,1
"13",87.488705,"01",7,1
"14",17.466675,"02",44,1
"15",38.102235,"02",53,1
"16",44.402065,"03",71,1
"17",49.011215,"04",105,1
"18",21.319745,"05",129,1
"19",5.777955,"06",167,1
"20",8.565365,"07",188,1
"21",20.236755,"07",196,1
"22",8.11141,"08",228,1
"23",4.778205,"09",259,1
"24",6.43552,"10",286,1
"25",4.85907,"11",316,1
"26",15.708905,"12",350,1
"27",16.796305,"01",13,1
"28",15.102415,"02",41,1
"29",66.628095,"03",70,1
"30",14.05179,"04",110,1
"31",13.25863,"06",159,1
"32",5.22973,"07",189,1
"33",10.71534,"08",216,1
"34",6.637155,"09",243,1
"35",1.241975,"12",349,1
"36",32.9513,"01",11,1
"37",0,"03",62,1
"38",2.34048,"04",96,1
"39",0.22572,"05",125,1
"40",20.006435,"06",158,1
"41",7.78423,"07",195,1
"42",0.314875,"08",222,1
"43",7.16043,"09",256,1
"44",0.68405,"10",277,1
"45",2.39795,"11",307,1
"46",2.43224,"12",340,1
"47",17.95486,"01",10,1
"48",19.36648,"02",38,1
"49",5.26862,"03",68,1
"50",15.668235,"04",101,1
"51",16.40951,"05",131,1
"52",4.6326,"06",157,1
"53",3.06911,"07",188,1
"54",4.516635,"08",221,1
"55",15.4688,"09",255,1
"56",3.12525,"10",283,1
