"","date","x258depth","yday"
"210",2014-04-01,34.799,91
"211",2014-05-06,20.88,126
"212",2014-06-13,114.32,164
"213",2014-09-03,116.3,246
"214",2014-10-07,111.33,280
"215",2014-11-12,122.27,316
"216",2014-12-09,120.28,343
"217",2015-02-14,50.705,45
"218",2015-03-10,72.573,69
"219",2015-04-14,25.851,104
"220",2015-07-29,42.752,210
"221",2015-08-18,47.722,230
"222",2015-09-10,110.34,253
"223",2015-11-16,112.33,320
"224",2015-12-09,111.33,343
"225",2016-01-13,50.705,13
"226",2016-02-04,42.752,35
"227",2016-05-11,139.16,132
"228",2016-12-21,104.38,356
"229",2017-01-17,64.621,17
