,time,N
0,1,3.922650098800659
1,2,4.916203498840332
2,3,4.817531585693359
3,4,2.8746840953826904
4,5,0.945807158946991
5,6,0.5128374695777893
6,7,0.10232404619455338
7,8,0.09062418341636658
8,9,0.15729758143424988
9,10,0.36224937438964844
10,11,1.9415041208267212
11,12,3.5795483589172363
