"year","month","day","lon","lat","value","unit","var"
2002,8,19,-64.9788970947266,10.8612785339355,0.183034956455231,"mg m^-3","chlor_a"
2002,8,19,-64.9366989135742,10.8612785339355,0.190779224038124,"mg m^-3","chlor_a"
2002,8,19,-64.8945007324219,10.8612785339355,0.20063441991806,"mg m^-3","chlor_a"
2002,8,19,-64.8523025512695,10.8612785339355,0.200367406010628,"mg m^-3","chlor_a"
2002,8,19,-64.8100967407227,10.8612785339355,0.190101504325867,"mg m^-3","chlor_a"
2002,8,19,-64.7678985595703,10.8612785339355,0.177248269319534,"mg m^-3","chlor_a"
2002,8,19,-64.725700378418,10.8612785339355,0.171039551496506,"mg m^-3","chlor_a"
2002,8,19,-64.6835021972656,10.8612785339355,0.179002866148949,"mg m^-3","chlor_a"
2002,8,19,-64.6412963867188,10.8612785339355,0.207611441612244,"mg m^-3","chlor_a"
2002,8,19,-64.5990982055664,10.8612785339355,0.242660209536552,"mg m^-3","chlor_a"
2002,8,19,-64.5569000244141,10.8612785339355,0.288195163011551,"mg m^-3","chlor_a"
2002,8,19,-64.5146942138672,10.8612785339355,0.366064697504044,"mg m^-3","chlor_a"
2002,8,19,-64.4724960327148,10.8612785339355,0.426884055137634,"mg m^-3","chlor_a"
2002,8,19,-64.4302978515625,10.8612785339355,0.48524472117424,"mg m^-3","chlor_a"
2002,8,19,-64.3880996704102,10.8612785339355,0.578904926776886,"mg m^-3","chlor_a"
2002,8,19,-64.9788970947266,10.8178339004517,0.175574257969856,"mg m^-3","chlor_a"
2002,8,19,-64.9366989135742,10.8178339004517,0.181714668869972,"mg m^-3","chlor_a"
2002,8,19,-64.8945007324219,10.8178339004517,0.191543400287628,"mg m^-3","chlor_a"
2002,8,19,-64.8523025512695,10.8178339004517,0.191818252205849,"mg m^-3","chlor_a"
2002,8,19,-64.8100967407227,10.8178339004517,0.184546336531639,"mg m^-3","chlor_a"
2002,8,19,-64.7678985595703,10.8178339004517,0.176081776618958,"mg m^-3","chlor_a"
2002,8,19,-64.725700378418,10.8178339004517,0.172270774841309,"mg m^-3","chlor_a"
2002,8,19,-64.6835021972656,10.8178339004517,0.179414853453636,"mg m^-3","chlor_a"
2002,8,19,-64.6412963867188,10.8178339004517,0.198571532964706,"mg m^-3","chlor_a"
2002,8,19,-64.5990982055664,10.8178339004517,0.22931444644928,"mg m^-3","chlor_a"
2002,8,19,-64.5569000244141,10.8178339004517,0.272480368614197,"mg m^-3","chlor_a"
2002,8,19,-64.5146942138672,10.8178339004517,0.345547169446945,"mg m^-3","chlor_a"
2002,8,19,-64.4724960327148,10.8178339004517,0.374669045209885,"mg m^-3","chlor_a"
2002,8,19,-64.4302978515625,10.8178339004517,0.418643057346344,"mg m^-3","chlor_a"
2002,8,19,-64.3880996704102,10.8178339004517,0.540932774543762,"mg m^-3","chlor_a"
2002,8,19,-64.9788970947266,10.7743892669678,0.175764858722687,"mg m^-3","chlor_a"
2002,8,19,-64.9366989135742,10.7743892669678,0.179039984941483,"mg m^-3","chlor_a"
2002,8,19,-64.8945007324219,10.7743892669678,0.18228580057621,"mg m^-3","chlor_a"
2002,8,19,-64.8523025512695,10.7743892669678,0.182444229722023,"mg m^-3","chlor_a"
2002,8,19,-64.8100967407227,10.7743892669678,0.179370477795601,"mg m^-3","chlor_a"
2002,8,19,-64.7678985595703,10.7743892669678,0.176492288708687,"mg m^-3","chlor_a"
2002,8,19,-64.725700378418,10.7743892669678,0.176852017641068,"mg m^-3","chlor_a"
2002,8,19,-64.6835021972656,10.7743892669678,0.179520040750504,"mg m^-3","chlor_a"
2002,8,19,-64.6412963867188,10.7743892669678,0.192501604557037,"mg m^-3","chlor_a"
2002,8,19,-64.5990982055664,10.7743892669678,0.218902662396431,"mg m^-3","chlor_a"
2002,8,19,-64.5569000244141,10.7743892669678,0.264699131250381,"mg m^-3","chlor_a"
2002,8,19,-64.5146942138672,10.7743892669678,0.321225345134735,"mg m^-3","chlor_a"
2002,8,19,-64.4724960327148,10.7743892669678,0.354033023118973,"mg m^-3","chlor_a"
2002,8,19,-64.4302978515625,10.7743892669678,0.391114860773087,"mg m^-3","chlor_a"
2002,8,19,-64.3880996704102,10.7743892669678,0.498334497213364,"mg m^-3","chlor_a"
2002,8,19,-64.9788970947266,10.7309446334839,0.173796385526657,"mg m^-3","chlor_a"
2002,8,19,-64.9366989135742,10.7309446334839,0.175500601530075,"mg m^-3","chlor_a"
2002,8,19,-64.8945007324219,10.7309446334839,0.177661746740341,"mg m^-3","chlor_a"
2002,8,19,-64.8523025512695,10.7309446334839,0.178002640604973,"mg m^-3","chlor_a"
2002,8,19,-64.8100967407227,10.7309446334839,0.175130888819695,"mg m^-3","chlor_a"
2002,8,19,-64.7678985595703,10.7309446334839,0.174518391489983,"mg m^-3","chlor_a"
2002,8,19,-64.725700378418,10.7309446334839,0.176995381712914,"mg m^-3","chlor_a"
2002,8,19,-64.6835021972656,10.7309446334839,0.182741329073906,"mg m^-3","chlor_a"
2002,8,19,-64.6412963867188,10.7309446334839,0.194690585136414,"mg m^-3","chlor_a"
2002,8,19,-64.5990982055664,10.7309446334839,0.222174942493439,"mg m^-3","chlor_a"
2002,8,19,-64.5569000244141,10.7309446334839,0.268164694309235,"mg m^-3","chlor_a"
2002,8,19,-64.5146942138672,10.7309446334839,0.326009780168533,"mg m^-3","chlor_a"
2002,8,19,-64.4724960327148,10.7309446334839,0.362472325563431,"mg m^-3","chlor_a"
2002,8,19,-64.4302978515625,10.7309446334839,0.410079330205917,"mg m^-3","chlor_a"
2002,8,19,-64.3880996704102,10.7309446334839,0.528786957263947,"mg m^-3","chlor_a"
2002,8,19,-64.9788970947266,10.6875,0.174730241298676,"mg m^-3","chlor_a"
2002,8,19,-64.9366989135742,10.6875,0.174206331372261,"mg m^-3","chlor_a"
2002,8,19,-64.8945007324219,10.6875,0.176796108484268,"mg m^-3","chlor_a"
2002,8,19,-64.8523025512695,10.6875,0.175153017044067,"mg m^-3","chlor_a"
2002,8,19,-64.8100967407227,10.6875,0.176224380731583,"mg m^-3","chlor_a"
2002,8,19,-64.7678985595703,10.6875,0.173330500721931,"mg m^-3","chlor_a"
2002,8,19,-64.725700378418,10.6875,0.176301464438438,"mg m^-3","chlor_a"
2002,8,19,-64.6835021972656,10.6875,0.182191535830498,"mg m^-3","chlor_a"
2002,8,19,-64.6412963867188,10.6875,0.195941179990768,"mg m^-3","chlor_a"
2002,8,19,-64.5990982055664,10.6875,0.222799554467201,"mg m^-3","chlor_a"
2002,8,19,-64.5569000244141,10.6875,0.264047622680664,"mg m^-3","chlor_a"
2002,8,19,-64.5146942138672,10.6875,0.321934998035431,"mg m^-3","chlor_a"
2002,8,19,-64.4724960327148,10.6875,0.368533611297607,"mg m^-3","chlor_a"
2002,8,19,-64.4302978515625,10.6875,0.415058255195618,"mg m^-3","chlor_a"
2002,8,19,-64.3880996704102,10.6875,0.572291314601898,"mg m^-3","chlor_a"
2002,8,19,-64.9788970947266,10.6440553665161,0.175053849816322,"mg m^-3","chlor_a"
2002,8,19,-64.9366989135742,10.6440553665161,0.175284042954445,"mg m^-3","chlor_a"
2002,8,19,-64.8945007324219,10.6440553665161,0.177436321973801,"mg m^-3","chlor_a"
2002,8,19,-64.8523025512695,10.6440553665161,0.177431255578995,"mg m^-3","chlor_a"
2002,8,19,-64.8100967407227,10.6440553665161,0.177384376525879,"mg m^-3","chlor_a"
2002,8,19,-64.7678985595703,10.6440553665161,0.17837193608284,"mg m^-3","chlor_a"
2002,8,19,-64.725700378418,10.6440553665161,0.180487424135208,"mg m^-3","chlor_a"
2002,8,19,-64.6835021972656,10.6440553665161,0.186678171157837,"mg m^-3","chlor_a"
2002,8,19,-64.6412963867188,10.6440553665161,0.199953138828278,"mg m^-3","chlor_a"
2002,8,19,-64.5990982055664,10.6440553665161,0.228176936507225,"mg m^-3","chlor_a"
2002,8,19,-64.5569000244141,10.6440553665161,0.272503435611725,"mg m^-3","chlor_a"
2002,8,19,-64.5146942138672,10.6440553665161,0.314681649208069,"mg m^-3","chlor_a"
2002,8,19,-64.4724960327148,10.6440553665161,0.36845737695694,"mg m^-3","chlor_a"
2002,8,19,-64.4302978515625,10.6440553665161,0.424153417348862,"mg m^-3","chlor_a"
2002,8,19,-64.3880996704102,10.6440553665161,0.591461420059204,"mg m^-3","chlor_a"
2002,8,19,-64.9788970947266,10.6006107330322,0.177521705627441,"mg m^-3","chlor_a"
2002,8,19,-64.9366989135742,10.6006107330322,0.178269684314728,"mg m^-3","chlor_a"
2002,8,19,-64.8945007324219,10.6006107330322,0.180174350738525,"mg m^-3","chlor_a"
2002,8,19,-64.8523025512695,10.6006107330322,0.181489482522011,"mg m^-3","chlor_a"
2002,8,19,-64.8100967407227,10.6006107330322,0.179715260863304,"mg m^-3","chlor_a"
2002,8,19,-64.7678985595703,10.6006107330322,0.179638102650642,"mg m^-3","chlor_a"
2002,8,19,-64.725700378418,10.6006107330322,0.182028651237488,"mg m^-3","chlor_a"
2002,8,19,-64.6835021972656,10.6006107330322,0.188243895769119,"mg m^-3","chlor_a"
2002,8,19,-64.6412963867188,10.6006107330322,0.201344937086105,"mg m^-3","chlor_a"
2002,8,19,-64.5990982055664,10.6006107330322,0.23100620508194,"mg m^-3","chlor_a"
2002,8,19,-64.5569000244141,10.6006107330322,0.276761084794998,"mg m^-3","chlor_a"
2002,8,19,-64.5146942138672,10.6006107330322,0.321158111095428,"mg m^-3","chlor_a"
2002,8,19,-64.4724960327148,10.6006107330322,0.367633581161499,"mg m^-3","chlor_a"
2002,8,19,-64.4302978515625,10.6006107330322,0.432512313127518,"mg m^-3","chlor_a"
2002,8,19,-64.3880996704102,10.6006107330322,0.561186969280243,"mg m^-3","chlor_a"
2002,8,19,-64.9788970947266,10.5571660995483,0.181651875376701,"mg m^-3","chlor_a"
2002,8,19,-64.9366989135742,10.5571660995483,0.181896358728409,"mg m^-3","chlor_a"
2002,8,19,-64.8945007324219,10.5571660995483,0.184052959084511,"mg m^-3","chlor_a"
2002,8,19,-64.8523025512695,10.5571660995483,0.186806410551071,"mg m^-3","chlor_a"
2002,8,19,-64.8100967407227,10.5571660995483,0.187135860323906,"mg m^-3","chlor_a"
2002,8,19,-64.7678985595703,10.5571660995483,0.18500679731369,"mg m^-3","chlor_a"
2002,8,19,-64.725700378418,10.5571660995483,0.186451017856598,"mg m^-3","chlor_a"
2002,8,19,-64.6835021972656,10.5571660995483,0.190421432256699,"mg m^-3","chlor_a"
2002,8,19,-64.6412963867188,10.5571660995483,0.199777662754059,"mg m^-3","chlor_a"
2002,8,19,-64.5990982055664,10.5571660995483,0.235840201377869,"mg m^-3","chlor_a"
2002,8,19,-64.5569000244141,10.5571660995483,0.296567738056183,"mg m^-3","chlor_a"
2002,8,19,-64.5146942138672,10.5571660995483,0.350816518068314,"mg m^-3","chlor_a"
2002,8,19,-64.4724960327148,10.5571660995483,0.36877167224884,"mg m^-3","chlor_a"
2002,8,19,-64.4302978515625,10.5571660995483,0.434595376253128,"mg m^-3","chlor_a"
