"year","month","day","lon","lat","value","unit","var"
1997,10,16,-64.9604339599609,10.843900680542,0.148322343826294,"mg m^-3","chlor_a"
1997,10,16,-64.8813095092773,10.843900680542,0.146130278706551,"mg m^-3","chlor_a"
1997,10,16,-64.8021850585938,10.843900680542,0.155825406312943,"mg m^-3","chlor_a"
1997,10,16,-64.7230606079102,10.843900680542,0.183335095643997,"mg m^-3","chlor_a"
1997,10,16,-64.6439361572266,10.843900680542,0.227031961083412,"mg m^-3","chlor_a"
1997,10,16,-64.564811706543,10.843900680542,0.270250558853149,"mg m^-3","chlor_a"
1997,10,16,-64.4856872558594,10.843900680542,0.348558753728867,"mg m^-3","chlor_a"
1997,10,16,-64.4065628051758,10.843900680542,0.492350935935974,"mg m^-3","chlor_a"
1997,10,16,-64.9604339599609,10.765700340271,0.151134639978409,"mg m^-3","chlor_a"
1997,10,16,-64.8813095092773,10.765700340271,0.150439605116844,"mg m^-3","chlor_a"
1997,10,16,-64.8021850585938,10.765700340271,0.157778784632683,"mg m^-3","chlor_a"
1997,10,16,-64.7230606079102,10.765700340271,0.175552561879158,"mg m^-3","chlor_a"
1997,10,16,-64.6439361572266,10.765700340271,0.213181629776955,"mg m^-3","chlor_a"
1997,10,16,-64.564811706543,10.765700340271,0.260923683643341,"mg m^-3","chlor_a"
1997,10,16,-64.4856872558594,10.765700340271,0.344018042087555,"mg m^-3","chlor_a"
1997,10,16,-64.4065628051758,10.765700340271,0.522465109825134,"mg m^-3","chlor_a"
1997,10,16,-64.9604339599609,10.6875,0.158704072237015,"mg m^-3","chlor_a"
1997,10,16,-64.8813095092773,10.6875,0.16012679040432,"mg m^-3","chlor_a"
1997,10,16,-64.8021850585938,10.6875,0.157854914665222,"mg m^-3","chlor_a"
1997,10,16,-64.7230606079102,10.6875,0.169292494654655,"mg m^-3","chlor_a"
1997,10,16,-64.6439361572266,10.6875,0.198358058929443,"mg m^-3","chlor_a"
1997,10,16,-64.564811706543,10.6875,0.230468288064003,"mg m^-3","chlor_a"
1997,10,16,-64.4856872558594,10.6875,0.279683977365494,"mg m^-3","chlor_a"
1997,10,16,-64.4065628051758,10.6875,0.448934465646744,"mg m^-3","chlor_a"
1997,10,16,-64.9604339599609,10.609299659729,0.175100341439247,"mg m^-3","chlor_a"
1997,10,16,-64.8813095092773,10.609299659729,0.180434003472328,"mg m^-3","chlor_a"
1997,10,16,-64.8021850585938,10.609299659729,0.173953473567963,"mg m^-3","chlor_a"
1997,10,16,-64.7230606079102,10.609299659729,0.177562892436981,"mg m^-3","chlor_a"
1997,10,16,-64.6439361572266,10.609299659729,0.189243882894516,"mg m^-3","chlor_a"
1997,10,16,-64.564811706543,10.609299659729,0.222611725330353,"mg m^-3","chlor_a"
1997,10,16,-64.4856872558594,10.609299659729,0.26910138130188,"mg m^-3","chlor_a"
1997,10,16,-64.4065628051758,10.609299659729,0.326866716146469,"mg m^-3","chlor_a"
1997,10,16,-64.9604339599609,10.531099319458,0.193287461996078,"mg m^-3","chlor_a"
1997,10,16,-64.8813095092773,10.531099319458,0.192832052707672,"mg m^-3","chlor_a"
1997,10,16,-64.8021850585938,10.531099319458,0.189580574631691,"mg m^-3","chlor_a"
1997,10,16,-64.7230606079102,10.531099319458,0.188035503029823,"mg m^-3","chlor_a"
1997,10,16,-64.6439361572266,10.531099319458,0.188292846083641,"mg m^-3","chlor_a"
1997,10,16,-64.564811706543,10.531099319458,0.235455498099327,"mg m^-3","chlor_a"
1997,10,16,-64.4856872558594,10.531099319458,0.276946783065796,"mg m^-3","chlor_a"
1997,10,16,-64.4065628051758,10.531099319458,0.314650654792786,"mg m^-3","chlor_a"
1997,11,15,-64.9604339599609,10.843900680542,0.285341203212738,"mg m^-3","chlor_a"
1997,11,15,-64.8813095092773,10.843900680542,0.338891059160233,"mg m^-3","chlor_a"
1997,11,15,-64.8021850585938,10.843900680542,0.371140152215958,"mg m^-3","chlor_a"
1997,11,15,-64.7230606079102,10.843900680542,0.431606829166412,"mg m^-3","chlor_a"
1997,11,15,-64.6439361572266,10.843900680542,0.56171727180481,"mg m^-3","chlor_a"
1997,11,15,-64.564811706543,10.843900680542,0.743426322937012,"mg m^-3","chlor_a"
1997,11,15,-64.4856872558594,10.843900680542,0.941815495491028,"mg m^-3","chlor_a"
1997,11,15,-64.4065628051758,10.843900680542,1.08197116851807,"mg m^-3","chlor_a"
1997,11,15,-64.9604339599609,10.765700340271,0.288172572851181,"mg m^-3","chlor_a"
1997,11,15,-64.8813095092773,10.765700340271,0.33696037530899,"mg m^-3","chlor_a"
1997,11,15,-64.8021850585938,10.765700340271,0.380390346050262,"mg m^-3","chlor_a"
1997,11,15,-64.7230606079102,10.765700340271,0.436595112085342,"mg m^-3","chlor_a"
1997,11,15,-64.6439361572266,10.765700340271,0.580461621284485,"mg m^-3","chlor_a"
1997,11,15,-64.564811706543,10.765700340271,0.834302723407745,"mg m^-3","chlor_a"
1997,11,15,-64.4856872558594,10.765700340271,1.19367778301239,"mg m^-3","chlor_a"
1997,11,15,-64.4065628051758,10.765700340271,1.50260424613953,"mg m^-3","chlor_a"
1997,11,15,-64.9604339599609,10.6875,0.282305002212524,"mg m^-3","chlor_a"
1997,11,15,-64.8813095092773,10.6875,0.333912581205368,"mg m^-3","chlor_a"
1997,11,15,-64.8021850585938,10.6875,0.38274610042572,"mg m^-3","chlor_a"
1997,11,15,-64.7230606079102,10.6875,0.426503032445908,"mg m^-3","chlor_a"
1997,11,15,-64.6439361572266,10.6875,0.541414320468903,"mg m^-3","chlor_a"
