Year;Month;Day;Date;Depth;Date;Tchla;Prasino3;Dino1;Crypto1;Hapto6;Chloro1;Cyano4;Diatom1
2014;Sep;3;09.03.14;55 - 100 m;03. Sep 14;13,15;2,46;0,3;0,09;7,83;0;1,23;1,24
2014;Oct;7;10.07.14;55 - 100 m;7-Oct-14;10,16;2,09;0,08;0,02;5,8;0;0,92;1,26
2014;Nov;12;11.12.14;55 - 100 m;12. Nov 14;9,25;1,68;0,09;0,46;6,39;0;0,63;0
2014;Dec;9;12.09.14;55 - 100 m;9-Dec-14;5,85;1,35;0,06;0,05;4,04;0;0,33;0,01
2015;Feb;15;02.15.15;55 - 100 m;15. Feb 15;9,13;0,79;0,1;0,74;6,6;0;0,75;0,14
2015;Apr;14;04.14.15;55 - 100 m;14. Apr 15;6,65;0,65;0,04;0;5,66;0;0,2;0,09
2015;Jul;29;07.29.15;55 - 100 m;29. Juli 15;2,56;0,24;0,05;0,12;1,6;0;0,15;0,4
2015;Aug;17;08.17.15;55 - 100 m;17. Aug 15;4,81;0,5;0,07;0;4,01;0;0,07;0,16
2015;Sep;10;09.10.15;55 - 100 m;10. Sep 15;3,5;0,34;0,04;0,07;2,63;0;0,15;0,27
2015;Nov;16;11.16.15;55 - 100 m;16. Nov 15;6,26;1,14;0,1;0,19;4,41;0;0,3;0,11
2015;Dec;9;12.09.15;55 - 100 m;9-Dec-15;3,55;0,54;0;0;2,82;0;0,15;0,04
2016;Jan;12;01.12.16;55 - 100 m;12. Jan 16;2,45;0,22;0,02;0,03;1,9;0,01;0,16;0,11
2016;Feb;4;02.04.16;55 - 100 m;04. Feb 16;7,04;0,49;0;0,06;4,39;0,01;0,29;1,79
2016;May;10;05.10.16;55 - 100 m;10-May-16;11,58;1,92;0,25;0,81;6,37;0;0,97;1,27
2016;Jun;7;06.07.16;55 - 100 m;07. Juni 16;22,1;3,3;0,58;2,98;11,1;0;2,45;1,67
2016;Sep;20;09.20.16;55 - 100 m;20. Sep 16;13,62;1,45;0,28;0,44;6,28;0;0,47;4,69
2016;Dec;21;12.21.16;55 - 100 m;21-Dec-16;4,61;0,34;0,06;0,25;2,51;0,01;0,42;1,01
2017;Jan;12;01.12.17;55 - 100 m;12. Jan 17;3,81;0,18;0;0,07;2,01;0;0,2;1,35
