"","PAR","month","yday"
"1",52.8259993980173,"10",287
"2",53.2819994196761,"10",287
"3",53.5379994318355,"10",287
"4",53.3899994248059,"10",287
"5",53.1819994149264,"10",287
"6",53.2859994198661,"10",287
"7",53.3879994247109,"10",287
"8",52.935999403242,"10",287
"9",53.0139994069468,"10",287
"10",53.1359994127415,"10",287
"11",53.339999422431,"10",287
"12",53.2639994188212,"10",287
"13",52.9059994018171,"10",287
"14",52.8599993996322,"10",287
"15",53.0899994105566,"10",287
"16",53.1819994149264,"10",287
"17",52.6699993906077,"10",287
"18",52.7499993944075,"10",287
"19",52.4679993810132,"10",287
"20",51.5479993373156,"10",287
"21",48.9219992125873,"11",318
"22",48.6939992017578,"11",318
"23",48.3559991857037,"11",318
"24",48.2599991811439,"11",318
"25",48.6559991999529,"11",318
"26",49.0879992204718,"11",318
"27",48.8539992093574,"11",318
"28",48.7039992022328,"11",318
"29",48.4999991925433,"11",318
"30",48.8859992108773,"11",318
"31",49.1119992216118,"11",318
"32",48.5199991934933,"11",318
"33",48.5339991941582,"11",318
"34",49.033999217907,"11",318
"35",49.023999217432,"11",318
"36",48.3219991840888,"11",318
"37",48.631999198813,"11",318
"38",48.6499991996679,"11",318
"39",49.1259992222767,"11",318
"40",48.3819991869386,"11",318
"41",46.6159991030581,"12",348
"42",46.6159991030581,"12",348
"43",46.5999991022982,"12",348
"44",46.5819991014432,"12",348
"45",46.681999106193,"12",348
"46",46.7059991073329,"12",348
"47",46.6439991043881,"12",348
"48",46.5619991004933,"12",348
"49",46.7199991079979,"12",348
"50",46.7379991088528,"12",348
"51",46.7239991081879,"12",348
"52",46.7039991072379,"12",348
"53",46.7699991103727,"12",348
"54",46.7659991101827,"12",348
"55",46.7979991117027,"12",348
"56",46.8219991128426,"12",348
"57",46.8339991134126,"12",348
"58",46.7699991103727,"12",348
"59",46.8299991132226,"12",348
"60",46.8199991127476,"12",348
"61",48.3259991842788,"01",14
"62",48.3699991863687,"01",14
"63",48.3419991850387,"01",14
"64",48.3779991867486,"01",14
"65",48.4159991885535,"01",14
"66",48.4859991918784,"01",14
"67",48.3539991856087,"01",14
"68",48.3839991870336,"01",14
"69",48.4579991905484,"01",14
"70",48.0259991700295,"01",14
"71",48.0039991689846,"01",14
"72",48.3539991856087,"01",14
"73",48.5859991966281,"01",14
"74",48.4999991925433,"01",14
"75",48.3339991846588,"01",14
"76",48.2919991826639,"01",14
"77",48.5499991949182,"01",14
"78",48.5979991971981,"01",14
"79",48.5039991927333,"01",14
"80",48.2159991790541,"01",14
"81",50.3899992823135,"02",45
"82",50.2619992762338,"02",45
"83",50.0899992680643,"02",45
"84",49.8779992579948,"02",45
"85",50.8479993040673,"02",45
"86",50.5399992894381,"02",45
"87",50.3319992795587,"02",45
"88",50.197999273194,"02",45
"89",50.977999310242,"02",45
"90",50.8299993032124,"02",45
"91",50.6979992969427,"02",45
"92",50.9359993082471,"02",45
"93",50.8419993037824,"02",45
"94",50.7399992989376,"02",45
"95",50.6559992949478,"02",45
"96",50.7919993014075,"02",45
"97",50.2539992758539,"02",45
"98",49.9939992635045,"02",45
"99",50.3679992812686,"02",45
"100",50.8319993033074,"02",45
"101",54.3999994727783,"03",73
"102",54.3159994687885,"03",73
"103",54.2839994672686,"03",73
"104",54.2659994664136,"03",73
"105",54.2159994640388,"03",73
"106",54.1899994628038,"03",73
"107",54.0139994544443,"03",73
"108",54.2999994680285,"03",73
"109",54.2199994642287,"03",73
"110",54.2419994652737,"03",73
"111",54.3459994702134,"03",73
"112",54.1699994618539,"03",73
"113",54.8339994933922,"03",73
"114",54.6119994828478,"03",73
"115",54.1979994631838,"03",73
"116",53.9339994506445,"03",73
"117",54.3519994704984,"03",73
"118",54.3619994709734,"03",73
"119",54.507999477908,"03",73
"120",54.0119994543493,"03",73
"121",53.9699994523544,"04",104
"122",54.3179994688835,"04",104
"123",54.4859994768631,"04",104
"124",54.0079994541593,"04",104
"125",53.5079994304106,"04",104
"126",52.937999403337,"04",104
"127",52.7959993965924,"04",104
"128",53.5959994345903,"04",104
"129",53.1639994140714,"04",104
"130",53.7619994424749,"04",104
"131",53.5479994323105,"04",104
"132",54.135999460239,"04",104
"133",53.2179994166363,"04",104
"134",53.6219994358253,"04",104
"135",53.8919994486496,"04",104
"136",54.2559994659387,"04",104
"137",52.2539993708488,"04",104
"138",53.3959994250908,"04",104
"139",53.9919994533993,"04",104
"140",53.8399994461797,"04",104
"141",51.5219993360806,"05",134
"142",53.0659994094167,"05",134
"143",53.4739994287957,"05",134
"144",53.0439994083717,"05",134
"145",51.5559993376955,"05",134
"146",53.9679994522594,"05",134
"147",53.1959994155914,"05",134
"148",52.4399993796833,"05",134
"149",51.9579993567895,"05",134
"150",52.3899993773084,"05",134
"151",51.5299993364606,"05",134
"152",52.7559993946925,"05",134
"153",52.7399993939325,"05",134
"154",51.2459993229713,"05",134
"155",51.3979993301909,"05",134
"156",52.2899993725587,"05",134
"157",52.565999385668,"05",134
"158",51.7259993457701,"05",134
