"","CruiseID","Date","MLD2015","MLD2019","x0.1","x1","x10"
"104","93HG_101",2004-06-08,15,13.92,NA,NA,NA
"105","93HG_102",2004-07-07,16,1.99,NA,NA,NA
"106","93HG_103",2004-08-10,13,7.96,NA,NA,NA
"107","93HG_104",2004-09-07,20,21.874,NA,NA,NA
"108","93HG_105",2004-10-05,15,13.92,NA,NA,NA
"109","93HG_106",2004-11-09,15,11.93,NA,NA,NA
"110","93HG_107",2004-12-07,33,29.83,NA,NA,NA
"111","93HG_108",2005-01-11,28,3.98,NA,NA,NA
"112","93HG_109",2005-02-10,22,8.95,NA,NA,NA
"113","93HG_110",2005-03-08,18,10.94,NA,NA,NA
"114","93HG_111",2005-04-05,37,3.977,NA,NA,NA
"115","93HG_112",2005-05-10,16,13.92,NA,NA,NA
"116","93HG_113",2005-06-14,14,5.97,NA,NA,NA
"117","93HG_114",2005-07-12,23,22.87,NA,NA,NA
"118","93HG_115",2005-08-10,11,6.96,NA,NA,NA
"120","93HG_116",2005-10-05,26,23.86,NA,NA,NA
"122","93HG_117",2005-12-15,40,15.91,NA,NA,NA
"123","93HG_118",2006-01-12,23,2.98,71.2,37.3,15.9
"124","93HG_119",2006-02-07,29,27.84,54.7,29.4,13
"125","93HG_120",2006-03-16,34,16.9,57.7,47.1,23.2
"126","93HG_121",2006-04-04,16,2.98,68.3,44.1,16.9
"127","93HG_122",2006-05-10,17,3.98,NA,NA,NA
"128","93HG_123",2006-06-06,16,9.943,79.7,52.5,26.5
"129","93HG_124",2006-07-04,16,3.98,NA,NA,NA
"130","93HG_125",2006-08-03,9,4.97,71.1,37.3,15.9
"131","93HG_126",2006-09-12,11,10.937,73,56.9,31
"132","93HG_127",2006-10-10,15,4.97,70,64.6,29
"133","93HG_128",2006-11-02,19,18.89,64.7,32.6,NA
"134","93HG_129",2006-12-05,26,3.98,78,45.1,21.1
"136","93HG_130",2007-02-06,21,6.96,44.3,23.7,11.6
"137","93HG_131",2007-03-06,10,2.98,64,38.3,10.3
"138","93HG_132",2007-04-10,18,16.9,NA,NA,NA
"139","93HG_133",2007-05-08,20,5.97,80,52.8,27.5
"140","93HG_134",2007-06-05,19,19.89,84,54,32.9
"141","93HG_135",2007-07-03,12,4.97,85,44.7,20.9
"142","93HG_136",2007-08-07,19,8.95,NA,NA,NA
"143","93HG_137",2007-09-04,16,11.93,NA,NA,NA
"144","93HG_138",2007-10-09,11,1.99,NA,NA,NA
"145","93HG_139",2007-11-30,11,NA,NA,NA,NA
"146","93HG_140",2007-12-11,15,8.95,NA,NA,NA
"147","93HG_141",2008-01-10,16,3.98,NA,NA,NA
"148","93HG_142",2008-02-12,28,21.87,NA,NA,NA
"149","93HG_143",2008-03-11,26,8.95,NA,NA,NA
"150","93HG_144",2008-04-08,24,4.97,NA,NA,21.5
"151","93HG_145",2008-05-04,20,5.97,80,58.9,30
"152","93HG_146",2008-06-04,22,7.96,62.633,36.787,13.92
"153","93HG_147",2008-07-08,11,3.98,64.116,45.228,23.357
"154","93HG_148",2008-08-05,16,14.91,NA,NA,NA
"155","93HG_149",2008-09-10,15,4.97,NA,NA,NA
"156","93HG_150",2008-10-10,13,3.98,NA,NA,NA
"157","93HG_151",2008-11-18,19,6.96,NA,NA,NA
"158","93HG_152",2008-12-10,26,26.85,NA,NA,NA
"159","93HG_153",2009-01-13,33,28.84,NA,NA,NA
"160","93HG_154",2009-02-10,26,26.85,NA,NA,NA
"161","93HG_155",2009-03-03,15,17.9,NA,NA,NA
"162","93HG_156",2009-04-07,19,19.89,NA,NA,NA
"163","93HG_157",2009-05-08,20,4.97,88.9,47.6,17.8
"164","93HG_158",2009-06-02,18,3.98,81.519,52.693,19.886
"165","93HG_159",2009-07-14,18,4.97,80.539,60.656,32.816
"166","93HG_160",2009-08-11,11,3.98,71.9,41,20.8
"167","93HG_161",2009-09-15,20,2.98,70.8,46.5,22.7
"168","93HG_162",2009-10-06,15,3.98,89.3,56,28.3
"169","93HG_163",2009-11-10,19,12.93,84.5,50.9,25.5
"170","93HG_164",2009-12-08,30,11.93,95.92,69.09,34.29
"171","93HG_165",2010-01-12,29,4.97,85,55.7,27.1
"172","93HG_166",2010-02-11,26,5.97,40.9,20.1,9.8
"173","93HG_167",2010-03-09,20,2.98,91,61.8,34.6
"174","93HG_168",2010-04-07,24,3.98,88.3,54.6,27.6
"175","93HG_169",2010-05-11,22,4.972,NA,49.8,25.9
"176","93HG_170",2010-06-08,23,21.874,NA,64.3,35.6
"178","93HG_171",2010-08-04,13,10.937,NA,NA,NA
"179","93HG_172",2010-09-15,19,3.98,87,55.5,23.2
"180","93HG_173",2010-10-04,19,21.874,NA,NA,NA
"181","93HG_174",2010-11-09,27,2.98,80.3,50.9,33.1
"182","93HG_175",2010-12-08,22,12.93,NA,NA,NA
"183","93HG_176",2011-01-11,14,10.94,NA,NA,NA
"184","93HG_177",2011-02-08,42,5.97,NA,NA,NA
"185","93HG_178",2011-03-15,24,21.87,NA,NA,NA
"186","93HG_179",2011-04-12,19,3.98,82.9584,50.87463,21.19341
"187","93HG_180",2011-05-10,15,12.93,72.01025,43.97694,23.68586
"188","93HG_181",2011-06-09,12,2.98,80.6,59.8,34.1
"189","93HG_182",2011-07-07,13,3.977,NA,NA,NA
"190","93HG_183",2011-08-09,9,0.99,86,60.1,29
"191","93HG_184",2011-09-06,9,2.98,93,61,24.8
"192","93HG_185",2011-10-04,14,12.93,NA,58.6,28.7
"193","93HG_186",2011-11-18,21,7.96,81,57,36.3
"195","93HG_187",2012-01-10,26,10.937,NA,29.7,17.1
"196","93HG_188",2012-02-07,39,6.96,NA,40.2,19.2
"197","93HG_189",2012-03-16,32,2.98,23.1,12.4,4.6
"198","93HG_190",2012-04-10,33,0.99,NA,NA,NA
"199","93HG_191",2012-05-15,33,31.82,NA,NA,NA
"201","93HG_193",2012-07-26,37,4.97,NA,NA,NA
"202","93HG_194",2012-08-14,15,2.98,NA,NA,NA
"203","93HG_195",2012-09-10,13,4.97,NA,NA,NA
"204","93HG_196",2012-10-10,12,2.98,NA,NA,NA
"205","93HG_197",2012-11-08,22,13.92,NA,NA,NA
"206","93HG_198",2012-12-04,NA,16.9,NA,NA,NA
"207","93HG_199",2013-03-13,NA,4.97,NA,NA,NA
