"","Cruise_ID","Leg","lon","lat","Date","Day","days","Month","Year","Depth_target","Depth_real","O2_ml_L","O2_ml_L_Q","O2_umol_kg","O2_umol_kg_Q","SiOH4_Cumana","SiOH4_Cumana_Q","PO4_Cumana","PO4_Cumana_Q","NO3_Cumana","NO3_Cumana_Q","NH4","NH4_Q","NO2","NO2_Q","NO3_NO2","NO3_NO2_Q","PO4","PO4_Q","SiOH4","SiOH4_Q","pH","pH_Q","Alkalinity","Alkalinity_Q","TCO2","TCO2_Q","fCO2","fCO2_Q","sal_bot","sal_bot_Q","sal_bot_corr","sal_bot_corr_Q","sal_ctd","sal_ctd_Q","Temp","Temp_Q","Sigma_t","Sigma_t_Q","TPP","TPP_Q","PIP","PIP_Q","POC_ug_L","POC_ug_L_Q","PON_ug_L","PON_ug_L_Q","CtoN_part","CtoN_part_Q","POC_ug_kg","POC_ug_kg_Q","PON_ug_kg","PON_ug_kg_Q","DON_USF_uM","DON_USF_uM_Q","DOP_USF_uM","DOP_USF_uM_Q","DOC","DOC_Q","TOC","TOC_Q","PriPro","PriPro_Q","Chl","Chl_Q","Phaeo","Phaeo_Q"
"13","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,350,353,"0.00",0,"0.00",0,44.3,1,2.64,1,0.29,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002415",0,NA,9,NA,9,36.341,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,72,1,NA,9,NA,9,0.01,0,NA,9
"14","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,400,409.5,"0.00",0,"0.00",0,55.4,1,2.81,1,0.19,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002433",0,NA,9,NA,9,36.319,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,0.01,0,NA,9
"15","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,450,451,"0.00",0,"0.00",0,59.5,1,2.99,1,0.2,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002430",0,NA,9,NA,9,36.296,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,59,1,NA,9,NA,9,0.01,0,NA,9
"16","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,500,502.5,"0.00",0,"0.00",0,74.7,1,3.11,1,0.2,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002449",0,NA,9,NA,9,36.271,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,62,1,NA,9,NA,9,0.01,0,NA,9
"17","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,750,752.5,"0.00",0,"0.00",0,81.7,1,3.32,1,0.2,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002429",0,NA,9,NA,9,36.229,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,61,1,NA,9,NA,9,0.01,0,NA,9
"18","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,1000,1005,"0.00",0,"0.00",0,80.3,1,3.45,1,0.07,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002464",0,NA,9,NA,9,36.221,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,62,1,NA,9,NA,9,0.01,0,NA,9
"19","93HG_001",2,-64.67,10.5,1995-11-08,8,311,11,1995,1200,1210,"0.00",0,"0.00",0,94.1,1,3.57,1,0.08,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,"0.002464",0,NA,9,NA,9,36.223,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,67,1,NA,9,NA,9,0.01,0,NA,9
"20","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,1,2,NA,0,"177.4",0,2.26,1,0.03,1,0.26,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002413",0,NA,0,NA,0,NA,9,NA,9,NA,0,25.39,0,24.59,0,NA,9,NA,9,NA,1,"12.01",1,NA,1,NA,1,"11.72",1,NA,9,NA,9,NA,9,NA,9,"1.66",0,0.12,0,0.08,0
"21","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,7,7.5,NA,0,"179.4",0,2.47,1,0.02,1,0.4,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002407",0,NA,0,NA,0,NA,9,NA,9,NA,0,25.4,0,24.59,0,NA,9,NA,9,NA,1,"12.44",1,NA,1,NA,1,"12.14",1,NA,9,NA,9,NA,9,NA,9,"1.11",0,0.15,0,0.11,0
"22","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,15,16,NA,0,"178.4",0,2.69,1,0.05,1,0.43,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002413",0,NA,0,NA,0,NA,9,NA,9,NA,0,25.38,0,24.59,0,NA,9,NA,9,NA,1,"10.22",1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,"1.23",0,0.18,0,0.14,0
