"year","month","lon","lat","value","unit","var"
1997,10,-64.8290023803711,10.7159328460693,52.8259993980173,"einstein m^-2 day^-1","par"
1997,10,-64.7446060180664,10.7159328460693,53.2819994196761,"einstein m^-2 day^-1","par"
1997,10,-64.6602020263672,10.7159328460693,53.5379994318355,"einstein m^-2 day^-1","par"
1997,10,-64.5758056640625,10.7159328460693,53.3899994248059,"einstein m^-2 day^-1","par"
1997,10,-64.8290023803711,10.6325426101685,53.1819994149264,"einstein m^-2 day^-1","par"
1997,10,-64.7446060180664,10.6325426101685,53.2859994198661,"einstein m^-2 day^-1","par"
1997,10,-64.6602020263672,10.6325426101685,53.3879994247109,"einstein m^-2 day^-1","par"
1997,10,-64.5758056640625,10.6325426101685,52.935999403242,"einstein m^-2 day^-1","par"
1997,10,-64.8290023803711,10.5491523742676,53.0139994069468,"einstein m^-2 day^-1","par"
1997,10,-64.7446060180664,10.5491523742676,53.1359994127415,"einstein m^-2 day^-1","par"
1997,10,-64.6602020263672,10.5491523742676,53.339999422431,"einstein m^-2 day^-1","par"
1997,10,-64.5758056640625,10.5491523742676,53.2639994188212,"einstein m^-2 day^-1","par"
1997,10,-64.8290023803711,10.465763092041,52.9059994018171,"einstein m^-2 day^-1","par"
1997,10,-64.7446060180664,10.465763092041,52.8599993996322,"einstein m^-2 day^-1","par"
1997,10,-64.6602020263672,10.465763092041,53.0899994105566,"einstein m^-2 day^-1","par"
1997,10,-64.5758056640625,10.465763092041,53.1819994149264,"einstein m^-2 day^-1","par"
1997,10,-64.8290023803711,10.3823738098145,52.6699993906077,"einstein m^-2 day^-1","par"
1997,10,-64.7446060180664,10.3823738098145,52.7499993944075,"einstein m^-2 day^-1","par"
1997,10,-64.6602020263672,10.3823738098145,52.4679993810132,"einstein m^-2 day^-1","par"
1997,10,-64.5758056640625,10.3823738098145,51.5479993373156,"einstein m^-2 day^-1","par"
1997,11,-64.8290023803711,10.7159328460693,48.9219992125873,"einstein m^-2 day^-1","par"
1997,11,-64.7446060180664,10.7159328460693,48.6939992017578,"einstein m^-2 day^-1","par"
1997,11,-64.6602020263672,10.7159328460693,48.3559991857037,"einstein m^-2 day^-1","par"
1997,11,-64.5758056640625,10.7159328460693,48.2599991811439,"einstein m^-2 day^-1","par"
1997,11,-64.8290023803711,10.6325426101685,48.6559991999529,"einstein m^-2 day^-1","par"
1997,11,-64.7446060180664,10.6325426101685,49.0879992204718,"einstein m^-2 day^-1","par"
1997,11,-64.6602020263672,10.6325426101685,48.8539992093574,"einstein m^-2 day^-1","par"
1997,11,-64.5758056640625,10.6325426101685,48.7039992022328,"einstein m^-2 day^-1","par"
1997,11,-64.8290023803711,10.5491523742676,48.4999991925433,"einstein m^-2 day^-1","par"
1997,11,-64.7446060180664,10.5491523742676,48.8859992108773,"einstein m^-2 day^-1","par"
1997,11,-64.6602020263672,10.5491523742676,49.1119992216118,"einstein m^-2 day^-1","par"
1997,11,-64.5758056640625,10.5491523742676,48.5199991934933,"einstein m^-2 day^-1","par"
1997,11,-64.8290023803711,10.465763092041,48.5339991941582,"einstein m^-2 day^-1","par"
1997,11,-64.7446060180664,10.465763092041,49.033999217907,"einstein m^-2 day^-1","par"
1997,11,-64.6602020263672,10.465763092041,49.023999217432,"einstein m^-2 day^-1","par"
1997,11,-64.5758056640625,10.465763092041,48.3219991840888,"einstein m^-2 day^-1","par"
1997,11,-64.8290023803711,10.3823738098145,48.631999198813,"einstein m^-2 day^-1","par"
1997,11,-64.7446060180664,10.3823738098145,48.6499991996679,"einstein m^-2 day^-1","par"
1997,11,-64.6602020263672,10.3823738098145,49.1259992222767,"einstein m^-2 day^-1","par"
1997,11,-64.5758056640625,10.3823738098145,48.3819991869386,"einstein m^-2 day^-1","par"
1997,12,-64.8290023803711,10.7159328460693,46.6159991030581,"einstein m^-2 day^-1","par"
1997,12,-64.7446060180664,10.7159328460693,46.6159991030581,"einstein m^-2 day^-1","par"
1997,12,-64.6602020263672,10.7159328460693,46.5999991022982,"einstein m^-2 day^-1","par"
1997,12,-64.5758056640625,10.7159328460693,46.5819991014432,"einstein m^-2 day^-1","par"
1997,12,-64.8290023803711,10.6325426101685,46.681999106193,"einstein m^-2 day^-1","par"
1997,12,-64.7446060180664,10.6325426101685,46.7059991073329,"einstein m^-2 day^-1","par"
1997,12,-64.6602020263672,10.6325426101685,46.6439991043881,"einstein m^-2 day^-1","par"
1997,12,-64.5758056640625,10.6325426101685,46.5619991004933,"einstein m^-2 day^-1","par"
1997,12,-64.8290023803711,10.5491523742676,46.7199991079979,"einstein m^-2 day^-1","par"
1997,12,-64.7446060180664,10.5491523742676,46.7379991088528,"einstein m^-2 day^-1","par"
1997,12,-64.6602020263672,10.5491523742676,46.7239991081879,"einstein m^-2 day^-1","par"
1997,12,-64.5758056640625,10.5491523742676,46.7039991072379,"einstein m^-2 day^-1","par"
1997,12,-64.8290023803711,10.465763092041,46.7699991103727,"einstein m^-2 day^-1","par"
1997,12,-64.7446060180664,10.465763092041,46.7659991101827,"einstein m^-2 day^-1","par"
1997,12,-64.6602020263672,10.465763092041,46.7979991117027,"einstein m^-2 day^-1","par"
1997,12,-64.5758056640625,10.465763092041,46.8219991128426,"einstein m^-2 day^-1","par"
1997,12,-64.8290023803711,10.3823738098145,46.8339991134126,"einstein m^-2 day^-1","par"
1997,12,-64.7446060180664,10.3823738098145,46.7699991103727,"einstein m^-2 day^-1","par"
1997,12,-64.6602020263672,10.3823738098145,46.8299991132226,"einstein m^-2 day^-1","par"
