"","Date","X.x","Cruise_ID","Leg","lon.x","lat.x","Day","days.x","Month","Year","Depth_target","Depth_real","O2_ml_L","O2_ml_L_Q","O2_umol_kg","O2_umol_kg_Q","SiOH4_Cumana","SiOH4_Cumana_Q","PO4_Cumana","PO4_Cumana_Q","NO3_Cumana","NO3_Cumana_Q","NH4","NH4_Q","NO2","NO2_Q","NO3_NO2","NO3_NO2_Q","PO4","PO4_Q","SiOH4","SiOH4_Q","pH","pH_Q","Alkalinity","Alkalinity_Q","TCO2","TCO2_Q","fCO2","fCO2_Q","sal_bot","sal_bot_Q","sal_bot_corr","sal_bot_corr_Q","sal_ctd","sal_ctd_Q","Temp","Temp_Q","Sigma_t","Sigma_t_Q","TPP","TPP_Q","PIP","PIP_Q","POC_ug_L","POC_ug_L_Q","PON_ug_L","PON_ug_L_Q","CtoN_part","CtoN_part_Q","POC_ug_kg","POC_ug_kg_Q","PON_ug_kg","PON_ug_kg_Q","DON_USF_uM","DON_USF_uM_Q","DOP_USF_uM","DOP_USF_uM_Q","DOC","DOC_Q","TOC","TOC_Q","PriPro","PriPro_Q","Chl","Chl_Q","Phaeo","Phaeo_Q","X.1","X.y","CruiseID","month","days.y","press","lat.y","lon.y","sigma_t","sigma_0","potemp","sal","temp","beam_att","beam_cp","fluor_chla","belowmld","depthdiff"
"11",1996-09-10,195,"93HG_011",1,-64.67,10.5,10,253,9,1996,15,17.114,NA,0,192.2,0,2.36,1,0.15,1,0.7,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.00237,0,NA,0,NA,0,36.613,0,NA,9,NA,0,28.301,0,23.5165,0,NA,9,NA,9,NA,1,NA,1,10.31,1,NA,1,NA,1,NA,9,NA,9,116,8,NA,9,1.08,0,0.15,0,0.09,0,11,9026,"93HG_011",9,253,10.038,10.5,-64.67,23.309,23.31,28.672,36.509,28.674,0.52,NA,0.122,TRUE,-7.076
"12",1996-10-09,215,"93HG_012",1,-64.67,10.5,9,282,10,1996,15,13.562,NA,0,187.6,0,1.19,1,0.31,1,0.88,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,36.738,0,NA,9,NA,0,25.063,0,24.65,0,NA,9,NA,9,NA,1,15.7,1,NA,1,NA,1,15.32,1,NA,9,NA,9,NA,9,NA,9,1.56,0,0.2,0,0.18,0,12,10381,"93HG_012",10,282,10.047,10.5,-64.67,24.162,24.163,26.394,36.658,26.396,0.563,NA,0.19,TRUE,-3.515
"13",1996-11-10,235,"93HG_013",3,-64.67,10.5,10,314,11,1996,15,17.16,NA,0,176.2,0,1.27,1,0.11,1,1.14,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002427,0,NA,0,NA,0,36.711,0,NA,9,NA,0,24.673,0,24.7471,0,NA,9,NA,9,166.52,1,NA,1,NA,1,162.5,1,NA,1,NA,9,NA,9,NA,9,NA,9,NA,0,0.28,0,0.24,0,13,11701,"93HG_013",11,314,13.027,10.5,-64.67,24.558,24.559,25.248,36.709,25.251,0.555,NA,0.347,TRUE,-4.133
"14",1996-12-11,257,"93HG_014",1,-64.67,10.5,11,345,12,1996,35,36.62,NA,0,181.5,0,1.68,1,0.17,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002413,0,NA,0,NA,0,36.814,0,NA,9,NA,0,24.677,0,24.8179,0,NA,9,NA,9,NA,1,14.68,1,NA,1,NA,1,14.32,1,NA,9,NA,9,72,1,NA,9,0.69,0,0.4,0,0.68,0,14,13038,"93HG_014",12,345,27.277,10.5,-64.67,24.43,24.432,25.718,36.733,25.724,0.514,NA,0.498,TRUE,-9.343
"15",1997-01-07,276,"93HG_015",1,-64.67,10.5,7,6,1,1997,25,25.147,NA,0,143.8,0,3.34,1,0.37,1,5.47,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,23.278,0,25.2867,0,NA,9,NA,9,NA,1,16,1,NA,1,NA,1,15.61,1,NA,9,NA,9,142,8,NA,9,0.22,0,3.43,0,1.75,0,15,14342,"93HG_015",1,6,16.094,10.5,-64.67,25.192,25.193,23.567,36.876,23.57,1.14,NA,3.051,TRUE,-9.053
"16",1997-02-13,296,"93HG_016",1,-64.67,10.5,13,43,2,1997,25,26.5,NA,0,199.8,0,1.34,1,0.17,1,1.44,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002443,0,NA,0,NA,0,36.894,0,NA,9,NA,9,23.02,0,25.367,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,369,8,NA,9,0.8,0,0.73,0,0.49,0,16,15655,"93HG_016",2,43,18.136,10.5,-64.67,25.33,25.331,23.203,36.917,23.206,0.609,NA,1.159,TRUE,-8.364
"17",1997-03-13,316,"93HG_017",1,-64.67,10.5,13,71,3,1997,25,25.322,NA,0,130.7,0,3.67,1,0.83,1,9.67,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002414,0,NA,0,NA,0,36.739,0,NA,9,NA,0,20.679,0,25.9067,0,NA,9,NA,9,102.64,1,17.59,1,NA,1,100.16,1,17.17,1,NA,9,NA,9,171,8,NA,9,0.58,0,1.15,0,1.4,0,17,16968,"93HG_017",3,71,18.996,10.5,-64.67,25.834,25.835,20.932,36.735,20.936,0.906,NA,1.533,TRUE,-6.326
"18",1997-04-15,336,"93HG_018",1,-64.67,10.5,15,104,4,1997,25,25.413,NA,0,144.7,0,3.01,1,0.29,1,7.67,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002409,0,NA,0,NA,0,36.814,0,NA,9,NA,0,21.597,0,25.7092,0,NA,9,NA,9,106.16,1,NA,1,NA,1,103.6,1,19.52,1,NA,9,NA,9,96,8,NA,9,1.42,0,1.61,0,0.7,0,18,18279,"93HG_018",4,104,20.119,10.5,-64.67,25.611,25.612,22.148,36.887,22.152,0.708,NA,1.428,TRUE,-5.294
"19",1997-05-10,355,"93HG_019",2,-64.67,10.5,10,129,5,1997,15,15.848,NA,0,155.4,0,3.53,1,0.34,1,4.09,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002395,0,NA,0,NA,0,36.756,0,NA,9,NA,0,22.35,0,25.4982,0,NA,9,NA,9,177.96,1,NA,1,NA,1,173.67,1,NA,1,NA,9,NA,9,112,8,NA,9,NA,0,1.22,0,1.27,0,19,19581,"93HG_019",5,129,11.072,10.5,-64.67,25.247,25.248,23.292,36.842,23.295,0.763,NA,1.438,TRUE,-4.776
"20",1997-06-17,380,"93HG_020",1,-64.67,10.5,17,167,6,1997,15,15.939,NA,0,199.1,0,3.02,1,0.12,1,0.96,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,NA,9,NA,0,NA,0,36.915,8,NA,0,NA,0,24.039,0,25.0885,0,NA,9,NA,9,NA,1,12.11,1,NA,1,NA,1,11.82,1,NA,9,NA,9,NA,9,NA,9,NA,0,0.32,0,0.12,0,20,20895,"93HG_020",6,167,13.204,10.5,-64.67,24.877,24.878,24.8,36.949,24.803,0.531,NA,0.268,TRUE,-2.735
