Date,depth,Prasinophytes,Dinoflagellates,Cryptophytes,Haptophytes2,Chlorophytes,Cyanobacteria,Diatoms_Hapto1,Hapto3_Hapto4,2Date,2depth,2Prasinophytes,2Dinoflagellates,2Cryptophytes,2Haptophytes2,2Chlorophytes,2Cyanobacteria,2Diatoms_Hapto1,2Hapto3_Hapto4
01/14/98,100.00,12.07,0.03,0.11,0.62,0.00,0.00,11.41,8.76,10/10/08,100.00,42.46,2.28,6.17,6.53,0.00,8.19,17.29,26.09
02/11/98,1.00,0.98,25.21,0.85,10.88,0.00,4.68,258.72,18.68,11/18/08,1.00,5.89,9.19,6.61,2.69,10.33,55.06,40.78,11.44
02/11/98,7.00,5.98,15.99,0.69,9.94,0.00,0.00,267.34,20.05,11/18/08,1.00,6.44,6.99,6.78,2.26,10.61,52.41,40.67,10.84
02/11/98,15.00,6.30,15.97,0.62,9.25,0.00,0.00,227.85,21.00,11/18/08,7.00,6.88,11.55,6.84,2.71,10.45,58.59,46.43,12.54
02/11/98,25.00,20.96,30.29,6.36,23.95,0.00,0.00,295.47,46.96,11/18/08,15.00,8.86,13.94,6.87,2.54,10.55,60.25,45.39,16.60
02/11/98,35.00,10.99,9.71,0.79,14.53,0.00,10.86,192.08,34.05,11/18/08,25.00,18.17,19.04,7.72,5.58,9.28,70.38,39.50,24.33
02/11/98,55.00,35.62,17.11,10.77,11.28,0.00,3.04,119.65,24.52,11/18/08,35.00,91.70,3.29,18.45,18.62,0.00,45.71,172.77,67.45
02/11/98,75.00,40.14,4.00,5.57,2.96,0.00,1.87,55.22,24.24,11/18/08,55.00,101.42,3.22,44.10,26.10,0.00,18.70,138.80,98.66
02/11/98,100.00,12.69,11.51,5.49,5.93,0.00,0.00,74.63,24.74,11/18/08,75.00,63.60,2.58,14.03,6.99,0.00,8.36,78.45,51.98
03/12/98,1.00,63.91,118.52,0.00,192.13,0.00,0.00,3409.51,45.93,11/18/08,100.00,40.74,2.27,6.08,8.39,0.00,5.25,13.35,35.92
03/12/98,7.00,20.04,78.29,5.29,163.31,0.00,0.00,3840.02,91.04,12/10/08,1.00,7.84,4.66,6.56,3.02,10.01,48.31,17.66,11.93
03/12/98,15.00,77.51,85.54,0.00,120.16,0.00,0.00,2925.40,92.39,12/10/08,1.00,8.16,4.62,6.47,2.59,9.29,54.05,11.36,12.46
03/12/98,25.00,59.41,21.32,0.70,11.42,0.00,0.00,142.66,12.49,12/10/08,7.00,8.57,4.59,6.44,2.97,8.96,56.91,13.46,15.10
03/12/98,35.00,41.85,7.88,16.02,3.47,0.00,0.00,53.46,19.32,12/10/08,7.00,9.07,6.92,6.60,3.74,8.98,59.29,7.98,15.42
03/12/98,55.00,5.73,0.04,0.13,0.78,0.00,0.00,22.41,2.91,12/10/08,15.00,9.56,6.92,6.60,3.63,8.99,59.39,14.45,15.47
03/12/98,75.00,6.26,0.02,0.08,0.55,0.00,0.00,13.40,2.69,12/10/08,25.00,32.04,9.90,8.53,5.30,6.57,79.57,56.55,30.53
03/12/98,100.00,25.51,0.05,0.16,1.83,0.00,0.00,17.01,1.44,12/10/08,35.00,49.86,3.00,10.03,9.10,4.23,68.60,86.21,43.97
04/21/98,1.00,6.65,20.73,3.49,2.66,0.00,3.96,157.70,41.81,12/10/08,55.00,98.63,2.45,26.45,37.34,0.00,22.46,91.56,104.11
04/21/98,7.00,10.11,14.72,3.15,0.00,0.00,3.87,152.36,31.80,12/10/08,75.00,23.63,2.29,6.15,6.75,4.07,5.46,6.91,21.75
04/21/98,15.00,9.25,37.84,5.41,3.18,0.00,2.45,185.23,31.64,12/10/08,100.00,8.86,1.94,4.75,1.95,5.31,1.54,1.39,7.25
04/21/98,25.00,42.54,29.60,0.57,13.19,0.00,28.55,339.64,159.90,01/13/09,1.00,35.76,1.90,36.03,124.45,25.87,24.18,1002.94,81.86
04/21/98,35.00,48.24,5.57,5.05,4.48,0.00,36.48,232.96,87.21,01/13/09,1.00,36.96,1.85,36.07,135.72,30.21,27.36,998.75,88.08
04/21/98,55.00,39.40,13.11,25.51,4.79,0.00,20.97,137.44,86.79,01/13/09,7.00,8.61,2.62,63.41,221.67,78.76,28.20,830.60,185.14
04/21/98,75.00,18.29,4.03,16.29,1.55,0.00,2.16,42.50,31.17,01/13/09,15.00,34.65,1.83,29.68,133.03,31.94,23.20,1127.58,75.09
04/21/98,100.00,8.80,1.92,5.19,0.00,0.00,0.14,19.94,15.00,01/13/09,25.00,37.82,1.86,42.34,136.60,29.45,26.17,987.24,92.52
06/09/98,7.00,6.70,0.14,1.07,0.00,5.51,69.91,96.58,18.09,01/13/09,35.00,39.12,2.06,80.47,85.50,15.44,17.08,483.80,78.53
06/09/98,15.00,14.64,0.20,1.50,0.00,5.62,74.14,119.22,26.67,01/13/09,55.00,58.66,9.37,18.73,29.56,0.00,10.86,83.98,56.84
06/09/98,25.00,19.68,0.39,2.85,0.00,11.91,76.28,207.30,47.59,01/13/09,75.00,9.00,2.33,6.24,7.50,10.05,2.48,20.57,10.82
06/09/98,35.00,35.47,0.77,106.70,23.12,25.65,73.47,339.53,480.28,01/13/09,100.00,0.34,2.31,6.20,3.00,11.68,1.22,5.28,1.96
06/09/98,55.00,29.83,0.82,114.38,5.21,43.63,48.14,91.39,531.62,02/10/09,1.00,21.14,15.95,18.22,22.11,7.08,6.00,173.29,30.22
06/09/98,75.00,77.29,0.00,18.82,3.72,0.00,19.01,92.76,96.41,02/10/09,1.00,22.66,15.81,18.09,21.12,5.50,4.70,203.15,28.98
06/09/98,100.00,28.43,0.00,0.00,0.00,0.00,2.23,11.12,19.21,02/10/09,7.00,19.48,15.83,18.11,20.58,6.49,5.76,177.02,29.72
07/09/98,1.00,2.63,0.03,0.08,13.25,0.00,86.08,98.71,29.22,02/10/09,15.00,19.19,18.16,18.17,18.81,7.14,4.77,172.37,24.39
07/09/98,15.00,9.25,0.04,0.12,7.95,0.00,86.75,148.82,54.08,02/10/09,25.00,73.19,36.46,48.76,28.48,0.00,7.08,266.12,46.91
07/09/98,25.00,15.16,0.00,20.35,88.68,0.00,28.33,0.00,582.48,02/10/09,35.00,127.71,33.36,50.10,112.52,9.76,18.18,634.48,64.90
07/09/98,35.00,42.83,0.00,0.00,53.65,0.00,14.98,44.06,210.48,02/10/09,55.00,29.97,1.87,4.69,106.72,41.76,8.54,565.11,40.35
07/09/98,55.00,43.64,0.00,0.00,23.08,0.00,6.42,40.77,106.08,02/10/09,75.00,19.59,2.30,6.10,23.03,14.93,4.01,127.90,20.13
08/05/98,7.00,0.42,0.00,0.00,0.00,4.34,84.71,88.09,32.44,02/10/09,100.00,12.83,2.31,6.18,8.98,9.49,2.59,48.57,13.04
08/05/98,15.00,0.53,0.02,0.31,0.00,5.29,69.92,86.11,25.82,03/03/09,1.00,67.85,31.39,42.02,42.31,2.81,30.50,418.98,94.15
08/05/98,25.00,24.36,0.31,2.11,0.00,1.39,66.51,49.61,38.71,03/03/09,1.00,67.06,31.44,36.03,41.36,0.00,25.39,420.47,83.26
08/05/98,35.00,38.97,0.61,4.08,0.00,4.56,63.10,103.17,57.50,03/03/09,7.00,61.62,24.59,29.92,34.05,0.00,23.96,417.13,66.74
08/05/98,55.00,30.50,0.68,12.08,0.00,32.43,24.98,160.26,303.07,03/03/09,15.00,62.93,33.52,41.90,41.04,3.15,34.32,423.66,91.48
08/05/98,100.00,0.08,0.00,0.00,0.00,0.82,0.15,16.38,7.57,03/03/09,25.00,18.87,105.43,57.58,101.87,47.32,9.77,535.69,173.47
09/01/98,7.00,0.34,0.00,43.93,0.00,3.44,78.89,27.58,15.82,03/03/09,35.00,23.29,11.58,24.80,24.39,8.24,6.19,68.83,64.67
09/01/98,15.00,1.92,0.37,50.82,0.00,19.07,80.47,177.52,37.82,03/03/09,55.00,21.45,7.17,6.28,12.71,7.76,2.76,5.89,39.99
09/01/98,25.00,1.15,0.64,24.84,0.00,12.18,51.24,92.52,57.44,03/03/09,75.00,13.61,2.32,6.23,5.48,7.88,2.33,4.33,15.81
09/01/98,35.00,30.69,0.74,27.01,0.00,14.89,67.24,115.49,103.95,03/03/09,100.00,2.61,1.74,4.10,2.43,5.90,0.40,1.85,4.96
09/01/98,55.00,0.00,0.00,0.00,0.71,0.00,0.00,4.53,19.76,04/07/09,1.00,33.12,35.91,52.72,14.81,8.36,34.35,64.80,60.94
09/01/98,75.00,0.38,0.00,0.00,0.00,5.11,7.93,81.49,50.09,04/07/09,1.00,39.31,24.27,59.95,15.39,7.90,33.75,77.45,67.99
09/01/98,100.00,0.07,0.00,0.00,0.00,0.91,0.16,14.56,9.30,04/07/09,7.00,34.78,30.93,58.54,14.35,7.35,32.97,70.21,68.86
12/16/98,1.00,0.48,0.11,0.84,0.00,5.20,87.31,42.39,23.67,04/07/09,15.00,39.08,108.17,62.74,15.50,2.63,30.45,41.19,66.23
12/16/98,15.00,0.00,0.00,0.00,0.00,0.00,45.03,0.00,7.97,04/07/09,25.00,100.54,43.53,112.39,26.33,0.00,15.24,120.64,102.32
12/16/98,25.00,0.53,0.18,1.19,0.00,5.23,57.08,35.20,11.59,04/07/09,35.00,51.56,22.77,30.42,27.71,0.00,15.35,128.22,120.98
12/16/98,35.00,88.90,0.63,3.59,37.64,0.00,32.48,15.78,169.99,04/07/09,55.00,50.92,18.65,37.38,42.92,3.82,10.22,112.18,124.90
12/16/98,55.00,45.88,0.00,0.00,28.27,0.00,13.84,0.00,106.01,04/07/09,75.00,30.34,2.36,6.23,41.49,16.07,7.24,29.27,73.00
12/16/98,75.00,27.98,0.00,0.00,9.77,0.00,4.46,0.00,40.79,04/07/09,75.00,29.27,2.36,6.22,41.36,16.55,7.26,35.19,71.79
12/16/98,100.00,64.27,0.00,0.06,6.97,0.00,6.63,18.35,55.73,04/07/09,100.00,0.79,1.84,4.33,3.50,7.55,0.55,4.16,4.28
01/12/99,7.00,0.00,0.00,113.60,330.55,0.00,109.64,854.95,614.26,05/08/09,1.00,26.57,35.95,153.21,69.63,23.15,43.70,221.93,259.86
01/12/99,15.00,1.52,0.40,182.12,411.38,18.21,142.33,1540.40,843.64,05/08/09,1.00,25.85,39.05,159.81,70.69,25.31,53.03,233.55,274.72
01/12/99,25.00,0.72,0.77,156.54,109.78,51.55,57.93,414.10,570.61,05/08/09,7.00,22.50,37.51,158.82,69.01,43.50,52.12,218.93,274.61
01/12/99,35.00,0.00,0.34,68.55,88.34,24.90,73.57,281.85,496.45,05/08/09,15.00,21.18,44.92,144.38,70.27,40.70,51.86,197.09,262.61
01/12/99,55.00,0.84,0.00,0.00,5.30,7.58,1.48,73.84,53.95,05/08/09,25.00,26.25,54.34,84.72,50.38,1.40,13.76,118.04,207.11
01/12/99,75.00,0.10,0.00,0.00,0.00,1.05,0.20,19.79,11.86,05/08/09,35.00,85.21,30.09,30.80,32.19,0.00,14.78,138.39,81.53
03/04/99,7.00,0.00,0.00,11.17,3.45,0.00,0.00,0.00,1.69,05/08/09,55.00,43.75,2.27,12.37,23.23,1.02,8.19,60.96,49.19
03/04/99,15.00,0.00,0.00,0.00,7.95,0.00,2.00,0.00,14.45,05/08/09,75.00,37.21,7.03,6.15,16.71,2.17,5.88,14.33,52.53
03/04/99,25.00,0.00,0.00,0.00,19.79,0.00,0.00,0.00,23.91,05/08/09,100.00,7.36,2.01,5.03,3.61,6.30,2.64,1.72,17.32
03/04/99,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.60,06/02/09,1.00,52.58,36.12,73.20,24.77,2.28,40.62,133.78,77.65
04/07/99,7.00,0.10,0.25,1.41,10.81,1.15,55.44,58.26,18.58,06/02/09,1.00,45.16,29.13,60.57,18.70,4.05,32.95,127.21,53.22
04/07/99,15.00,0.00,0.14,0.73,11.15,0.00,47.06,29.27,11.85,06/02/09,7.00,49.35,33.79,66.89,19.72,3.17,38.33,134.36,68.40
04/07/99,25.00,17.30,0.69,4.13,51.56,2.46,25.97,66.17,95.91,06/02/09,15.00,47.53,47.82,66.27,20.64,4.38,35.85,130.43,69.08
04/07/99,35.00,0.62,0.00,0.00,79.93,0.00,0.00,0.00,194.65,06/02/09,25.00,17.57,61.81,85.08,68.33,0.00,17.70,0.00,356.50
04/07/99,55.00,0.00,0.00,0.00,183.09,0.00,0.00,0.00,79.41,06/02/09,35.00,16.10,25.62,82.73,112.69,10.25,21.39,147.73,308.49
04/07/99,75.00,12.51,0.02,0.07,60.53,0.00,0.00,34.25,43.12,06/02/09,55.00,40.15,4.42,17.79,6.13,0.00,6.70,135.43,31.38
04/07/99,100.00,0.07,0.00,0.00,12.29,0.61,0.12,4.97,16.44,06/02/09,75.00,41.78,6.74,18.39,4.99,0.00,7.72,82.77,37.61
05/06/99,15.00,0.01,0.00,0.00,0.00,0.09,0.02,2.28,0.01,06/02/09,100.00,17.67,2.19,5.88,2.06,3.63,1.75,31.31,18.53
06/08/99,7.00,0.00,0.05,0.16,13.15,0.00,20.30,1.67,17.67,07/14/09,1.00,1.48,6.53,5.87,2.91,9.21,32.10,34.96,8.93
06/08/99,15.00,0.36,0.09,0.64,12.21,3.40,42.72,31.54,15.14,07/14/09,1.00,1.45,19.45,5.85,1.16,8.88,24.84,32.47,6.91
06/08/99,25.00,0.46,0.34,2.07,20.72,4.59,45.88,60.95,30.28,07/14/09,7.00,3.27,8.76,5.90,2.80,8.85,32.32,40.02,8.07
06/08/99,35.00,0.00,1.49,72.42,0.00,109.59,31.67,1272.73,475.90,07/14/09,15.00,3.22,13.07,5.88,3.31,8.51,35.12,40.31,10.58
06/08/99,55.00,7.11,0.00,7.82,61.65,0.00,1.32,0.05,75.65,07/14/09,25.00,10.45,16.61,7.71,3.07,10.93,43.89,55.42,21.92
06/08/99,75.00,18.31,0.00,0.00,20.34,0.00,3.79,0.00,48.06,07/14/09,35.00,56.79,23.61,26.80,30.48,0.00,22.00,152.79,118.52
06/08/99,75.00,10.99,155.07,31.56,0.00,0.00,8.31,0.06,107.82,07/14/09,55.00,38.00,6.60,17.74,9.47,0.00,12.70,181.96,59.54
06/08/99,100.00,0.00,0.00,0.00,3.44,0.00,1.41,0.30,3.45,07/14/09,75.00,25.66,2.26,6.04,15.53,5.33,4.68,84.77,32.73
07/15/99,7.00,0.00,0.25,0.82,11.03,0.00,44.99,162.49,22.93,07/14/09,100.00,9.87,2.13,5.73,0.65,5.46,1.65,23.33,13.19
07/15/99,15.00,0.00,0.00,0.00,18.90,0.30,0.02,2.87,16.11,08/11/09,1.00,4.75,6.90,6.42,7.21,12.59,89.79,71.28,23.05
07/15/99,25.00,0.00,0.00,0.00,0.00,0.00,39.20,0.00,29.70,08/11/09,1.00,4.82,6.94,6.47,8.06,13.12,90.34,71.00,22.26
07/15/99,35.00,4.44,0.00,0.00,342.03,0.00,19.21,284.31,347.32,08/11/09,1.00,5.39,7.02,6.69,8.67,13.71,89.07,70.67,20.76
07/15/99,55.00,5.44,0.00,46.52,163.04,0.00,11.56,91.50,216.95,08/11/09,7.00,5.58,13.71,6.33,8.67,11.66,81.87,49.58,30.60
07/15/99,75.00,0.00,0.00,0.00,13.88,0.00,0.00,0.26,12.86,08/11/09,15.00,27.48,57.48,66.24,104.01,0.00,36.94,145.26,468.58
07/15/99,100.00,0.01,0.00,0.00,0.00,0.12,0.02,2.64,4.11,08/11/09,25.00,28.13,49.27,149.58,82.72,3.12,40.32,181.73,230.12
08/11/99,7.00,0.00,0.00,0.00,9.21,0.00,17.07,0.00,11.03,08/11/09,35.00,28.51,103.84,110.55,85.84,0.00,36.03,113.69,210.54
08/11/99,15.00,0.00,0.00,0.00,9.30,0.00,18.92,0.00,13.09,08/11/09,55.00,100.80,11.72,24.98,47.75,0.00,16.70,107.05,78.99
08/11/99,25.00,0.00,0.17,0.92,22.83,0.03,17.39,15.15,36.32,08/11/09,75.00,36.46,2.31,6.13,25.43,5.99,5.52,55.87,51.29
08/11/99,35.00,0.00,0.00,0.00,195.81,0.00,10.42,0.00,178.17,08/11/09,100.00,18.80,2.37,6.33,13.62,9.27,2.89,15.14,33.57
08/11/99,55.00,0.00,0.00,0.00,937.46,0.00,4.03,0.00,41.21,09/15/09,1.00,10.82,11.98,7.77,7.17,13.81,92.62,88.31,33.51
08/11/99,75.00,0.00,0.00,0.00,27.04,0.00,0.00,7.15,31.21,09/15/09,1.00,10.72,11.97,7.72,7.21,13.37,88.15,86.40,33.46
08/11/99,100.00,0.00,0.00,0.00,7.84,0.00,0.00,0.20,13.65,09/15/09,7.00,10.25,12.01,7.92,7.44,13.55,91.46,82.89,35.48
09/14/99,7.00,0.00,0.13,0.66,0.79,0.00,30.66,15.60,11.96,09/15/09,15.00,10.39,21.50,8.09,6.15,14.21,86.35,92.66,28.65
09/14/99,15.00,0.25,0.22,1.30,9.10,2.53,30.14,18.47,17.29,09/15/09,25.00,20.09,34.52,16.78,12.11,17.96,70.77,145.83,65.94
09/14/99,25.00,0.59,0.27,1.68,9.17,5.65,31.40,36.52,16.93,09/15/09,35.00,33.68,48.24,21.74,20.26,11.69,50.72,134.70,69.97
09/14/99,35.00,0.46,0.38,2.26,18.07,4.60,26.99,10.63,37.11,09/15/09,55.00,33.64,36.94,79.24,95.95,6.02,48.20,186.78,271.23
09/14/99,55.00,3.13,0.00,13.20,281.42,0.00,10.81,278.78,175.17,09/15/09,75.00,21.98,11.60,31.38,69.72,16.89,18.56,112.28,166.58
09/14/99,75.00,10.82,0.00,0.00,28.97,0.00,6.50,20.02,54.79,09/15/09,100.00,12.48,2.17,5.56,5.02,6.39,1.97,2.02,14.40
09/14/99,100.00,22.30,0.23,1.53,20.84,0.00,7.17,23.00,50.52,10/07/09,1.00,5.60,8.88,6.04,4.74,8.78,36.95,71.18,15.83
10/05/99,7.00,0.00,0.00,0.00,9.27,0.00,34.98,0.00,2.75,10/07/09,1.00,5.91,10.97,5.91,4.31,7.90,43.54,57.27,18.18
10/05/99,15.00,0.00,0.00,0.00,16.50,0.00,34.83,0.00,4.77,10/07/09,7.00,6.09,11.15,6.14,6.02,8.91,48.46,72.64,19.58
10/05/99,25.00,0.00,0.00,0.00,21.27,0.00,47.42,0.00,1.31,10/07/09,15.00,6.02,13.26,5.93,5.95,8.47,43.99,56.99,20.39
10/05/99,35.00,2.82,0.00,0.00,61.37,0.00,19.66,0.00,13.05,10/07/09,25.00,16.79,14.37,7.80,9.68,9.93,43.26,49.67,43.50
10/05/99,55.00,53.81,0.16,27.61,31.22,0.00,30.61,31.34,75.66,10/07/09,35.00,14.74,21.92,50.51,53.05,19.42,21.17,366.75,364.46
10/05/99,75.00,55.89,0.00,15.79,53.13,0.00,20.08,0.00,69.82,10/07/09,55.00,24.85,8.29,63.35,20.00,6.64,34.43,96.51,188.93
10/05/99,100.00,16.35,0.01,0.04,0.00,0.00,8.00,4.58,17.71,10/07/09,75.00,50.79,2.34,6.54,8.87,0.00,8.12,35.50,49.84
11/04/99,1.00,0.00,0.00,0.00,0.00,0.00,67.10,0.29,8.61,10/07/09,100.00,23.16,2.29,6.13,7.82,4.41,3.29,8.90,26.99
11/04/99,7.00,0.00,0.00,0.00,6.32,0.00,59.30,0.00,6.28,11/10/09,1.00,5.56,4.49,6.30,1.43,8.50,89.07,8.81,9.84
11/04/99,15.00,0.00,0.05,0.16,0.62,0.00,69.89,4.82,9.35,11/10/09,1.00,5.69,4.54,6.36,1.69,9.21,85.04,9.12,9.36
11/04/99,25.00,0.00,0.08,0.35,0.17,0.00,40.09,16.34,9.47,11/10/09,7.00,5.65,6.75,6.35,2.13,9.03,87.85,6.23,11.01
11/04/99,35.00,13.94,0.06,0.21,0.00,0.00,36.19,11.94,21.77,11/10/09,15.00,5.89,2.39,6.77,2.60,10.26,78.38,15.06,10.65
11/04/99,55.00,14.08,0.01,0.15,13.47,0.00,10.78,64.44,31.18,11/10/09,25.00,8.52,6.86,6.52,3.83,8.74,69.31,0.00,16.22
11/04/99,75.00,16.23,0.03,0.10,0.00,0.00,5.37,29.99,14.28,11/10/09,35.00,18.04,12.21,8.09,6.96,10.28,69.40,27.25,29.77
11/04/99,100.00,7.19,0.01,0.04,0.00,0.00,2.59,3.81,6.45,11/10/09,55.00,40.60,12.45,8.54,16.32,6.32,39.59,70.63,59.55
12/07/99,1.00,9.09,0.00,0.00,0.00,0.00,25.17,29.81,23.23,11/10/09,75.00,68.44,2.22,24.28,23.89,0.00,12.72,116.14,83.32
12/07/99,7.00,0.00,0.00,0.00,3.38,0.00,38.48,0.00,3.23,11/10/09,100.00,61.83,2.24,12.10,15.13,0.00,10.35,55.20,50.16
12/07/99,15.00,29.96,0.35,1.98,20.46,0.00,64.09,35.99,65.08,12/08/09,1.00,12.53,17.91,5.96,14.59,7.55,35.43,90.45,28.59
12/07/99,25.00,21.07,0.07,0.36,12.71,0.00,45.97,17.40,22.62,12/08/09,1.00,12.70,15.76,5.96,14.76,8.40,38.96,109.05,33.42
12/07/99,35.00,12.00,0.00,0.00,7.08,0.00,40.94,0.00,14.08,12/08/09,7.00,11.88,13.56,5.96,12.97,9.06,37.08,115.31,26.17
12/07/99,55.00,0.00,0.10,0.44,0.85,0.00,45.82,7.86,8.64,12/08/09,15.00,11.34,15.77,5.96,14.18,8.82,35.83,109.13,27.97
12/07/99,75.00,0.09,0.19,1.12,0.00,1.34,9.04,50.17,16.53,12/08/09,25.00,12.29,15.79,5.96,16.08,8.73,35.92,115.19,29.05
12/07/99,100.00,0.03,0.20,1.14,0.00,0.55,5.98,44.71,9.80,12/08/09,35.00,40.20,27.64,12.00,41.59,5.66,34.52,203.57,83.81
01/11/00,1.00,33.23,0.62,66.16,13.27,0.00,57.36,833.28,74.39,12/08/09,55.00,47.37,2.25,12.40,35.80,4.06,11.29,104.09,55.73
01/11/00,7.00,36.97,0.45,61.89,46.17,0.00,58.70,679.56,77.26,12/08/09,75.00,15.00,2.27,6.06,4.15,6.30,2.11,4.14,12.96
01/11/00,15.00,31.70,0.57,61.69,10.26,0.00,46.70,558.45,76.12,12/08/09,100.00,7.04,2.05,5.15,2.49,6.86,0.74,3.34,8.32
01/11/00,25.00,23.40,0.23,36.32,0.90,0.00,26.62,341.02,49.10,01/07/10,1.00,23.35,14.98,21.87,9.79,13.63,67.25,75.16,36.97
01/11/00,35.00,30.43,0.00,38.44,72.89,0.00,23.45,107.11,65.39,01/07/10,1.00,22.37,10.09,15.28,7.96,13.97,67.27,89.43,35.64
01/11/00,55.00,21.95,0.00,0.10,27.44,0.00,7.32,0.00,39.49,01/07/10,7.00,24.69,14.90,21.80,8.87,13.18,74.76,81.96,41.84
01/11/00,75.00,0.00,0.02,0.05,0.00,0.00,0.00,22.22,11.51,01/07/10,15.00,24.30,17.45,15.56,10.14,13.33,63.81,87.52,36.88
01/11/00,100.00,0.05,0.00,0.00,0.00,0.55,0.10,12.42,3.48,01/07/10,25.00,22.80,25.11,15.71,8.20,15.30,56.95,86.82,27.10
02/08/00,1.00,16.63,0.00,75.99,109.93,0.00,40.69,742.29,176.68,01/07/10,25.00,21.87,27.25,15.55,7.20,13.91,55.97,85.94,28.31
02/08/00,7.00,11.13,0.00,43.30,77.40,0.00,27.72,383.92,349.33,01/07/10,35.00,32.92,33.19,122.86,95.32,20.86,42.78,125.96,355.11
02/08/00,15.00,53.69,0.36,54.10,81.93,0.00,17.55,669.93,72.64,01/07/10,55.00,51.57,18.14,22.71,58.50,17.97,11.11,10.16,195.83
02/08/00,25.00,43.79,0.42,62.47,76.93,0.00,20.74,619.68,82.48,01/07/10,75.00,30.13,2.35,6.21,24.48,7.52,3.20,3.84,58.26
02/08/00,35.00,34.07,0.33,1.67,10.56,0.00,7.46,107.63,35.39,01/07/10,100.00,9.81,2.03,4.94,4.85,6.04,0.72,1.28,12.34
02/08/00,55.00,18.01,0.01,0.35,20.61,1.17,6.02,0.77,35.66,02/11/10,1.00,1.97,2.20,48.58,468.90,62.04,3.31,3617.51,145.49
02/08/00,75.00,0.00,0.01,0.03,0.00,0.00,2.83,22.04,14.69,02/11/10,1.00,2.43,3.16,65.03,502.84,129.74,5.95,3753.49,181.35
02/08/00,100.00,0.04,0.00,0.00,0.00,0.63,4.76,8.02,7.84,02/11/10,7.00,1.98,2.16,54.13,460.20,59.58,2.00,3429.83,144.12
03/09/00,1.00,7.97,0.33,2.19,0.00,7.04,41.85,56.05,30.09,02/11/10,15.00,2.08,2.18,54.38,494.22,60.78,2.01,3652.45,144.90
03/09/00,7.00,8.12,0.37,2.43,0.00,8.20,36.47,75.12,20.38,02/11/10,25.00,2.17,2.39,302.04,217.00,71.42,2.26,1286.25,68.48
03/09/00,15.00,8.01,0.18,1.33,0.00,5.38,35.45,82.37,23.29,02/11/10,35.00,7.57,2.22,36.05,16.45,9.22,1.20,119.91,10.37
03/09/00,25.00,49.14,0.07,19.49,0.00,0.00,11.04,185.74,84.11,02/11/10,55.00,5.04,2.28,6.11,9.35,10.68,1.31,36.52,10.71
03/09/00,35.00,11.02,0.03,0.09,0.00,0.00,6.52,73.32,36.53,03/09/10,1.00,7.37,12.06,7.81,6.25,13.35,70.93,35.03,30.20
03/09/00,55.00,0.15,0.00,0.00,0.00,1.57,0.29,32.01,14.07,03/09/10,7.00,7.26,14.29,7.65,6.37,12.72,70.24,35.58,30.88
03/09/00,75.00,0.00,0.01,0.23,0.00,2.46,0.29,4.29,17.11,03/09/10,7.00,7.39,9.70,7.69,5.73,13.28,68.95,26.72,29.54
03/09/00,100.00,0.06,0.00,0.00,0.00,0.60,0.11,11.15,6.69,03/09/10,15.00,8.89,14.50,7.74,5.58,13.24,68.12,31.31,27.62
04/11/00,1.00,7.73,0.81,2.62,35.08,0.00,30.37,527.37,19.23,03/09/10,25.00,9.55,9.94,8.17,4.88,13.63,49.08,40.87,24.86
04/11/00,15.00,8.22,0.65,15.79,69.48,0.00,26.26,424.99,25.81,03/09/10,35.00,16.83,17.73,5.19,66.31,0.00,18.38,0.00,557.56
04/11/00,25.00,19.33,0.51,25.14,65.28,0.00,14.64,388.32,51.78,03/09/10,55.00,21.54,16.65,52.31,52.73,4.40,14.51,64.02,273.85
04/11/00,35.00,38.46,34.19,33.53,39.61,0.00,5.87,113.08,44.55,03/09/10,75.00,67.96,11.97,26.34,28.17,0.00,10.96,28.00,120.61
04/11/00,55.00,10.25,0.00,0.00,6.01,0.00,6.04,29.03,11.17,03/09/10,100.00,14.55,2.22,11.95,9.54,5.77,2.03,59.61,24.33
04/11/00,75.00,5.29,0.00,0.00,0.00,0.00,2.73,15.05,5.62,04/07/10,1.00,8.17,18.14,6.44,5.62,9.88,66.28,75.39,33.07
04/11/00,100.00,6.82,0.00,0.00,0.00,0.00,3.93,5.68,7.57,04/07/10,1.00,8.04,13.97,7.00,5.40,11.83,64.77,80.32,26.67
05/11/00,1.00,20.13,0.26,45.13,29.01,0.46,96.36,109.98,39.18,04/07/10,7.00,9.14,29.58,6.64,7.29,9.99,68.67,73.22,34.47
05/11/00,7.00,21.71,0.28,40.36,29.36,0.00,91.33,118.73,35.01,04/07/10,15.00,10.03,20.49,6.72,6.98,9.57,65.39,88.01,42.81
05/11/00,15.00,26.74,0.27,19.86,30.80,0.00,42.54,142.64,50.66,04/07/10,25.00,19.74,27.57,18.68,23.98,9.54,37.05,128.63,80.81
05/11/00,25.00,52.69,0.02,56.80,96.18,0.00,17.89,747.84,87.48,04/07/10,35.00,32.11,38.88,16.27,30.05,15.31,39.17,164.54,145.67
05/11/00,35.00,20.25,0.16,37.05,73.07,0.00,24.63,247.00,66.04,04/07/10,55.00,43.99,2.22,12.02,14.38,0.00,5.35,159.04,58.00
05/11/00,55.00,11.69,0.00,0.00,29.78,0.00,4.23,60.00,59.59,04/07/10,75.00,37.55,2.25,6.02,14.09,0.99,5.59,79.81,46.70
