"","Depth","Tchla","Prasino3","Dino1","Crypto1","Hapto6","Chloro1","Cyano4","Diatom1","date","depth_num"
"306","55 - 100 m",10.41,0.18,0,0.18,3.73,0.28,0.35,5.69,2014-05-06,1
"307","55 - 100 m",7.92,0.8,0.02,0.35,5.57,0,0.24,0.94,2014-06-13,1
"308","55 - 100 m",13.15,2.46,0.3,0.09,7.83,0,1.23,1.24,2014-09-03,1
"309","55 - 100 m",10.16,2.09,0.08,0.02,5.8,0,0.92,1.26,2014-10-07,1
"310","55 - 100 m",9.25,1.68,0.09,0.46,6.39,0,0.63,0,2014-11-12,1
"311","55 - 100 m",5.85,1.35,0.06,0.05,4.04,0,0.33,0.01,2014-12-09,1
"312","55 - 100 m",9.13,0.79,0.1,0.74,6.6,0,0.75,0.14,2015-02-15,1
"313","55 - 100 m",6.65,0.65,0.04,0,5.66,0,0.2,0.09,2015-04-14,1
"314","55 - 100 m",2.56,0.24,0.05,0.12,1.6,0,0.15,0.4,2015-07-29,1
"315","55 - 100 m",4.81,0.5,0.07,0,4.01,0,0.07,0.16,2015-08-17,1
"316","55 - 100 m",3.5,0.34,0.04,0.07,2.63,0,0.15,0.27,2015-09-10,1
"317","55 - 100 m",6.26,1.14,0.1,0.19,4.41,0,0.3,0.11,2015-11-16,1
"318","55 - 100 m",3.55,0.54,0,0,2.82,0,0.15,0.04,2015-12-09,1
"319","55 - 100 m",2.45,0.22,0.02,0.03,1.9,0.01,0.16,0.11,2016-01-12,1
"320","55 - 100 m",7.04,0.49,0,0.06,4.39,0.01,0.29,1.79,2016-02-04,1
"321","55 - 100 m",11.58,1.92,0.25,0.81,6.37,0,0.97,1.27,2016-05-10,1
"322","55 - 100 m",22.1,3.3,0.58,2.98,11.1,0,2.45,1.67,2016-06-07,1
"323","55 - 100 m",13.62,1.45,0.28,0.44,6.28,0,0.47,4.69,2016-09-20,1
"324","55 - 100 m",4.61,0.34,0.06,0.25,2.51,0.01,0.42,1.01,2016-12-21,1
"325","55 - 100 m",3.81,0.18,0,0.07,2.01,0,0.2,1.35,2017-01-12,1
