Cruise,Leg,Day,Month,Year,Depth_target,Depth_real,O2_ml_L,O2_umol_kg,SiOH4_Cumana,  PO4_Cumana,NO3_Cumana,NH4 ,NO2 ,NO3NO2 ,PO4,SiOH4,pH,Alkalinity,TCO2,fCO2,Salinity_bott,Salinity_bottcorr,Salinity_ctd,Temp_ctd,Sigma-t_ctd,TPP,PIP,POC,PN,C/N part.,POC,PN,DON_USF,DOP_USF,DOC,TOC,PriPro,Chl,Phaeo,,
002,1,13,12,1995,1,2.0,4.07,177.42,2.26,0.03,0.26,-9999,-9999,-9999,-9999,-9999,8.0597,0.002413,2079.5,399.4,-9999,-9999,36.810,25.390,24.5900,-9999,-9999,59.74,12.01,5.80,58.30,11.72,-9999,-9999,-9999,-9999,1.66,0.12,0.08,,
002,1,13,12,1995,7,7.5,4.12,179.38,2.47,0.02,0.40,-9999,-9999,-9999,-9999,-9999,8.0539,0.002407,2078.0,405.3,-9999,-9999,36.810,25.400,24.5900,-9999,-9999,63.03,12.44,5.91,61.51,12.14,-9999,-9999,-9999,-9999,1.11,0.15,0.11,,
002,1,13,12,1995,15,16.0,4.09,178.40,2.69,0.05,0.43,-9999,-9999,-9999,-9999,-9999,8.0507,0.002413,2084.9,409.6,-9999,-9999,36.810,25.380,24.5900,-9999,-9999,53.04,10.22,6.05,51.76,9.97,-9999,-9999,-9999,-9999,1.23,0.18,0.14,,
002,1,13,12,1995,25,26.0,3.50,152.34,3.66,0.08,2.02,-9999,-9999,-9999,-9999,-9999,8.0217,0.002416,2106.5,433.4,-9999,-9999,36.820,24.680,24.8200,-9999,-9999,81.05,16.21,5.84,79.10,15.81,-9999,-9999,-9999,-9999,1.76,0.38,0.42,,
002,1,13,12,1995,35,36.0,3.27,142.49,4.19,0.23,2.68,-9999,-9999,-9999,-9999,-9999,8.0019,0.002405,2107.8,444.4,-9999,-9999,36.880,24.050,25.0450,-9999,-9999,49.81,9.50,6.12,48.60,9.27,-9999,-9999,-9999,-9999,0.26,0.10,0.20,,
002,1,13,12,1995,55,55.5,3.32,144.68,3.98,0.22,3.77,-9999,-9999,-9999,-9999,-9999,8.0120,0.002414,2109.4,425.6,-9999,-9999,36.880,23.590,25.1900,-9999,-9999,27.13,5.42,5.84,26.48,5.29,-9999,-9999,-9999,-9999,0.00,0.10,0.20,,
002,1,13,12,1995,75,76.0,3.27,142.44,4.09,0.30,4.31,-9999,-9999,-9999,-9999,-9999,7.9818,0.002408,2122.0,447.7,-9999,-9999,36.890,22.800,25.4300,-9999,-9999,50.31,8.57,6.85,49.10,8.36,-9999,-9999,-9999,-9999,0.08,0.04,0.10,,
002,1,13,12,1995,100,100.0,3.05,132.83,5.16,0.41,5.42,-9999,-9999,-9999,-9999,-9999,7.9586,0.002396,2124.8,452.0,-9999,-9999,36.830,21.550,25.7400,-9999,-9999,37.04,5.85,7.39,36.15,5.71,-9999,-9999,-9999,-9999,0.01,0.01,0.04,,
002,1,13,12,1995,130,128.0,2.69,117.12,6.24,0.47,7.72,-9999,-9999,-9999,-9999,-9999,7.9183,0.002371,2124.4,479.9,-9999,-9999,36.722,20.520,25.9400,-9999,-9999,19.62,4.35,5.26,19.15,4.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
002,1,13,12,1995,160,159.0,1.83,79.84,11.50,0.91,8.71,-9999,-9999,-9999,-9999,-9999,7.8368,0.002346,2142.9,563.9,-9999,-9999,36.571,19.260,26.1560,-9999,-9999,19.04,3.64,6.11,18.58,3.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
002,1,13,12,1995,200,199.0,0.58,25.42,22.58,1.42,1.65,-9999,-9999,-9999,-9999,-9999,7.7198,0.002373,2221.7,750.7,-9999,-9999,36.449,18.290,26.3100,-9999,-9999,19.32,4.57,4.94,18.85,4.45,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
002,1,13,12,1995,250,250.0,0.22,9.49,34.83,-9999,-0.04,-9999,-9999,-9999,-9999,-9999,7.6696,0.002392,2260.7,851.8,-9999,-9999,36.401,17.930,26.3600,-9999,-9999,21.14,4.71,5.24,20.63,4.59,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
002,1,13,12,1995,300,300.0,0.00,0.00,43.97,2.55,0.91,-9999,-9999,-9999,-9999,-9999,7.6572,0.002415,2287.5,881.2,-9999,-9999,36.369,17.720,26.3900,-9999,-9999,34.08,5.78,6.88,33.26,5.64,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
002,1,13,12,1995,350,347.0,0.00,0.00,48.16,2.77,0.32,-9999,-9999,-9999,-9999,-9999,7.6423,0.002416,2294.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,25.84,5.64,5.35,25.22,5.50,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
