"","PAR","month","yday"
"1",51.3959993300959,"07",195
"2",51.5239993361756,"07",195
"3",51.3159993262962,"07",195
"4",50.8499993041623,"07",195
"5",50.4939992872532,"07",195
"6",50.4459992849734,"07",195
"7",49.431999236811,"07",195
"8",48.8079992071725,"07",195
"9",50.5599992903881,"07",195
"10",50.1339992701542,"07",195
"11",49.0539992188569,"07",195
"12",48.3939991875086,"07",195
"13",49.2739992293064,"07",195
"14",48.4699991911184,"07",195
"15",47.9999991687946,"07",195
"16",46.8519991142675,"07",195
"17",48.0919991731644,"07",195
"18",46.5779991012532,"07",195
"19",46.0719990772195,"07",195
"20",44.1799989873543,"07",195
"21",56.6739995807875,"08",226
"22",56.0239995499142,"08",226
"23",55.69799953443,"08",226
"24",55.7919995388947,"08",226
"25",55.7219995355699,"08",226
"26",55.5459995272104,"08",226
"27",55.2519995132461,"08",226
"28",55.67399953329,"08",226
"29",55.4379995220806,"08",226
"30",54.7739994905423,"08",226
"31",53.6959994393401,"08",226
"32",54.8259994930122,"08",226
"33",54.7699994903523,"08",226
"34",53.9139994496945,"08",226
"35",52.7519993945025,"08",226
"36",52.7779993957374,"08",226
"37",54.5419994795229,"08",226
"38",53.6459994369652,"08",226
"39",52.0419993607793,"08",226
"40",52.3339993746486,"08",226
"41",56.7839995860122,"09",257
"42",56.7879995862022,"09",257
"43",56.7719995854422,"09",257
"44",56.7259995832574,"09",257
"45",56.8879995909519,"09",257
"46",56.853999589337,"09",257
"47",56.8299995881971,"09",257
"48",56.7919995863922,"09",257
"49",56.867999590002,"09",257
"50",56.867999590002,"09",257
"51",56.8299995881971,"09",257
"52",56.8219995878171,"09",257
"53",56.3279995643534,"09",257
"54",56.2039995584637,"09",257
"55",56.3679995662533,"09",257
"56",56.1759995571338,"09",257
"57",55.4179995211307,"09",257
"58",54.2559994659387,"09",257
"59",52.9219994025771,"09",257
"60",52.8739994002972,"09",257
"61",52.8179993976373,"10",287
"62",52.7599993948825,"10",287
"63",52.0899993630592,"10",287
"64",51.5799993388355,"10",287
"65",52.2479993705638,"10",287
"66",52.0139993594494,"10",287
"67",51.9799993578345,"10",287
"68",51.5999993397854,"10",287
"69",51.3339993271511,"10",287
"70",51.1179993168917,"10",287
"71",51.5739993385505,"10",287
"72",51.5259993362706,"10",287
"73",51.2679993240163,"10",287
"74",51.2959993253462,"10",287
"75",51.1919993204065,"10",287
"76",50.6859992963728,"10",287
"77",51.1419993180316,"10",287
"78",50.5699992908631,"10",287
"79",50.2599992761388,"10",287
"80",50.0319992653094,"10",287
"81",49.0459992184769,"11",318
"82",48.9659992146771,"11",318
"83",48.7419992040377,"11",318
"84",48.8819992106874,"11",318
"85",49.1139992217068,"11",318
"86",48.7859992061276,"11",318
"87",48.8199992077425,"11",318
"88",48.631999198813,"11",318
"89",49.1459992232267,"11",318
"90",48.7619992049877,"11",318
"91",48.7839992060326,"11",318
"92",48.5699991958681,"11",318
"93",49.0739992198069,"11",318
"94",48.7839992060326,"11",318
"95",48.613999197958,"11",318
