unlimited,Cruise_number,Cruise_ID_1,Cruise_ID_2,Leg,Day,Month,Year,Latitude,Longitude,Hydro_cast_no,Depth_target,Depth_real,O2_ml_L,q_O2_ml_L,O2_umol_kg,q_O2_umol_kg,NO3_UDO,q_NO3_UDO,PO4_UDO,q_PO4_UDO,SiO4_UDO,q_SiO4_UDO,NH4_USF,q_NH4_USF,NO2_USF,q_NO2_USF,NO3_NO2_USF,q_NO3_NO3_USF,PO4_USF,q_PO4_USF,SiO4_USF,q_SiO4_USF,pH,q_pH,Alkalinity_mol_kg,q_Alkalinity_mol_kg,Alkalinity_umol_kg,q_Alkalinity_umol_kg,TCO2,q_TCO2,fCO2,q_fCO2,pH_corrected,q_pH_corrected,TCO2_corrected,q_TCO2_corrected,fCO2_corrected,q_fCO2_corrected,Salinity_bottles,q_Salinity_bottles,Salinity_CTD,q_Salinity_CTD,Temperature,q_Temperature,Sigma_t,q_Sigma_t,TPP,q_TPP,PIP,q_PIP,POC_ug_kg,q_POC_ug_kg,PON_ug_kg,q_PON_ug_kg,POC_ug_L,q_POC_ug_L,PN_ug_L,q_PN_ug_L,C_N_particulate,q_C_N_particulate,DON,q_DON,DOP,q_DOP,DOC,q_DOC,TOC,q_TOC,PrimaryProductivity,q_PrimaryProductivity,Chlorophyll,q_Chlorophyll,Phaeopigments,q_Phaeopigments,Total_Prokaryotes,Bact_Biomass_mgC_m3,Bact_Biomass_uMC,Bio_cast_no,ISO_DateTime_start_hc_local,ISO_DateTime_end_hc_local,ISO_DateTime_start_bc_local,ISO_DateTime_end_bc_local,ISO_DateTime_start_hc_UTC,ISO_DateTime_end_hc_UTC,ISO_DateTime_start_bc_UTC,ISO_DateTime_end_bc_UTC
0,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,1.0,1.5,4.85,b'0',211.614,b'0',0.18,b'0',0.0,b'0',2.4,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.576,b'0',,b'0',27.49,b'0',23.72,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',134.8,b'0',,b'0',,b'0',0.0940762,b'0',0.09,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
1,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,7.0,6.5,4.41,b'0',192.391,b'0',0.17,b'0',0.0,b'0',2.8,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00240886,b'0',2408.86,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.577,b'0',,b'0',27.5,b'0',23.72,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',88.3,b'0',,b'0',,b'0',0.0746952,b'0',0.06,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
2,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,15.0,15.0,4.38,b'0',191.075,b'0',0.16,b'0',0.0,b'0',2.2,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00241135,b'0',2411.35,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.59,b'0',,b'0',27.49,b'0',23.76,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',80.7,b'0',,b'0',,b'0',0.100048,b'0',0.08,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
3,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,25.0,25.0,4.37,b'0',190.565,b'0',0.17,b'0',0.0,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00241044,b'0',2410.44,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.6118,b'0',,b'0',26.3,b'0',24.156,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',78.3,b'0',,b'0',,b'0',0.11801400000000001,b'0',0.14,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
4,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,35.0,35.0,4.27,b'0',186.13099999999997,b'0',0.85,b'0',0.01,b'0',1.9,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00241587,b'0',2415.87,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.744,b'0',,b'0',25.32,b'0',24.563000000000002,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',78.2,b'0',,b'0',,b'0',0.131476,b'0',0.2,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
5,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,55.0,54.5,3.95,b'0',172.142,b'0',0.63,b'0',0.06,b'0',1.7,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.829,b'0',,b'0',24.75,b'0',24.8,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',77.7,b'0',,b'0',,b'0',0.418,b'0',0.6,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
6,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,75.0,74.0,3.87,b'0',168.639,b'0',1.08,b'0',0.08,b'0',2.2,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.002398,b'0',2398.0,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.847,b'0',,b'0',24.48,b'0',24.9,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',73.0,b'0',,b'0',,b'0',0.16301,b'0',0.31,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
7,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,1.0,100.0,97.0,3.63,b'0',158.175,b'0',2.52,b'0',0.2,b'0',2.4,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.002403,b'0',2403.0,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.898,b'0',,b'0',23.97,b'0',24.936999999999998,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',74.0,b'0',,b'0',,b'0',0.0680952,b'0',0.16,b'0',,,,2.0,1995-11-08 06:12:00,1995-11-08 06:38:00,1995-11-08 03:36:00,1995-11-08 03:54:00,1995-11-08 10:12:00,1995-11-08 10:38:00,1995-11-08 07:36:00,1995-11-08 07:54:00
8,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3.0,150.0,151.5,1.81,b'0',78.7749,b'0',10.69,b'0',0.96,b'0',10.7,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00236287,b'0',2362.87,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.58,b'0',,b'0',19.27,b'0',26.17,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',71.1,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1995-11-08 09:19:00,1995-11-08 10:35:00,,,1995-11-08 13:19:00,1995-11-08 14:35:00,,
9,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3.0,200.0,200.0,0.45,b'0',19.582,b'0',10.57,b'0',1.5,b'0',22.1,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00237,b'0',2370.0,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.4483,b'0',,b'0',18.23,b'0',26.325,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',99.7,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1995-11-08 09:19:00,1995-11-08 10:35:00,,,1995-11-08 13:19:00,1995-11-08 14:35:00,,
10,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3.0,250.0,251.5,0.0,b'0',0.0,b'0',9.29,b'0',2.42,b'0',37.0,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00239812,b'0',2398.12,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.3915,b'0',,b'0',17.89,b'0',26.39,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',69.8,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1995-11-08 09:19:00,1995-11-08 10:35:00,,,1995-11-08 13:19:00,1995-11-08 14:35:00,,
11,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3.0,300.0,302.5,0.0,b'0',0.0,b'0',0.29,b'0',2.56,b'0',42.2,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00239811,b'0',2398.11,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.363,b'0',,b'0',17.66,b'0',26.4,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',66.3,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1995-11-08 09:19:00,1995-11-08 10:35:00,,,1995-11-08 13:19:00,1995-11-08 14:35:00,,
12,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3.0,350.0,353.0,0.0,b'0',0.0,b'0',0.29,b'0',2.64,b'0',44.3,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00241483,b'0',2414.83,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.341,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',71.6,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1995-11-08 09:19:00,1995-11-08 10:35:00,,,1995-11-08 13:19:00,1995-11-08 14:35:00,,
13,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3.0,400.0,409.5,0.0,b'0',0.0,b'0',0.19,b'0',2.81,b'0',55.4,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00243293,b'0',2432.93,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.319,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1995-11-08 09:19:00,1995-11-08 10:35:00,,,1995-11-08 13:19:00,1995-11-08 14:35:00,,
14,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3.0,450.0,451.0,0.0,b'0',0.0,b'0',0.2,b'0',2.99,b'0',59.5,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00242974,b'0',2429.74,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.296,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',59.4,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1995-11-08 09:19:00,1995-11-08 10:35:00,,,1995-11-08 13:19:00,1995-11-08 14:35:00,,
15,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3.0,500.0,502.5,0.0,b'0',0.0,b'0',0.2,b'0',3.11,b'0',74.7,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00244877,b'0',2448.77,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.271,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',61.7,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1995-11-08 09:19:00,1995-11-08 10:35:00,,,1995-11-08 13:19:00,1995-11-08 14:35:00,,
16,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3.0,750.0,752.5,0.0,b'0',0.0,b'0',0.2,b'0',3.32,b'0',81.7,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00242891,b'0',2428.91,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.229,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',61.0,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1995-11-08 09:19:00,1995-11-08 10:35:00,,,1995-11-08 13:19:00,1995-11-08 14:35:00,,
17,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3.0,1000.0,1005.0,0.0,b'0',0.0,b'0',0.07,b'0',3.45,b'0',80.3,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00246387,b'0',2463.87,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.221,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',62.5,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1995-11-08 09:19:00,1995-11-08 10:35:00,,,1995-11-08 13:19:00,1995-11-08 14:35:00,,
18,1,93HG_001,CAR-001,2,8,11,1995,10.5,-64.667,3.0,1200.0,1210.0,0.0,b'0',0.0,b'0',0.08,b'0',3.57,b'0',94.1,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.00246383,b'0',2463.83,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',36.223,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',66.7,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1995-11-08 09:19:00,1995-11-08 10:35:00,,,1995-11-08 13:19:00,1995-11-08 14:35:00,,
19,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,3.0,1.0,2.0,4.07022,b'0',177.418,b'0',0.26,b'0',0.025,b'0',2.26,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',8.05972,b'0',0.00241292,b'0',2412.92,b'0',2079.5,b'0',399.4,b'0',8.06523,b'0',2075.94,b'0',393.159,b'0',,b'0',36.81,b'0',25.39,b'0',24.59,b'0',,b'0',,b'0',59.74,b'0',12.01,b'0',5.80322,b'0',58.3,b'0',11.7205,b'0',,b'0',,b'0',,b'0',,b'0',1.6555099999999998,b'0',0.12,b'0',0.08,b'0',,,,2.0,1995-12-13 06:51:00,1995-12-13 07:19:00,1995-12-13 04:11:00,1995-12-13 04:50:00,1995-12-13 10:51:00,1995-12-13 11:19:00,1995-12-13 08:11:00,1995-12-13 08:50:00
20,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,3.0,7.0,7.5,4.11528,b'0',179.38099999999997,b'0',0.4,b'0',0.015,b'0',2.47,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',8.05385,b'0',0.00240721,b'0',2407.21,b'0',2078.0,b'0',405.3,b'0',8.059619999999999,b'0',2074.4,b'0',398.694,b'0',,b'0',36.81,b'0',25.4,b'0',24.59,b'0',,b'0',,b'0',63.025,b'0',12.435,b'0',5.91308,b'0',61.5058,b'0',12.1353,b'0',,b'0',,b'0',,b'0',,b'0',1.1149,b'0',0.15,b'0',0.11,b'0',0.3675,1.199,0.0999,2.0,1995-12-13 06:51:00,1995-12-13 07:19:00,1995-12-13 04:11:00,1995-12-13 04:50:00,1995-12-13 10:51:00,1995-12-13 11:19:00,1995-12-13 08:11:00,1995-12-13 08:50:00
21,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,3.0,15.0,16.0,4.09275,b'0',178.4,b'0',0.43,b'0',0.05,b'0',2.69,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',8.05068,b'0',0.00241252,b'0',2412.52,b'0',2084.9,b'0',409.6,b'0',8.05612,b'0',2081.38,b'0',403.306,b'0',,b'0',36.81,b'0',25.38,b'0',24.59,b'0',,b'0',,b'0',53.04,b'0',10.22,b'0',6.054790000000001,b'0',51.7615,b'0',9.97365,b'0',,b'0',,b'0',,b'0',,b'0',1.22975,b'0',0.18,b'0',0.14,b'0',,,,2.0,1995-12-13 06:51:00,1995-12-13 07:19:00,1995-12-13 04:11:00,1995-12-13 04:50:00,1995-12-13 10:51:00,1995-12-13 11:19:00,1995-12-13 08:11:00,1995-12-13 08:50:00
22,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,3.0,25.0,26.0,3.49577,b'0',152.344,b'0',2.02,b'0',0.08,b'0',3.66,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',8.02169,b'0',0.00241601,b'0',2416.01,b'0',2106.5,b'0',433.4,b'0',8.02645,b'0',2103.02,b'0',427.335,b'0',,b'0',36.82,b'0',24.68,b'0',24.82,b'0',,b'0',,b'0',81.05,b'0',16.205,b'0',5.83513,b'0',79.0963,b'0',15.8144,b'0',,b'0',,b'0',,b'0',,b'0',1.75547,b'0',0.38,b'0',0.42,b'0',0.419,0.7751,0.0646,2.0,1995-12-13 06:51:00,1995-12-13 07:19:00,1995-12-13 04:11:00,1995-12-13 04:50:00,1995-12-13 10:51:00,1995-12-13 11:19:00,1995-12-13 08:11:00,1995-12-13 08:50:00
23,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,3.0,35.0,36.0,3.2705,b'0',142.495,b'0',2.68,b'0',0.23,b'0',4.19,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',8.00191,b'0',0.0024053,b'0',2405.3,b'0',2107.8,b'0',444.4,b'0',8.00645,b'0',2104.87,b'0',438.659,b'0',,b'0',36.88,b'0',24.05,b'0',25.045,b'0',,b'0',,b'0',49.805,b'0',9.5,b'0',6.1164,b'0',48.6045,b'0',9.27101,b'0',,b'0',,b'0',,b'0',,b'0',0.255925,b'0',0.1,b'0',0.2,b'0',,,,2.0,1995-12-13 06:51:00,1995-12-13 07:19:00,1995-12-13 04:11:00,1995-12-13 04:50:00,1995-12-13 10:51:00,1995-12-13 11:19:00,1995-12-13 08:11:00,1995-12-13 08:50:00
24,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,3.0,55.0,55.5,3.3211800000000005,b'0',144.683,b'0',3.77,b'0',0.22,b'0',3.98,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',8.012039999999999,b'0',0.00241386,b'0',2413.86,b'0',2109.4,b'0',425.6,b'0',8.017489999999999,b'0',2105.98,b'0',419.005,b'0',,b'0',36.88,b'0',23.59,b'0',25.19,b'0',,b'0',,b'0',27.13,b'0',5.42,b'0',5.83979,b'0',26.476,b'0',5.28935,b'0',,b'0',,b'0',,b'0',,b'0',1.84359e-17,b'0',0.1,b'0',0.2,b'0',0.2376,0.7751,0.0646,2.0,1995-12-13 06:51:00,1995-12-13 07:19:00,1995-12-13 04:11:00,1995-12-13 04:50:00,1995-12-13 10:51:00,1995-12-13 11:19:00,1995-12-13 08:11:00,1995-12-13 08:50:00
25,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,3.0,75.0,76.0,3.2705,b'0',142.441,b'0',4.31,b'0',0.295,b'0',4.09,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',7.98177,b'0',0.00240797,b'0',2407.97,b'0',2122.0,b'0',447.7,b'0',7.986510000000001,b'0',2119.09,b'0',441.75699999999995,b'0',,b'0',36.89,b'0',22.8,b'0',25.43,b'0',,b'0',,b'0',50.31,b'0',8.57,b'0',6.848889999999999,b'0',49.0973,b'0',8.36342,b'0',,b'0',,b'0',,b'0',,b'0',0.0804169,b'0',0.04,b'0',0.1,b'0',1.1411,3.723,0.3102,2.0,1995-12-13 06:51:00,1995-12-13 07:19:00,1995-12-13 04:11:00,1995-12-13 04:50:00,1995-12-13 10:51:00,1995-12-13 11:19:00,1995-12-13 08:11:00,1995-12-13 08:50:00
26,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,3.0,100.0,100.0,3.05085,b'0',132.835,b'0',5.42,b'0',0.41,b'0',5.16,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',7.95858,b'0',0.00239626,b'0',2396.26,b'0',2124.8,b'0',452.0,b'0',7.96368,b'0',2121.89,b'0',445.667,b'0',,b'0',36.83,b'0',21.55,b'0',25.74,b'0',,b'0',,b'0',37.04,b'0',5.85,b'0',7.386889999999999,b'0',36.1472,b'0',5.70899,b'0',,b'0',,b'0',,b'0',,b'0',0.00732932,b'0',0.01,b'0',0.04,b'0',1.6268,5.3076,0.4423,2.0,1995-12-13 06:51:00,1995-12-13 07:19:00,1995-12-13 04:11:00,1995-12-13 04:50:00,1995-12-13 10:51:00,1995-12-13 11:19:00,1995-12-13 08:11:00,1995-12-13 08:50:00
27,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,1.0,130.0,128.0,2.69041,b'0',117.118,b'0',7.72,b'0',0.465,b'0',6.24,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',7.918310000000001,b'0',0.00237101,b'0',2371.01,b'0',2124.4,b'0',479.9,b'0',7.92255,b'0',2122.11,b'0',474.285,b'0',,b'0',36.722,b'0',20.52,b'0',25.94,b'0',,b'0',,b'0',19.62,b'0',4.35,b'0',5.26207,b'0',19.1471,b'0',4.24514,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',1.4746,5.0753,0.4229,,1995-12-13 22:11:00,1995-12-13 23:00:00,,,1995-12-14 02:11:00,1995-12-14 03:00:00,,
28,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,1.0,160.0,159.0,1.83437,b'0',79.8365,b'0',8.71,b'0',0.905,b'0',11.5,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',7.836760000000001,b'0',0.00234584,b'0',2345.84,b'0',2142.9,b'0',563.9,b'0',7.841139999999999,b'0',2140.78,b'0',557.3009999999999,b'0',,b'0',36.571,b'0',19.26,b'0',26.156,b'0',,b'0',,b'0',19.04,b'0',3.635,b'0',6.1109599999999995,b'0',18.581,b'0',3.5473800000000004,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.8766,3.017,0.2514,,1995-12-13 22:11:00,1995-12-13 23:00:00,,,1995-12-14 02:11:00,1995-12-14 03:00:00,,
29,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,1.0,200.0,199.0,0.5840890000000001,b'0',25.4173,b'0',1.65,b'0',1.415,b'0',22.58,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',7.71975,b'0',0.00237271,b'0',2372.71,b'0',2221.7,b'0',750.7,b'0',7.72387,b'0',2219.95,b'0',742.658,b'0',,b'0',36.449,b'0',18.29,b'0',26.31,b'0',,b'0',,b'0',19.32,b'0',4.565,b'0',4.93757,b'0',18.8543,b'0',4.45496,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',0.8181,2.8156,0.2346,,1995-12-13 22:11:00,1995-12-13 23:00:00,,,1995-12-14 02:11:00,1995-12-14 03:00:00,,
30,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,1.0,250.0,250.0,0.21801700000000002,b'0',9.48679,b'0',-0.04,b'1',,b'0',34.83,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',7.669580000000001,b'0',0.002392,b'0',2392.0,b'0',2260.7,b'0',851.8,b'0',7.67347,b'0',2259.15,b'0',843.209,b'0',,b'0',36.400999999999996,b'0',17.93,b'0',26.36,b'0',,b'0',,b'0',21.14,b'0',4.705,b'0',5.2419400000000005,b'0',20.6304,b'0',4.59159,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',1.1692,4.1672,0.3473,,1995-12-13 22:11:00,1995-12-13 23:00:00,,,1995-12-14 02:11:00,1995-12-14 03:00:00,,
31,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,1.0,300.0,300.0,0.0,b'0',0.0,b'0',0.91,b'0',2.545,b'0',43.97,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',7.65725,b'0',0.002415,b'0',2415.0,b'0',2287.5,b'0',881.2,b'0',7.66096,b'0',2285.94,b'0',872.5,b'0',,b'0',36.369,b'0',17.72,b'0',26.39,b'0',,b'0',,b'0',34.08,b'0',5.78,b'0',6.878889999999999,b'0',33.2585,b'0',5.640680000000001,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',1.0873,3.8752,0.3229,,1995-12-13 22:11:00,1995-12-13 23:00:00,,,1995-12-14 02:11:00,1995-12-14 03:00:00,,
32,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,1.0,350.0,347.0,0.0,b'0',0.0,b'0',0.32,b'0',2.765,b'0',48.16,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',7.6423,b'0',0.002416,b'0',2416.0,b'0',2294.3,b'0',898.069,b'0',7.64593,b'0',2292.84,b'0',889.5239999999999,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',25.84,b'0',5.635,b'0',5.3499,b'0',25.2171,b'0',5.4991699999999994,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',1.0404,3.7083,0.309,,1995-12-13 22:11:00,1995-12-13 23:00:00,,,1995-12-14 02:11:00,1995-12-14 03:00:00,,
33,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,1.0,400.0,395.0,0.0,b'0',0.0,b'0',0.27,b'0',2.83,b'0',55.9,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',7.6334,b'0',0.00241673,b'0',2416.73,b'0',2298.5,b'0',919.6189999999999,b'0',7.63736,b'0',2296.9,b'0',910.076,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',24.475,b'0',5.565,b'0',5.13103,b'0',23.885,b'0',5.43086,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',2.3407,8.3427,0.6952,,1995-12-13 22:11:00,1995-12-13 23:00:00,,,1995-12-14 02:11:00,1995-12-14 03:00:00,,
34,2,93HG_002,CAR-002,1,13,12,1995,10.5,-64.667,1.0,500.0,494.0,0.0,b'0',0.0,b'0',0.45,b'0',3.055,b'0',64.5,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',7.621289999999999,b'0',0.002448,b'0',2448.0,b'0',2333.5,b'0',961.8560000000001,b'0',7.62513,b'0',2332.0,b'0',952.21,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',21.215,b'0',4.78,b'0',5.178,b'0',20.7036,b'0',4.66478,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',2.0598,9.9049,0.8254,,1995-12-13 22:11:00,1995-12-13 23:00:00,,,1995-12-14 02:11:00,1995-12-14 03:00:00,,
