"","Date","val","spec"
"152",2015-08-17,30.27,"Tchla"
"153",2015-09-10,31.5,"Tchla"
"154",2015-11-16,31.99,"Tchla"
"155",2015-12-09,22.82,"Tchla"
"156",2016-01-12,66.31,"Tchla"
"157",2016-02-04,44.41,"Tchla"
"158",2016-05-10,43.14,"Tchla"
"159",2016-06-07,37.26,"Tchla"
"160",2016-09-20,31.38,"Tchla"
"161",2016-12-21,32.23,"Tchla"
"162",2017-01-12,51.42,"Tchla"
"163",1995-12-14,2.54,"Prasino3"
"164",1996-01-13,1.43,"Prasino3"
"165",1996-02-14,1.64,"Prasino3"
"166",1996-03-13,0.49,"Prasino3"
"167",1996-04-17,1.11,"Prasino3"
"168",1996-05-10,1.11,"Prasino3"
"169",1996-06-13,4.43,"Prasino3"
"170",1996-07-11,0.89,"Prasino3"
"171",1996-08-07,4.19,"Prasino3"
"172",1996-09-11,0.82,"Prasino3"
"173",1996-10-09,0.52,"Prasino3"
"174",1996-11-11,1.94,"Prasino3"
"175",1996-12-10,3.99,"Prasino3"
"176",1997-01-08,1.57,"Prasino3"
"177",1997-02-14,4.29,"Prasino3"
"178",1997-02-23,0.38,"Prasino3"
"179",1997-03-13,6.84,"Prasino3"
"180",1997-04-16,3,"Prasino3"
"181",1997-05-10,1.57,"Prasino3"
"182",1997-06-17,9.49,"Prasino3"
"183",1997-07-08,1.73,"Prasino3"
"184",1997-07-16,2.02,"Prasino3"
"185",1997-08-17,5.83,"Prasino3"
"186",1997-09-17,3.93,"Prasino3"
"187",1997-10-14,5.84,"Prasino3"
"188",1997-11-13,4.14,"Prasino3"
"189",1997-12-17,4.85,"Prasino3"
"190",1998-01-14,2.01,"Prasino3"
"191",1998-02-11,2.25,"Prasino3"
"192",1998-03-12,2.83,"Prasino3"
"193",1998-04-21,2.64,"Prasino3"
"194",1998-06-09,3.62,"Prasino3"
"195",1998-07-09,3.3,"Prasino3"
"196",1998-08-05,2.13,"Prasino3"
"197",1998-09-01,0.5,"Prasino3"
"198",1998-12-16,1.97,"Prasino3"
"199",1999-01-12,0.04,"Prasino3"
"200",1999-03-04,0,"Prasino3"
"201",1999-04-07,0.46,"Prasino3"
"202",1999-07-15,0.17,"Prasino3"
"203",1999-08-11,0,"Prasino3"
"204",1999-09-14,0.6,"Prasino3"
"205",1999-10-05,2.58,"Prasino3"
"206",1999-11-04,0.95,"Prasino3"
"207",1999-12-07,0.69,"Prasino3"
"208",2000-01-11,1.77,"Prasino3"
"209",2000-02-08,1.92,"Prasino3"
"210",2000-03-09,0.81,"Prasino3"
"211",2000-04-11,1.33,"Prasino3"
"212",2000-05-11,1.76,"Prasino3"
"213",2000-06-06,2.17,"Prasino3"
"214",2000-07-07,0.19,"Prasino3"
"215",2000-08-09,1.51,"Prasino3"
"216",2000-09-12,1.53,"Prasino3"
"217",2000-10-10,2.49,"Prasino3"
"218",2006-07-04,2.1,"Prasino3"
"219",2006-08-03,2.36,"Prasino3"
"220",2006-09-12,2.97,"Prasino3"
"221",2006-10-10,1.22,"Prasino3"
"222",2006-11-02,2.71,"Prasino3"
"223",2006-12-05,4.32,"Prasino3"
"224",2007-02-06,0.54,"Prasino3"
