"","Value","month","yday","reg"
"1",14.3304913118641,"01",11,1
"2",18.2395376023571,"02",43,1
"3",25.6260348458051,"03",72,1
"4",24.3708228703065,"04",106,1
"5",10.9542124094775,"05",129,1
"6",20.0194119032002,"06",163,1
"7",11.770525148435,"07",191,1
"8",6.773194153251,"08",218,1
"9",3.89937424218216,"09",253,1
"10",15.7000254293177,"10",282,1
"11",11.658315644616,"11",314,1
"12",9.07423702068207,"12",345,1
"13",18.1891185978473,"01",6,1
"14",19.4617479337621,"02",43,1
"15",24.7270635782053,"03",71,1
"16",16.3490932531639,"04",104,1
"17",15.348829697391,"05",129,1
"18",7.74829547566812,"06",167,1
"19",6.98608719055638,"07",188,1
"20",13.6020386343656,"08",228,1
"21",7.78953300049596,"09",259,1
"22",8.26538691702283,"10",286,1
"23",7.0625374001162,"11",316,1
"24",10.0887203485735,"12",350,1
"25",10.8342531588642,"01",13,1
"26",13.568316423308,"02",41,1
"27",17.1144185339681,"03",70,1
"28",9.83283168473657,"04",110,1
"29",7.31674930400332,"06",159,1
"30",11.1886642203783,"07",189,1
"31",13.3221877815656,"08",216,1
"32",8.88979417372191,"09",243,1
"33",11.1017737079871,"10",286,1
"34",11.1237726403025,"11",313,1
"35",5.92819632438433,"12",349,1
"36",10.0746303075527,"01",11,1
"37",18.8625021142549,"02",40,1
"38",21.0855524278213,"03",62,1
"39",15.7112251490294,"04",96,1
"40",16.9373378631432,"05",125,1
"41",19.0042475177005,"06",158,1
"42",17.6111537014628,"07",195,1
"43",19.4934162225755,"08",222,1
"44",10.5468588830327,"09",256,1
"45",11.3077056285119,"10",277,1
"46",7.87599664560852,"11",307,1
"47",7.8305891558979,"12",340,1
"48",12.9625064407344,"01",10,1
"49",16.3217502291201,"02",38,1
"50",9.38052693665293,"03",68,1
"51",15.6931479623072,"04",101,1
"52",16.5536538581887,"05",131,1
"53",10.1338192678219,"06",157,1
"54",29.7838585874011,"07",188,1
"55",12.3899147107312,"08",221,1
"56",10.6383940150443,"09",255,1
"57",14.4156213780859,"10",283,1
