studyName,"Datetime GMT","Latitude (º)","Longitude (º)",Cycle,Event,Cast,"Depth (m)",Bottle,"Assoc Bottle 1","Assoc Bottle 2","Assoc Bottle 3","Total Chl (µg/L)","Chl - 1µm (µg/L)","Chl - 3µm (µg/L)","Chl - 8µm (µg/L)","Chl - 20µm (µg/L)","Chl < 1.0µm (%)","Chl 1.0µm - 3.0µm (%)","Chl 3.0µm - 8.0µm (%)","Chl 8.0µm - 20.0µm (%)","Chl > 20.0µm (%)"
P0704TN,"2007-04-06 09:06:00",34.331,-120.948,Cycle1,111,11,12.13,17,16,18,,0.99,0.56,0.36,0.22,0.16,43.0,21.0,13.5,6.5,16.1
P0704TN,"2007-04-06 18:03:00",34.358,-120.985,Cycle1,125,12,7.11,19,17,18,,1.05,0.55,0.41,0.25,0.16,48.0,13.3,15.0,8.9,14.8
P0704TN,"2007-04-07 09:33:00",34.359,-121.052,Cycle1,150,15,11.82,17,16,18,,0.89,0.53,0.32,0.22,0.14,39.7,23.7,12.4,8.0,16.3
P0704TN,"2007-04-07 18:18:00",34.358,-121.075,Cycle1,164,17,7.19,19,17,18,,1.05,0.48,0.36,0.22,0.15,54.0,11.7,13.1,7.2,14.0
P0704TN,"2007-04-08 09:07:00",34.315,-121.147,Cycle1,186,19,8.07,17,16,,,0.71,0.41,0.25,0.19,0.11,43.1,21.4,8.9,10.6,15.9
P0704TN,"2007-04-09 19:17:00",33.659,-123.133,Cycle2,206,21,15.3,20,17,18,19,0.16,0.07,0.03,0.02,0.01,56.8,21.3,11.5,5.5,4.9
P0704TN,"2007-04-10 09:04:00",33.549,-123.155,Cycle2,228,23,12.24,20,19,21,,0.16,0.06,0.03,0.01,0.00,59.4,19.9,14.8,3.2,2.8
P0704TN,"2007-04-10 18:59:00",33.495,-123.212,Cycle2,238,24,20.09,18,19,20,,0.19,0.08,0.04,0.01,0.01,57.8,21.0,14.9,3.8,2.6
P0704TN,"2007-04-11 09:22:00",33.407,-123.278,Cycle2,262,26,12.05,20,19,21,,0.18,0.07,0.04,0.01,0.00,62.3,16.7,14.4,4.1,2.4
P0704TN,"2007-04-11 18:05:00",33.402,-123.357,Cycle2,274,27,20.64,17,16,18,,0.20,0.09,0.05,0.01,0.00,54.4,22.5,16.7,4.0,2.5
P0704TN,"2007-04-12 09:21:00",33.329,-123.447,Cycle2,302,29,12.69,20,19,21,,0.21,0.09,0.05,0.01,0.01,58.5,20.3,15.7,2.4,3.2
P0704TN,"2007-04-12 18:24:00",33.341,-123.534,Cycle2,318,30,21.1,17,16,18,,0.23,0.11,0.05,0.01,0.01,55.2,21.8,17.1,3.6,2.4
P0704TN,"2007-04-13 09:08:00",33.283,-123.635,Cycle2,346,32,12.09,21,20,,,0.25,0.11,0.05,0.02,0.01,57.2,23.8,12.9,1.9,4.2
P0704TN,"2007-04-15 09:06:00",34.222,-120.62,Cycle3,372,34,12.64,17,16,18,,3.07,2.76,2.90,2.75,2.46,10.0,-4.7,4.9,9.7,80.1
P0704TN,"2007-04-15 18:37:00",34.184,-120.617,Cycle3,380,35,15.03,16,14,15,17,1.48,1.09,1.18,1.12,0.93,25.8,-5.9,4.4,12.6,63.0
P0704TN,"2007-04-16 09:07:00",34.227,-121.194,Cycle4,389,36,11.84,20,19,21,,1.01,0.61,0.50,0.37,0.33,39.8,10.7,13.2,3.6,32.7
P0704TN,"2007-04-16 19:31:00",34.16,-121.212,Cycle4,403,38,15.01,18,17,19,,0.83,0.47,0.23,0.11,0.06,43.1,28.7,14.7,6.2,7.3
P0704TN,"2007-04-17 09:07:00",33.919,-121.157,Cycle4,426,40,11.58,20,19,21,,0.91,0.56,0.38,0.28,0.19,38.6,19.8,10.3,10.5,20.8
P0704TN,"2007-04-17 18:17:00",33.879,-121.138,Cycle4,441,41,14.69,18,17,19,,2.09,1.34,1.18,1.05,0.89,35.8,7.5,6.5,7.6,42.6
P0704TN,"2007-04-18 09:22:00",33.819,-121.084,Cycle4,460,43,12.05,20,19,21,,1.01,0.69,0.51,0.37,0.29,31.4,17.8,13.7,8.0,29.1
P0704TN,"2007-04-18 18:18:00",33.799,-121.078,Cycle4,474,45,14.65,18,17,19,,1.00,0.60,0.46,0.38,0.26,40.2,13.6,7.8,12.2,26.2
