studyName,"Datetime GMT","Latitude (º)","Longitude (º)",Cycle,Event,Cast,"Depth (m)",Bottle,"Assoc Bottle 1","Assoc Bottle 2","Assoc Bottle 3","Total Chl (µg/L)","Chl - 1µm (µg/L)","Chl - 3µm (µg/L)","Chl - 8µm (µg/L)","Chl - 20µm (µg/L)","Chl < 1.0µm (%)","Chl 1.0µm - 3.0µm (%)","Chl 3.0µm - 8.0µm (%)","Chl 8.0µm - 20.0µm (%)","Chl > 20.0µm (%)"
P1106MV,"2011-07-16 07:45:00",33.57382,-120.94897,"Upfront 3",635,70,0,9,9,,,3.21,2.54,2.53,2.40,2.08,20.8,0.3,4.0,10.2,64.7
P1106MV,"2011-07-16 09:50:00",33.55878,-120.99912,"Upfront 3",647,72,0,9,9,,,0.63,0.36,0.21,0.18,0.12,42.5,23.9,5.3,9.7,18.5
P1106MV,"2011-07-16 11:58:00",33.54303,-121.0513,"Upfront 3",659,74,0,9,9,,,0.26,0.11,0.06,0.03,0.02,56.5,19.0,13.4,3.7,7.6
P1208MV,"2012-08-06 17:48:00",,,Cycle1,,19,2,12,12,,,4.64,3.87,3.62,3.12,3.02,16.8,5.2,10.8,2.1,65.1
P1208MV,"2012-08-06 09:15:00",34.56763,-122.7648,Cycle1,163,17,30,7,7,,,7.59,6.97,6.76,5.85,5.42,8.2,2.8,11.9,5.7,71.4
P1208MV,"2012-08-07 08:58:00",34.21371,-122.9041,Cycle1,195,21,20,13,13,,,5.08,3.77,4.48,4.09,3.69,25.6,-13.9,7.7,7.9,72.7
P1208MV,"2012-08-07 17:40:00",34.08419,-122.9431,Cycle1,208,22,2,11,11,,,1.46,1.04,0.91,0.81,0.62,28.3,9.2,7.1,13.2,42.3
P1208MV,"2012-08-08 09:06:00",33.85843,-122.9613,Cycle1,224,24,30,7,7,,,3.77,3.10,3.09,2.96,2.57,17.8,0.1,3.7,10.2,68.3
P1208MV,"2012-08-08 17:30:00",33.73201,-122.9203,Cycle1,235,25,3,14,14,,,1.84,1.56,1.23,1.09,0.94,15.1,18.0,7.6,8.3,51.0
P1208MV,"2012-08-09 10:05:00",33.54768,-122.8609,Cycle1,249,26,29,13,13,,,3.04,2.49,2.49,2.21,2.03,18.0,0.1,9.2,5.9,66.8
P1208MV,"2012-08-10 09:03:00",34.57234,-123.0386,Cycle2,257,27,49,7,7,,,0.61,0.30,0.08,0.05,0.02,50.2,36.2,4.8,6.1,2.7
P1208MV,"2012-08-10 17:45:00",34.43333,-123.0989,Cycle2,272,29,3,10,10,,,0.38,0.23,0.13,0.11,0.09,38.0,26.4,5.4,5.4,24.8
P1208MV,"2012-08-11 09:31:00",34.09219,-123.2575,Cycle2,289,32,50,7,7,,,1.12,0.86,0.70,0.64,0.57,23.3,14.0,5.1,6.2,51.4
P1208MV,"2012-08-11 17:27:00",33.90755,-123.3088,Cycle2,302,33,3,10,10,,,0.37,0.24,0.13,0.10,0.08,36.1,28.1,8.9,5.8,21.2
P1208MV,"2012-08-12 10:02:00",33.58129,-123.1776,Cycle2,321,35,40,14,14,,,0.33,0.17,0.04,0.02,0.01,49.4,37.7,5.9,2.8,4.3
P1208MV,"2012-08-13 09:03:00",34.54643,-122.5009,Cycle3,329,36,40,4,4,,,0.99,0.77,0.58,0.51,0.38,22.5,19.4,6.3,13.8,38.0
P1208MV,"2012-08-13 17:30:00",34.53571,-122.504,Cycle3,344,38,2,11,11,,,1.11,0.75,0.46,0.34,0.14,33.0,26.0,10.5,17.8,12.8
P1208MV,"2012-08-14 09:01:00",34.49759,-122.4804,Cycle3,360,40,29,7,7,,,1.07,0.81,0.60,0.56,0.42,23.9,20.1,3.7,12.5,39.8
P1208MV,"2012-08-14 17:28:00",34.49992,-122.4573,Cycle3,373,41,1,11,11,,,1.06,0.71,0.33,0.23,0.12,32.7,35.7,9.7,10.7,11.3
P1208MV,"2012-08-15 11:12:00",34.51345,-122.4025,Cycle3,389,43,19,18,18,,,0.63,0.36,0.15,0.09,0.04,43.5,33.5,8.9,8.2,6.0
P1208MV,"2012-08-16 09:00:00",34.5429,-123.2678,Cycle4,400,44,50,10,10,,,0.18,0.07,0.02,0.01,0.01,59.7,28.0,4.7,3.7,3.9
P1208MV,"2012-08-16 17:30:00",34.46168,-123.3288,Cycle4,415,46,1,11,11,,,0.08,0.03,0.01,0.01,0.00,59.4,25.8,4.1,5.6,5.1
P1208MV,"2012-08-17 09:02:00",34.31582,-123.4583,Cycle4,428,48,49,10,10,,,0.14,0.05,0.02,0.01,0.00,60.5,25.4,5.3,6.0,2.8
P1208MV,"2012-08-17 17:30:00",34.2261,-123.5331,Cycle4,439,49,1,11,11,,,0.09,0.04,0.02,0.01,0.00,53.3,28.5,6.0,7.4,4.8
P1208MV,"2012-08-18 10:05:00",34.06398,-123.6868,Cycle4,457,51,50,10,10,,,0.21,0.13,0.06,0.05,0.04,40.4,29.5,5.7,6.1,18.4
P1208MV,"2012-08-19 08:09:00",34.0849,-123.3124,Cycle5,469,52,61,4,4,,,3.51,3.23,3.10,2.98,2.84,8.0,3.7,3.6,3.9,80.9
P1208MV,"2012-08-19 17:31:00",33.95985,-123.469,Cycle5,484,54,2,14,14,,,0.68,0.48,0.39,0.31,0.29,29.8,13.1,11.0,4.0,42.1
P1208MV,"2012-08-20 08:36:00",33.78283,-123.6193,Cycle5,498,56,51,7,7,,,0.34,0.19,0.11,0.11,0.06,43.1,26.1,0.0,12.4,18.5
P1208MV,"2012-08-05 11:03:00",,,EFront1,,10,2,9,9,,,0.18,0.13,0.06,0.06,0.02,29.0,39.6,0.4,22.9,8.1
P1208MV,"2012-08-05 02:38:00",34.59336,-122.9922,EFront1,92,4,2,8,8,,,0.09,0.04,0.02,0.01,0.00,55.2,24.1,7.0,9.9,3.8
P1208MV,"2012-08-05 06:19:00",34.58648,-122.8828,EFront1,104,6,2,9,9,,,0.12,0.07,0.03,0.02,0.01,41.7,32.6,8.0,10.5,7.2
P1208MV,"2012-08-05 08:45:00",34.58364,-122.8477,EFront1,115,8,1,8,8,,,0.19,0.11,0.07,0.04,0.02,42.2,18.5,16.5,13.0,9.8
P1208MV,"2012-08-05 13:09:00",34.57457,-122.7409,EFront1,134,12,2,9,9,,,1.22,0.79,0.68,0.64,0.46,34.7,9.4,3.2,15.1,37.6
P1208MV,"2012-08-05 16:40:00",34.5705,-122.6615,EFront1,146,14,2,9,9,,,0.84,0.61,0.42,0.33,0.20,26.9,23.1,10.3,15.8,23.9
P1208MV,"2012-08-20 23:38:00",34.55758,-122.5212,EFront2,503,57,3,9,9,,,1.10,0.73,0.43,0.33,0.22,33.5,27.2,9.6,9.8,20.0
P1208MV,"2012-08-21 06:51:00",34.57499,-122.7616,EFront2,527,61,3,9,9,,,2.65,2.42,2.18,2.03,1.77,8.5,9.1,5.5,10.1,66.7
P1208MV,"2012-08-21 09:53:00",34.58216,-122.8578,EFront2,539,63,3,10,10,,,0.68,0.49,0.44,0.41,0.36,27.9,7.7,3.9,8.3,52.2
P1408MV,"2014-08-11 09:05:24",34.51287,-120.7702,1,71,3,12,18,18,,,0.94,0.68,0.56,0.50,0.39,28.3,11.8,7.1,11.4,41.3
P1408MV,"2014-08-11 18:45:46",34.60925,-120.8238,1,89,5,7,15,15,,,0.64,0.43,0.40,0.34,0.27,32.6,4.9,10.1,10.8,41.6
P1408MV,"2014-08-12 09:43:58",34.72423,-121.0039,1,107,8,12,17,17,,,0.50,0.37,0.35,0.30,0.21,24.9,5.2,9.9,18.0,42.1
P1408MV,"2014-08-12 17:44:35",34.76128,-121.0811,1,118,9,6,19,19,,,0.55,0.33,0.28,0.27,0.18,39.6,9.7,2.2,15.4,33.2
P1408MV,"2014-08-13 08:56:34",34.81323,-121.2174,1,132,11,7,19,19,,,0.74,0.54,0.47,0.41,0.36,27.4,9.3,8.2,6.8,48.3
P1408MV,"2014-08-13 17:31:48",34.83061,-121.2655,1,144,12,8,17,17,,,0.58,0.41,0.37,0.28,0.28,29.6,7.7,14.7,0.8,47.3
P1408MV,"2014-08-14 09:55:09",34.86689,-121.3611,1,158,14,12,21,21,,,0.47,0.36,0.30,0.22,0.21,23.3,12.5,17.0,3.0,44.3
P1408MV,"2014-08-17 09:53:49",34.26789,-120.8229,2,201,19,8,19,19,,,0.75,0.54,0.45,0.37,0.32,28.2,12.3,9.7,6.8,43.1
P1408MV,"2014-08-17 18:10:20",34.23954,-120.8162,2,218,21,40,6,6,,,0.81,0.56,0.45,0.38,0.32,30.4,14.3,8.4,7.2,39.7
P1408MV,"2014-08-18 09:42:40",34.17487,-120.8699,2,230,23,7,19,19,,,0.83,0.58,0.48,0.41,0.34,30.7,12.1,8.4,8.4,40.3
P1408MV,"2014-08-18 17:44:22",34.15619,-120.8902,2,244,24,30,12,12,,,1.00,0.67,0.46,0.38,0.27,33.1,20.4,8.0,11.5,27.0
P1408MV,"2014-08-19 08:57:33",34.11518,-120.9205,2,252,26,8,19,19,,,0.88,0.53,0.51,0.44,0.37,39.7,2.5,8.1,7.6,42.0
P1408MV,"2014-08-19 17:33:14",34.10368,-120.9408,2,265,27,32,11,11,,,1.05,0.79,0.59,0.47,0.38,24.5,18.9,12.1,7.8,36.7
P1408MV,"2014-08-20 10:12:32",34.0919,-120.9657,2,284,29,8,21,21,,,0.40,0.23,0.19,0.16,0.12,43.1,9.8,6.5,10.0,30.6
P1408MV,"2014-08-22 08:58:31",34.38674,-121.3926,3,308,31,7,19,19,,,0.19,0.08,0.04,0.01,0.01,57.9,22.3,12.1,5.0,2.7
P1408MV,"2014-08-22 18:19:25",34.40119,-121.3424,3,324,33,45,7,7,,,0.84,0.45,0.18,0.05,0.01,46.4,32.5,14.7,5.0,1.3
P1408MV,"2014-08-23 09:46:43",34.4141,-121.2787,3,340,35,8,19,19,,,0.21,0.07,0.04,0.02,0.00,67.9,15.8,8.8,5.4,2.1
P1408MV,"2014-08-23 17:45:33",34.41176,-121.2232,3,352,36,39,11,11,,,0.68,0.40,0.18,0.05,0.01,41.9,32.4,18.9,5.5,1.4
P1408MV,"2014-08-24 09:03:12",34.42529,-121.1457,3,366,38,8,19,19,,,0.19,0.07,0.03,0.01,0.01,64.3,18.6,9.7,3.2,4.1
P1408MV,"2014-08-24 17:50:48",34.42006,-121.0989,3,378,39,40,9,9,,,0.71,0.40,0.15,0.04,0.02,43.7,34.8,15.6,3.4,2.6
P1408MV,"2014-08-25 09:58:27",34.4337,-121.021,3,392,41,8,21,21,,,0.18,0.06,0.03,0.01,0.01,65.4,19.2,8.0,2.5,4.8
P1408MV,"2014-08-26 09:05:00",33.52164,-122.5587,4,402,42,11,18,18,,,0.11,0.04,0.02,0.01,0.00,64.7,18.1,9.8,5.0,2.4
P1408MV,"2014-08-26 19:01:00",33.52927,-122.5296,4,420,44,68,8,8,,,0.40,0.16,0.05,0.02,0.01,59.6,28.2,7.4,2.7,2.1
P1408MV,"2014-08-27 08:58:00",33.53822,-122.5105,4,428,45,11,18,18,,,0.10,0.03,0.02,0.01,0.00,67.4,15.5,9.9,5.6,1.7
P1408MV,"2014-08-27 17:53:00",33.56733,-122.4755,4,441,46,74,5,5,,,0.35,0.17,0.05,0.02,0.01,52.6,32.4,8.2,4.5,2.3
P1408MV,"2014-08-28 08:58:00",33.60365,-122.4411,4,454,48,11,18,18,,,0.10,0.03,0.02,0.01,0.00,67.4,13.0,13.3,4.5,1.9
P1408MV,"2014-08-28 18:19:00",33.6121,-122.4328,4,468,49,55,11,11,,,0.46,0.16,0.06,0.02,0.01,64.7,21.1,9.1,3.5,1.5
P1408MV,"2014-08-29 10:45:00",33.63705,-122.401,4,486,51,12,21,21,,,0.10,0.03,0.02,0.01,0.00,68.7,15.9,9.7,4.0,1.6
P1408MV,"2014-08-30 09:06:00",32.87864,-123.8983,5,496,52,19,18,18,,,0.10,0.04,0.02,0.01,0.00,63.6,16.7,12.9,5.0,1.8
P1408MV,"2014-08-30 17:49:00",32.86121,-123.8894,5,513,54,75,9,9,,,0.28,0.11,0.04,0.01,0.01,59.8,25.8,9.2,3.1,2.0
P1408MV,"2014-08-31 10:25:00",32.84071,-123.8673,5,527,56,5,22,22,,,0.08,0.03,0.01,0.01,0.00,67.1,15.6,11.1,4.6,1.6
P1408MV,"2014-08-31 18:01:00",32.83792,-123.8693,5,539,57,81,6,6,,,0.35,0.13,0.05,0.02,0.01,62.0,24.2,8.7,2.8,2.2
P1408MV,"2014-09-01 09:11:00",32.81141,-123.8689,5,554,59,4,22,22,,,0.08,0.03,0.01,0.01,0.00,67.1,15.9,10.5,4.8,1.7
P1408MV,"2014-09-01 17:49:00",32.81117,-123.8619,5,566,60,75,10,10,,,0.30,0.13,0.05,0.02,0.01,57.6,27.3,9.1,3.1,3.1
P1408MV,"2014-09-02 08:59:00",32.77382,-123.8738,5,585,62,5,23,23,,,0.08,0.03,0.01,0.01,0.00,64.3,18.5,9.8,5.5,1.8
P1604,"2016-04-20 09:30:00",32.97706,-123.0257,"Cycle 1",28,4,5,24,22,,0,0.07,0.03,0.02,0.01,0.00,57.9,18.8,11.5,8.0,3.8
P1604,"2016-04-22 18:00:00",33.01798,-122.9693,"Cycle 1",37,5,75,10,9,,0,0.32,0.12,0.06,0.02,0.01,61.3,19.9,12.0,5.0,1.7
P1604,"2016-04-23 09:15:00",33.08709,-122.9422,"Cycle 1",48,7,70,7,8,,0,0.46,0.19,0.08,0.03,0.01,58.6,24.8,11.0,3.7,2.0
P1604,"2016-04-29 09:10:00",33.58624,-122.2102,"Cycle 2",97,14,5,24,22,,0,0.08,0.04,0.02,0.01,0.00,53.1,22.8,13.1,8.3,2.8
P1604,"2016-04-29 18:00:00",33.59075,-122.1573,"Cycle 2",110,15,90,10,11,,0,0.35,0.18,0.07,0.03,0.01,48.3,30.3,13.2,6.3,1.8
P1604,"2016-04-30 09:10:00",33.52361,-122.0599,"Cycle 2",124,17,90,4,3,,0,0.35,0.17,0.07,0.03,0.01,51.6,27.8,12.4,6.0,2.2
P1604,"2016-04-30 18:10:00",33.4791,-122.0013,"Cycle 2",133,18,10,21,22,,0,0.08,0.04,0.02,0.01,0.00,52.6,24.0,12.6,7.9,2.8
P1604,"2016-05-01 09:10:00",33.46751,-121.9669,"Cycle 2",143,20,5,24,23,,0,0.08,0.03,0.02,0.01,0.00,55.9,18.6,14.6,7.4,3.5
P1604,"2016-05-01 18:00:00",33.47396,-121.9401,"Cycle 2",156,21,95,11,12,,0,0.24,0.13,0.06,0.02,0.01,46.0,30.6,15.4,4.9,3.1
P1604,"2016-05-02 09:00:00",33.46013,-121.8701,"Cycle 2",173,23,90,11,9,,0,0.25,0.13,0.06,0.02,0.01,48.0,28.9,13.9,6.3,2.9
P1604,"2016-05-03 09:00:00",34.79821,-121.2781,"Cycle 3",187,25,12,20,19,,0,0.50,0.24,0.11,0.07,0.04,52.3,26.2,7.0,6.1,8.5
P1604,"2016-05-03 18:00:00",34.73994,-121.2671,"Cycle 3",197,26,15,18,19,,0,0.77,0.30,0.11,0.06,0.02,61.1,24.3,6.2,6.0,2.4
P1604,"2016-05-04 09:05:00",34.67556,-121.2801,"Cycle 3",210,28,12,17,19,,0,0.64,0.21,0.07,0.03,0.01,66.9,22.7,6.1,2.9,1.4
P1604,"2016-05-04 18:00:00",34.6145,-121.2491,"Cycle 3",221,29,25,16,17,,0,0.63,0.27,0.08,0.04,0.02,56.9,30.1,6.4,3.5,3.1
P1604,"2016-05-05 09:00:00",34.50228,-121.2228,"Cycle 3",235,31,12,17,18,,0,0.69,0.22,0.10,0.06,0.03,67.7,17.8,5.8,4.9,3.7
P1604,"2016-05-05 18:00:00",34.41687,-121.2216,"Cycle 3",248,32,30,16,19,,0,0.75,0.25,0.09,0.04,0.01,66.7,21.0,7.0,3.8,1.5
P1604,"2016-05-06 09:00:00",34.31184,-121.1873,"Cycle 3",262,42,12,20,20,,0,0.52,0.12,0.07,0.04,0.02,77.9,9.4,4.9,3.7,4.1
P1604,"2016-05-07 09:20:00",34.44227,-120.7008,"Cycle 4",286,45,12,13,14,,0,2.14,1.73,1.44,0.77,0.03,19.4,13.3,31.6,34.2,1.5
P1604,"2016-05-07 18:00:00",34.46778,-120.7077,"Cycle 4",297,46,20,10,11,,0,2.06,1.73,1.44,0.74,0.04,16.2,13.7,34.2,34.0,1.9
P1604,"2016-05-08 09:00:00",34.49954,-120.7815,"Cycle 4",313,48,12,13,14,,0,2.12,1.62,1.24,0.76,0.07,23.7,17.8,22.5,32.7,3.3
P1604,"2016-05-08 18:00:00",34.5148,-120.7986,"Cycle 4",324,49,20,12,13,,0,1.43,1.07,0.87,0.47,0.04,25.4,13.9,27.7,30.2,2.9
P1604,"2015-05-09 09:00:00",34.5341,-120.8705,"Cycle 4",338,51,12,13,14,,0,1.82,1.20,0.84,0.50,0.06,34.2,19.5,18.7,24.1,3.4
P1604,"2016-05-09 18:00:00",34.5377,-120.8847,"Cycle 4",349,52,20,15,16,,0,2.33,1.84,1.38,0.90,0.15,21.0,19.9,20.5,32.3,6.3
P1604,"2016-05-10 08:55:00",34.54298,-120.9372,"Cycle 4",359,54,12,15,14,,0,2.39,1.52,0.98,0.57,0.07,36.3,22.7,17.2,20.7,3.1
P1706,"2017-06-08 01:35:00",34.85434,-121.4112,Transect1,130,4,2,19,19,,,0.97,0.52,0.47,0.32,0.36,46.1,5.3,15.3,-3.5,36.8
P1706,"2017-06-08 04:20:00",34.91542,-121.4418,Transect1,141,6,2,19,19,,,1.83,1.28,1.25,1.03,0.97,30.4,1.3,12.1,3.2,53.0
P1706,"2017-06-08 09:58:00",34.97707,-121.4714,Transect1,154,8,0,22,22,,,2.48,1.56,1.40,1.15,1.36,37.1,6.3,10.1,-8.2,54.7
P1706,"2017-06-08 10:20:00",35.03855,-121.5015,Transect1,168,10,2,19,19,,,1.45,1.10,0.99,0.78,1.12,24.5,7.3,14.5,-23.4,77.2
P1706,"2017-06-08 12:27:00",35.10089,-121.5325,Transect1,181,12,2,19,19,,,3.34,2.11,2.06,1.44,1.60,36.8,1.4,18.5,-4.8,48.1
P1706,"2017-06-08 15:59:00",35.16468,-121.5635,Transect1,194,14,2,19,18,,,0.56,0.33,0.21,0.14,0.09,41.4,20.7,12.8,8.6,16.4
P1706,"2017-06-09 09:18:00",35.06715,-121.0926,Cycle1,204,15,8,20,17,,,6.35,5.28,4.90,4.63,4.45,16.8,6.0,4.2,2.9,70.0
P1706,"2017-06-09 18:00:00",35.06319,-121.1092,Cycle1,216,16,10,21,19,,,10.44,9.11,8.79,8.15,7.33,12.8,3.0,6.1,7.9,70.2
P1706,"2017-06-10 09:00:00",35.04799,-121.1369,Cycle1,233,19,5,20,,,,14.68,11.63,11.48,10.40,11.14,20.7,1.1,7.3,-5.1,75.9
P1706,"2017-06-10 18:00:00",35.01295,-121.1569,Cycle1,246,20,10,20,,,,15.06,13.51,12.82,12.40,11.60,10.3,4.6,2.8,5.3,77.0
P1706,"2017-06-11 09:00:00",34.95211,-121.1772,Cycle1,262,22,12,12,9,,,8.88,7.03,6.97,6.55,6.66,20.8,0.7,4.7,-1.1,75.0
P1706,"2017-06-11 18:00:00",34.90551,-121.1775,Cycle1,270,23,10,20,19,,,10.59,9.46,9.61,8.89,8.40,10.6,-1.4,6.9,4.6,79.3
P1706,"2017-06-12 09:00:00",34.87215,-121.1535,Cycle1,281,24,2,24,22,,,10.39,8.98,9.25,8.32,8.23,13.6,-2.6,8.9,0.9,79.2
P1706,"2017-06-13 09:00:00",34.7329,-121.7072,Cycle2,300,25,5,20,18,,,5.09,4.20,3.88,3.03,4.36,17.6,6.3,16.7,-26.2,85.6
P1706,"2017-06-13 18:00:00",34.7332,-121.7923,Cycle2,312,26,12,19,20,,,3.65,3.33,3.37,3.22,3.07,8.8,-1.1,4.1,4.3,84.0
P1706,"2017-06-14 09:05:00",34.71535,-121.9185,Cycle2,328,29,12,16,13,,,2.96,2.43,2.74,1.74,2.76,17.9,-10.6,33.8,-34.6,93.4
P1706,"2017-06-14 17:00:00",34.7541,-122.0097,Cycle2,341,30,12,19,20,,,2.99,2.41,2.12,2.05,3.00,19.3,9.7,2.3,-31.9,100.5
P1706,"2017-06-15 09:00:00",34.7238,-122.1374,Cycle2,352,31,12,16,13,,,3.05,2.44,2.39,1.91,2.57,19.9,1.8,15.8,-21.9,84.4
P1706,"2017-06-15 17:55:00",34.74181,-122.1893,Cycle2,364,32,15,19,20,,,2.34,2.19,2.10,1.86,1.94,6.3,4.0,10.2,-3.5,83.0
P1706,"2017-06-16 09:00:00",34.70543,-122.2775,Cycle2,375,33,8,20,17,,,2.26,1.91,1.91,1.57,1.58,15.7,-0.2,15.2,-0.3,69.7
P1706,"2017-06-17 09:00:00",34.68356,-122.3518,Cycle2,396,36,2,24,23,,,1.56,1.45,1.29,1.26,0.95,7.1,10.3,2.0,19.3,61.3
P1706,"2017-06-18 02:40:00",34.37757,-122.157,Transect2,407,37,0,19,17,,,2.17,2.02,1.80,1.55,1.42,6.8,10.3,11.7,6.0,65.3
P1706,"2017-06-18 06:30:00",34.52906,-122.2462,Transect2,419,39,2,19,18,,,1.63,1.43,1.36,1.11,1.06,12.5,4.1,15.6,3.1,64.7
P1706,"2017-06-18 09:40:00",34.67781,-122.3345,Transect2,431,41,2,19,17,,,4.10,3.80,3.92,3.53,3.00,7.2,-2.9,9.3,13.1,73.1
P1706,"2017-06-18 13:05:00",34.83019,-122.4246,Transect2,443,43,2,19,18,,,8.06,7.72,7.51,7.02,6.46,4.2,2.7,6.0,7.0,80.2
P1706,"2017-06-18 16:20:00",34.97994,-122.513,Transect2,456,45,2,19,17,,,6.98,6.04,5.62,5.40,5.66,13.4,6.0,3.1,-3.8,81.2
P1706,"2017-06-18 19:05:00",35.12397,-122.6,Transect2,468,47,2,19,18,,,0.44,0.23,0.16,0.09,0.05,48.3,14.2,16.7,8.3,12.5
P1706,"2017-06-19 09:25:00",34.37428,-123.1765,Cycle3,478,48,2,24,23,,,1.48,1.28,1.09,1.03,1.02,13.9,12.4,4.1,0.9,68.7
P1706,"2017-06-19 18:00:00",34.29564,-123.1654,Cycle3,490,49,20,19,17,,,1.09,0.74,0.62,0.53,0.51,32.0,11.1,8.1,2.0,46.8
P1706,"2017-06-20 09:00:00",34.20087,-123.1077,Cycle3,510,52,45,7,6,,,0.68,0.42,0.38,0.30,0.32,38.5,5.6,12.0,-3.6,47.5
P1706,"2017-06-20 17:55:00",34.14861,-123.0224,Cycle3,523,53,2,22,23,,,0.45,0.19,0.11,0.05,0.04,57.8,17.2,12.9,4.0,8.1
P1706,"2017-06-21 09:00:00",34.08683,-122.952,Cycle3,539,54,45,7,6,,,0.40,0.19,0.12,0.08,0.07,52.2,17.6,9.7,4.1,16.4
P1706,"2017-06-21 18:00:00",34.04581,-122.8213,Cycle3,550,55,10,19,,,,0.34,0.17,0.06,0.05,0.03,51.7,30.8,3.9,5.9,7.7
P1706,"2017-06-22 09:00:00",34.01984,-122.6032,Cycle3,561,56,2,23,21,,,0.34,0.16,0.12,0.07,0.06,52.0,11.7,14.9,2.8,18.6
P1706,"2017-06-23 01:05:00",,,Transect3,,58,2,19,17,,,0.13,0.04,0.02,0.01,0.00,66.1,17.1,11.3,3.1,2.4
P1706,"2017-06-23 03:55:00",33.90395,-122.6628,Transect3,580,60,2,19,17,,,0.11,0.03,0.02,0.01,0.00,70.8,12.8,10.7,2.5,3.2
P1706,"2017-06-23 06:06:00",33.98262,-122.6111,Transect3,590,62,2,19,17,,,0.11,0.04,0.02,0.01,0.01,65.2,13.9,12.1,2.2,6.6
P1706,"2017-06-23 08:55:00",34.06125,-122.5583,Transect3,602,64,2,19,17,,,0.52,0.25,0.19,0.15,0.13,51.7,11.8,6.9,4.6,25.0
P1706,"2017-06-23 11:25:00",34.14156,-122.5064,Transect3,612,66,2,19,17,,,0.24,0.11,0.06,0.04,0.04,53.6,21.1,9.5,0.8,15.0
P1706,"2017-06-23 13:30:00",34.22098,-122.4548,Transect3,622,68,2,19,17,,,0.20,0.13,0.08,0.04,0.02,35.1,27.9,18.5,8.2,10.3
P1706,"2017-06-24 09:00:00",34.40168,-123.0684,Cycle4,637,69,2,24,21,,,0.25,0.12,0.10,0.08,0.07,51.2,8.3,9.9,0.9,29.7
P1706,"2017-06-24 20:02:00",34.41526,-123.0374,Cycle4,655,70,20,18,17,,,0.55,0.33,0.26,0.21,0.17,39.7,13.5,8.0,8.6,30.2
P1706,"2017-06-25 09:00:00",34.44821,-122.9853,Cycle4,675,73,2,24,23,,,0.22,0.11,0.08,0.06,0.06,48.5,13.5,12.2,0.0,25.9
P1706,"2017-06-25 18:00:00",34.46513,-122.9795,Cycle4,688,74,20,18,17,,,0.17,0.08,0.05,0.03,0.03,54.9,14.0,12.0,4.3,14.9
P1706,"2017-06-26 09:00:00",34.50976,-122.9746,Cycle4,699,75,2,24,23,,,0.18,0.09,0.05,0.03,0.03,47.4,25.8,8.4,2.2,16.2
