"","FuncGroup","date","mean_val"
"1","COCCOLITHOPHORIDS",1995-11-08 07:36:00,0.8348875
"2","COCCOLITHOPHORIDS",1995-12-13 08:11:00,0
"3","COCCOLITHOPHORIDS",1996-01-12 08:35:00,18.105115
"4","COCCOLITHOPHORIDS",1996-02-13 08:16:00,6.26572761
"5","COCCOLITHOPHORIDS",1996-03-13 08:44:00,18.42266931
"6","COCCOLITHOPHORIDS",1996-04-16 09:12:00,1.82656
"7","COCCOLITHOPHORIDS",1996-05-09 08:15:00,12.09283875
"8","COCCOLITHOPHORIDS",1996-06-12 08:51:00,14.5963845
"9","COCCOLITHOPHORIDS",1996-07-10 08:40:00,24.35174375
"10","COCCOLITHOPHORIDS",1996-08-06 08:35:00,20.34185
"11","COCCOLITHOPHORIDS",1996-09-10 08:37:00,15.6684715
"12","COCCOLITHOPHORIDS",1996-10-09 08:38:00,2.0675
"13","COCCOLITHOPHORIDS",1996-11-10 08:22:00,6.75177
"14","COCCOLITHOPHORIDS",1996-12-11 09:20:00,5.834775
"15","COCCOLITHOPHORIDS",1997-01-07 09:30:00,16.1243344
"16","COCCOLITHOPHORIDS",1997-02-13 09:24:00,4.1771
"17","COCCOLITHOPHORIDS",1997-03-13 09:39:00,5.116905
"18","COCCOLITHOPHORIDS",1997-04-15 09:22:00,6.59955
"19","COCCOLITHOPHORIDS",1997-05-10 09:36:00,3.48465
"20","COCCOLITHOPHORIDS",1997-06-17 09:17:00,3.48465
"21","COCCOLITHOPHORIDS",1997-07-08 09:24:00,1.9868625
"22","COCCOLITHOPHORIDS",1997-09-17 09:28:00,1.9206625
"23","COCCOLITHOPHORIDS",1997-10-14 09:46:00,7.843
"24","COCCOLITHOPHORIDS",1997-11-13 09:41:00,11.020955
"25","COCCOLITHOPHORIDS",1997-12-17 09:28:00,5.558295
"26","COCCOLITHOPHORIDS",1998-01-14 09:25:00,0.13
"27","COCCOLITHOPHORIDS",1998-02-11 10:23:00,10.4344495
"28","COCCOLITHOPHORIDS",1998-03-12 09:37:00,3.625
"29","COCCOLITHOPHORIDS",1998-06-09 09:34:00,16.2706
"30","COCCOLITHOPHORIDS",1998-07-09 09:15:00,0.90095
"31","COCCOLITHOPHORIDS",1998-08-05 09:50:00,1.75759
"32","COCCOLITHOPHORIDS",1998-09-01 09:55:00,0
"33","COCCOLITHOPHORIDS",1998-10-14 09:31:00,2.963925
"34","COCCOLITHOPHORIDS",1998-12-16 09:35:00,5.574725
"35","COCCOLITHOPHORIDS",1999-01-12 09:30:00,9.75606
"36","COCCOLITHOPHORIDS",1999-02-10 09:37:00,11.222435
"37","COCCOLITHOPHORIDS",1999-03-04 09:35:00,4.51767
"38","COCCOLITHOPHORIDS",1999-04-07 09:37:00,6.09691
"39","COCCOLITHOPHORIDS",1999-05-06 09:15:00,42.667005
"40","COCCOLITHOPHORIDS",1999-06-08 09:34:00,0.95775
"41","COCCOLITHOPHORIDS",1999-07-15 09:36:00,4.173695
"42","COCCOLITHOPHORIDS",1999-08-11 09:25:00,15.9598525
"43","COCCOLITHOPHORIDS",1999-09-14 10:05:00,1.5161475
"44","COCCOLITHOPHORIDS",1999-10-05 10:25:00,3.2429975
"45","COCCOLITHOPHORIDS",1999-11-04 09:18:00,11.00919
"46","COCCOLITHOPHORIDS",1999-12-07 09:45:00,14.286255
"47","COCCOLITHOPHORIDS",2000-01-11 09:35:00,17.37657
"48","COCCOLITHOPHORIDS",2000-02-08 09:30:00,4.85344
"49","COCCOLITHOPHORIDS",2000-03-09 09:32:00,12.91994
"50","COCCOLITHOPHORIDS",2000-04-11 09:54:00,5.96446
"51","COCCOLITHOPHORIDS",2000-05-11 10:05:00,10.269755
"52","COCCOLITHOPHORIDS",2000-06-06 10:21:00,4.67517
"53","COCCOLITHOPHORIDS",2000-07-07 10:03:00,2.97699
"54","COCCOLITHOPHORIDS",2000-10-10 09:55:00,3.375665
"55","COCCOLITHOPHORIDS",2000-11-03 09:23:00,0.753315
"56","COCCOLITHOPHORIDS",2000-12-05 10:30:00,4.081295
"57","COCCOLITHOPHORIDS",2001-01-11 10:16:00,2.42491
"58","COCCOLITHOPHORIDS",2001-02-16 10:35:00,11.93502
"59","COCCOLITHOPHORIDS",2001-03-14 10:28:00,16.35552
"60","COCCOLITHOPHORIDS",2001-04-04 09:45:00,5.171975
"61","COCCOLITHOPHORIDS",2001-05-05 09:49:00,24.46055
"62","COCCOLITHOPHORIDS",2001-06-12 10:41:00,92.786225
"63","COCCOLITHOPHORIDS",2001-07-10 10:20:00,3.55112
"64","COCCOLITHOPHORIDS",2001-08-07 09:45:00,1.65963
"65","COCCOLITHOPHORIDS",2001-09-12 09:54:00,2.81452
"66","COCCOLITHOPHORIDS",2001-10-09 09:58:00,20.35264
"67","COCCOLITHOPHORIDS",2001-11-06 09:52:00,5.757425
"68","COCCOLITHOPHORIDS",2001-12-11 08:57:00,5.595425
"69","COCCOLITHOPHORIDS",2002-01-10 11:00:00,8.36127
"70","COCCOLITHOPHORIDS",2002-02-14 10:30:00,9.377555
"71","COCCOLITHOPHORIDS",2002-03-12 11:15:00,15.80404
"72","COCCOLITHOPHORIDS",2002-04-02 10:17:00,5.579175
"73","COCCOLITHOPHORIDS",2002-05-07 10:42:00,7.238715
"74","COCCOLITHOPHORIDS",2002-06-12 10:16:00,2.22198
"75","COCCOLITHOPHORIDS",2002-07-09 10:00:00,0
"76","COCCOLITHOPHORIDS",2002-08-06 09:02:00,1.96962
"77","COCCOLITHOPHORIDS",2002-10-03 08:36:00,1.98165
"78","COCCOLITHOPHORIDS",2002-11-07 08:36:00,2.25341
"79","COCCOLITHOPHORIDS",2002-12-05 07:29:00,11.03297
"80","COCCOLITHOPHORIDS",2003-01-14 08:48:00,0
"81","COCCOLITHOPHORIDS",2003-02-11 08:49:00,0.34488
"82","COCCOLITHOPHORIDS",2003-03-11 08:32:00,4.39903
"83","COCCOLITHOPHORIDS",2003-04-08 08:27:00,8.74541
"84","COCCOLITHOPHORIDS",2003-05-13 08:53:00,6.138045
"85","COCCOLITHOPHORIDS",2003-06-10 08:51:00,1.36419
"86","COCCOLITHOPHORIDS",2003-07-08 08:16:00,1.20413
"87","COCCOLITHOPHORIDS",2003-08-04 08:28:00,2.01377
"88","COCCOLITHOPHORIDS",2003-09-09 08:52:00,10.6787
"89","COCCOLITHOPHORIDS",2003-11-11 08:37:00,7.40352
"90","COCCOLITHOPHORIDS",2004-02-08 08:29:00,1.98283
"91","COCCOLITHOPHORIDS",2004-03-08 08:12:00,0.63228
"92","COCCOLITHOPHORIDS",2004-06-08 08:21:00,18.4074
"93","COCCOLITHOPHORIDS",2004-07-07 08:26:00,13.954
"94","COCCOLITHOPHORIDS",2004-08-10 08:37:00,14.0721
"95","COCCOLITHOPHORIDS",2004-09-07 08:27:00,5.2265
"96","COCCOLITHOPHORIDS",2004-10-05 08:30:00,0.0135
"97","COCCOLITHOPHORIDS",2004-11-09 08:31:00,0.4212
"98","COCCOLITHOPHORIDS",2004-12-07 08:39:00,13.6463
"99","COCCOLITHOPHORIDS",2005-01-11 09:14:00,5.26745
"100","COCCOLITHOPHORIDS",2005-02-10 09:40:00,7.32455
"101","COCCOLITHOPHORIDS",2005-03-08 09:15:00,3.5196
"102","COCCOLITHOPHORIDS",2005-04-05 08:53:00,6.56385
"103","COCCOLITHOPHORIDS",2005-05-10 08:45:00,0
"104","COCCOLITHOPHORIDS",2005-06-14 09:06:00,0.028
"105","COCCOLITHOPHORIDS",2005-07-12 09:04:00,0
"106","COCCOLITHOPHORIDS",2005-08-10 08:48:00,0.0488
"107","COCCOLITHOPHORIDS",2005-10-05 09:00:00,20.8658
"108","COCCOLITHOPHORIDS",2005-12-15 09:13:00,13.1671
"109","COCCOLITHOPHORIDS",2006-01-12 09:05:00,0.356
"110","COCCOLITHOPHORIDS",2006-02-07 09:30:00,13.1532
"111","COCCOLITHOPHORIDS",2006-03-16 12:20:00,2.80745
"112","COCCOLITHOPHORIDS",2006-04-04 09:39:00,0.81795
"113","COCCOLITHOPHORIDS",2006-05-10 09:44:00,12.65675
"114","COCCOLITHOPHORIDS",2006-06-06 09:42:00,0.24975
"115","COCCOLITHOPHORIDS",2006-07-04 08:58:00,0.05195
"116","COCCOLITHOPHORIDS",2006-08-03 09:23:00,0.07995
"117","COCCOLITHOPHORIDS",2006-09-12 08:47:00,1.6839
"118","COCCOLITHOPHORIDS",2006-10-10 09:13:00,0.40065
"119","COCCOLITHOPHORIDS",2006-11-02 09:30:00,4.2931
"120","COCCOLITHOPHORIDS",2006-12-05 09:16:00,0.4453
"121","COCCOLITHOPHORIDS",2007-02-06 09:24:00,0.0415
"122","COCCOLITHOPHORIDS",2007-03-06 09:12:00,5.08315
"123","COCCOLITHOPHORIDS",2007-04-10 09:15:00,0.11295
"124","COCCOLITHOPHORIDS",2007-05-08 09:06:00,0.0522
"125","COCCOLITHOPHORIDS",2007-06-05 08:30:00,0.0269
"126","COCCOLITHOPHORIDS",2007-07-03 08:30:00,4.4708
"127","COCCOLITHOPHORIDS",2007-08-07 08:48:00,0.135
"128","COCCOLITHOPHORIDS",2007-09-04 09:09:00,0.03605
"129","COCCOLITHOPHORIDS",2007-10-09 08:36:00,0.1126
"130","COCCOLITHOPHORIDS",2007-12-11 08:53:00,0.30665
"131","COCCOLITHOPHORIDS",2008-01-10 09:00:00,0.1392
"132","COCCOLITHOPHORIDS",2008-02-12 09:30:00,33.41149
"133","COCCOLITHOPHORIDS",2008-03-11 09:30:00,2.08815
"134","COCCOLITHOPHORIDS",2008-04-08 09:08:00,0.6532
"135","COCCOLITHOPHORIDS",2008-05-06 09:12:00,0.01405
"136","COCCOLITHOPHORIDS",2008-06-04 09:05:00,0.0294
"137","COCCOLITHOPHORIDS",2008-07-08 09:30:00,0.02045
"138","COCCOLITHOPHORIDS",2008-08-05 08:57:00,0.0392
"139","COCCOLITHOPHORIDS",2008-09-10 08:47:00,0.0306
"140","COCCOLITHOPHORIDS",2008-10-10 09:22:00,0.06725
"141","COCCOLITHOPHORIDS",2008-11-18 09:07:00,0.00105
"142","COCCOLITHOPHORIDS",2008-12-10 09:08:00,0.01395
"143","COCCOLITHOPHORIDS",2009-01-13 10:10:00,0.4639
"144","COCCOLITHOPHORIDS",2009-02-10 09:26:00,0.01115
"145","COCCOLITHOPHORIDS",2009-03-03 09:19:00,11.6025
"146","COCCOLITHOPHORIDS",2009-04-07 09:24:00,0.0511
