"","AphiaID","aphiaid","speciesorig","speciesclean","scientificname","wm_attrs","wm_classes"
"26",109515,109515,"Diplopsalis sp.","Diplopsalis sp.","Diplopsalis sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Protoperidiniaceae_Diplopsalis"
"27",109519,109519,"Gonyaulax sp.","Gonyaulax sp.","Gonyaulax sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Gonyaulacaceae_Gonyaulax"
"28",109526,109526,"Centrodinium sp.","Centrodinium sp.","Centrodinium sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ostreopsidaceae_Centrodinium"
"29",109527,109527,"Corythodinium sp.","Corythodinium sp.","Corythodinium sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Oxytoxaceae_Corythodinium"
"30",109528,109528,"Oxytosum sp.","Oxytoxum sp.","Oxytoxum sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Oxytoxaceae_Oxytoxum"
"31",109538,109538,"Glenodinium sp.","Glenodinium sp.","Glenodinium sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Peridiniaceae_Glenodinium"
"32",109540,109540,"Heterocapsa sp.","Heterocapsa sp.","Heterocapsa sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Heterocapsaceae_Heterocapsa"
"33",109545,109545,"Scripsiella sp.","Scrippsiella sp.","Scrippsiella sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Peridiniaceae_Calciodinelloideae_Scrippsiella"
"34",109550,109550,"Podolampas sp.","Podolampas sp.","Podolampas sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Podolampadaceae_Podolampas"
"35",109553,109553,"Protoperidinium sp","Protoperidinium sp.","Protoperidinium sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Protoperidiniaceae_Protoperidinium"
"36",109558,109558,"Thorocosphaera sp.","Thoracosphaera sp.","Thoracosphaera sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Thoracosphaerales_Thoracosphaeraceae_Thoracosphaera"
