;AphiaID;aphiaid;speciesorig;speciesclean;scientificname;classificationgroup;functionalgroup_old;wm_attrs;wm_classes
16;109474;109474;Cochlodinium sp.;Cochlodinium sp.;Cochlodinium sp.;;DINOFLAGELLATES;Functional group:plankton > phytoplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Cochlodinium
54;109775;109775;Cochlodinium strangulatum;Cochlodinium strangulatum;Cochlodinium strangulatum;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Cochlodinium_Cochlodinium strangulatum
450;232687;232687;Cochlodinium virescens;Cochlodinium virescens;Cochlodinium virescens;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Gymnodiniaceae_Cochlodinium_Cochlodinium virescens
179;115057;115057;cocolitophorid;coccolithophorid;Prymnesiophyceae;;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae
195;146537;146537;Colonial Cyanobacteria ;cyanobacteria -colonial;Cyanobacteria;;CYANOBACTERIA;Paraphyletic group:Algae;Bacteria_Gracilicutes_Cyanobacteria
406;179596;179596;Corethron histryx;Corethron hystrix;Corethron hystrix;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Corethranae_Corethrales_Corethraceae_Corethron_Corethron hystrix
515;235944;235944;Coronosphaera mediterranea;Coronosphaera mediterranea;Coronosphaera mediterranea;Prymnesiophyte;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Syracosphaerales_Syracosphaeraceae_Coronosphaera_Coronosphaera mediterranea
29;109527;109527;Corythodinium sp.;Corythodinium sp.;Corythodinium sp.;;DINOFLAGELLATES;Functional group:plankton > phytoplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Oxytoxaceae_Corythodinium
114;110077;110077;Corythodinium tesellatum;Corythodinium tesselatum;Corythodinium tesselatum;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Oxytoxaceae_Corythodinium_Corythodinium tesselatum
270;149159;149159;Coscinodiscus centralis;Coscinodiscus centralis;Coscinodiscus centralis;;DIATOMS;Functional group:benthos, Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Coscinodiscanae_Coscinodiscales_Coscinodiscaceae_Coscinodiscus_Coscinodiscus centralis
547;345849;345849;Coscinodiscus excentricus;Coscinodiscus excentricus;Thalassiosira eccentrica;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Coscinodiscanae_Coscinodiscales_Coscinodiscaceae_Coscinodiscus_Coscinodiscus excentricus
295;149271;149271;Coscinodiscus granii;Coscinodiscus granii;Coscinodiscus granii;;DIATOMS;Body size:40, Body size:200, Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Coscinodiscanae_Coscinodiscales_Coscinodiscaceae_Coscinodiscus_Coscinodiscus granii
345;156629;156629;Coscinodiscus marginatus;Coscinodiscus marginatus;Coscinodiscus marginatus;;DIATOMS;Functional group:benthos;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Coscinodiscanae_Coscinodiscales_Coscinodiscaceae_Coscinodiscus_Coscinodiscus marginatus
294;149268;149268;Coscinodiscus nitidus;Coscinodiscus nitidus;Coscinodiscus nitidus;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Coscinodiscanae_Coscinodiscales_Coscinodiscaceae_Coscinodiscus_Coscinodiscus nitidus
296;149272;149272;Coscinodiscus perforatu;Coscinodiscus perforatus;Coscinodiscus perforatus;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Coscinodiscanae_Coscinodiscales_Coscinodiscaceae_Coscinodiscus_Coscinodiscus perforatus
211;148917;148917;Coscinodiscus sp.;Coscinodiscus sp.;Coscinodiscus sp.;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Coscinodiscanae_Coscinodiscales_Coscinodiscaceae_Coscinodiscus
346;156632;156632;Coscinodiscus wailessii;Coscinodiscus wailesii;Coscinodiscus wailesii;;DIATOMS;Body size:250, Body size:500, Functional group:benthos, Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Coscinodiscanae_Coscinodiscales_Coscinodiscaceae_Coscinodiscus_Coscinodiscus wailesii
293;149255;149255;Coscinoscira polychorda;Coscinosira polychorda;Thalassiosira anguste-lineata;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Thalassiosiranae_Thalassiosirales_Thalassiosiraceae_Coscinosira_Coscinosira polychorda
214;148926;148926;Coscinoscira sp.;Coscinosira sp.;Coscinosira sp.;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Thalassiosiranae_Thalassiosirales_Thalassiosiraceae_Coscinosira
403;178617;178617;Crucigenia sp.;Crucigenia sp.;Crucigenia sp.;Chlorophyte;OTHERS;Paraphyletic group:Algae > Macroalgae, Paraphyletic group:Algae > Macroalgae, Unicellularity:non-unicellular, Unicellularity:non-unicellular;Plantae_Viridiplantae_Chlorophyta_Chlorophytina_Trebouxiophyceae_Trebouxiophyceae ordo incertae sedis_Trebouxiophyceae incertae sedis_Crucigenia
627;840032;840032;Cyclolithella ferrazaae ;Cyclolithella ferrazae;Cyclolithella ferrazae;;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Haptophyta incertae sedis_Cyclolithella_Cyclolithella ferrazae
594;604021;604021;Cyclolithella sp. ;Cyclolithella sp.;Cyclolithella sp.;;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Haptophyta incertae sedis_Cyclolithella
207;148905;148905;Cyclotella sp.;Cyclotella sp.;Cyclotella sp.;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Thalassiosiranae_Thalassiosirales_Stephanodiscaceae_Cyclotella
208;148911;148911;Cyclotella striata;Cyclotella striata;Cyclotella striata;;DIATOMS;Functional group:benthos, Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Thalassiosiranae_Thalassiosirales_Stephanodiscaceae_Cyclotella_Cyclotella striata
221;149004;149004;Cylindrotheca closterium;Cylindrotheca closterium;Cylindrotheca closterium;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Bacillariophycidae_Bacillariophycanae_Bacillariales_Bacillariaceae_Cylindrotheca_Cylindrotheca closterium
303;149310;149310;Dactyliosolen fragilisimu;Dactyliosolen fragilissimus;Dactyliosolen fragilissimus;;DIATOMS;Body size:8, Body size:70, Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Rhizosolenianae_Rhizosoleniales_Rhizosoleniaceae_Dactyliosolen_Dactyliosolen fragilissimus
381;163262;163262;Dactyliosolen mediterran;Dactyliosolen mediterraneus;Leptocylindrus mediterraneus;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Rhizosolenianae_Rhizosoleniales_Rhizosoleniaceae_Dactyliosolen_Dactyliosolen mediterraneus
531;248064;248064;Dactyliosolen phuketensis;Dactyliosolen phuketensis;Dactyliosolen phuketensis;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Rhizosolenianae_Rhizosoleniales_Rhizosoleniaceae_Dactyliosolen_Dactyliosolen phuketensis
302;149309;149309;Dactyliosolen sp.;Dactyliosolen sp.;Dactyliosolen sp.;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Rhizosolenianae_Rhizosoleniales_Rhizosoleniaceae_Dactyliosolen
591;592884;592884;Desmidium sp.;Desmidium sp.;Desmidium;;OTHERS;NA;Plantae_Viridiplantae_Streptophyta_Charophyta_Conjugatophyceae_Desmidiales_Desmidiaceae_Desmidium
332;149647;149647;Detonula pumila;Detonula pumila;Detonula pumila;;DIATOMS;Body size:15, Body size:45, Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Thalassiosiranae_Thalassiosirales_Skeletonemaceae_Detonula_Detonula pumila
206;148899;148899;Diatom  X;diatom;Bacillariophyceae;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae
599;615464;615464;Dicosphaera tubifer;Discosphaera tubifer;Discosphaera tubifer;;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Syracosphaerales_Rhabdosphaeraceae_Discosphaera_Discosphaera tubifer
352;157463;157463;Dictyoca fibula;Dictyocha fibula;Dictyocha fibula;;OTHERS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Phaeista_Monista_Hypogyristia_Dictyochophyceae_Dictyochales_Dictyochaceae_Dictyocha_Dictyocha fibula
407;179830;179830;Dimmerogramma fulvum;Dimeregramma fulvum;Dimeregramma fulvum;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Biddulphianae_Triceratiales_Plagiogrammaceae_Dimeregramma_Dimeregramma fulvum
193;146203;146203;Dinoflagellate a;dinoflagellate -A;Dinoflagellata;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata
605;646201;646201;Dinophisys ovum;Dinophysis ovum;Dinophysis ovum;;DINOFLAGELLATES;Functional group:mixoplankton > plastid Specialists Non-Constitutive Mixoplankton (pSNCM);Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis ovum
42;109603;109603;Dinophysis acuminata;Dinophysis acuminata;Dinophysis acuminata;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:mixoplankton > plastid Specialists Non-Constitutive Mixoplankton (pSNCM);Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis acuminata
43;109612;109612;Dinophysis caudata;Dinophysis caudata;Dinophysis caudata;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:mixoplankton > plastid Specialists Non-Constitutive Mixoplankton (pSNCM);Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis caudata
434;232261;232261;Dinophysis cf. sacculus;Dinophysis cf. sacculus;Dinophysis cf. sacculus;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:mixoplankton > plastid Specialists Non-Constitutive Mixoplankton (pSNCM);Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis sacculus
44;109618;109618;Dinophysis diegensis;Dinophysis diegensis;Dinophysis caudata;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis diegensis
431;232185;232185;Dinophysis exhigua;Dinophysis exigua;Dinophysis exigua;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis exigua
45;109627;109627;Dinophysis hastata;Dinophysis hastata;Dinophysis hastata;;DINOFLAGELLATES;Functional group:plankton > zooplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis hastata
432;232243;232243;Dinophysis okamurai;Dinophysis okamurae;Dinophysis okamurae;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis okamurae
46;109654;109654;Dinophysis recurva;Dinophysis recurva;Dinophysis recurva;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis recurva
435;232270;232270;Dinophysis schoederi;Dinophysis schroederi;Dinophysis schroederi;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis schroederi
9;109462;109462;Dinophysis sp.;Dinophysis sp.;Dinophysis sp.;;DINOFLAGELLATES;Functional group:plankton > phytoplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis
279;149194;149194;Diploneis bombus;Diploneis bombus;Diploneis bombus;;DIATOMS;Functional group:benthos, Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Bacillariophycidae_Bacillariophycanae_Naviculales_Diploneidaceae_Diploneis_Diploneis bombus
313;149396;149396;Diploneis cabro;Diploneis crabro;Diploneis crabro;;DIATOMS;Functional group:benthos;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Bacillariophycidae_Bacillariophycanae_Naviculales_Diploneidaceae_Diploneis_Diploneis crabro
222;149018;149018;Diploneis sp.;Diploneis sp.;Diploneis sp.;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Bacillariophycidae_Bacillariophycanae_Naviculales_Diploneidaceae_Diploneis
104;110001;110001;Diplopsalis lenticula;Diplopsalis lenticula;Diplopsalis lenticula;;DINOFLAGELLATES;Functional group:plankton > phytoplankton, Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:plankton > zooplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Protoperidiniaceae_Diplopsalis_Diplopsalis lenticula
487;233618;233618;Diplopsalis rotunda;Diplopsalis rotunda;Oblea rotunda;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Protoperidiniaceae_Diplopsalis_Diplopsalis rotunda
26;109515;109515;Diplopsalis sp.;Diplopsalis sp.;Diplopsalis sp.;;DINOFLAGELLATES;Functional group:plankton > phytoplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Protoperidiniaceae_Diplopsalis
436;232271;232271;Disodinium gerbautii;Dissodinium gerbaultii;Dissodinium gerbaultii;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Pyrocystales_Pyrocystaceae_Dissodinium_Dissodinium gerbaultii
356;160554;160554;Distephanus sp.;Distephanus sp.;Distephanus sp.;;OTHERS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Phaeista_Monista_Hypogyristia_Dictyochophyceae_Dictyochales_Dictyochaceae_Distephanus
402;178589;178589;Dunaliella sp.;Dunaliella sp.;Dunaliella sp.;;OTHERS;Paraphyletic group:Algae > Macroalgae, Unicellularity:non-unicellular;Plantae_Viridiplantae_Chlorophyta_Chlorophytina_Chlorophyceae_Volvocales_Dunaliellaceae_Dunaliella
223;149023;149023;Dytilum brightwelli;Ditylum brightwellii;Ditylum brightwellii;;DIATOMS;Body size:20, Body size:120, Functional group:benthos, Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Lithodesmiophycanae_Lithodesmiales_Lithodesmiaceae_Ditylum_Ditylum brightwellii
187;118014;118014;Ebria sp.;Ebria sp.;Ebria sp.;;OTHERS;Functional group:plankton > phytoplankton;Protozoa_Protozoa incertae sedis_Ebriophyceae_Ebriales_Ebriaceae_Ebria
188;118051;118051;Ebria tripartita;Ebria tripartita;Ebria tripartita;;OTHERS;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:plankton > zooplankton;Protozoa_Protozoa incertae sedis_Ebriophyceae_Ebriales_Ebriaceae_Ebria_Ebria tripartita
183;115086;115086;Emiliana sp.;Emiliana sp.;Emiliana;;COCCOLITHOPHORIDS;Functional group:plankton > phytoplankton;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Isochrysidales_Noelaerhabdaceae_Emiliania
186;115104;115104;Emiliania huxleyi;Emiliania huxleyi;Emiliania huxleyi;;COCCOLITHOPHORIDS;Functional group:mixoplankton > Constitutive Mixoplankton (CM);Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Isochrysidales_Noelaerhabdaceae_Emiliania_Emiliania huxleyi
349;157428;157428;Entomoneis alata ;Entomoneis alata ;Entomoneis alata;;DIATOMS;Functional group:benthos, Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Bacillariophycidae_Bacillariophycanae_Surirellales_Entomoneidaceae_Entomoneis_Entomoneis alata
543;341542;341542;Ephemera planamembranacea;Ephemera planamembranacea;Ephemera planamembranacea;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Bacillariophycidae_Bacillariophycanae_Naviculales_Naviculineae_Plagiotropidaceae_Ephemera_Ephemera planamembranacea
420;231793;231793;Erythropsidinium sp.;Erythropsidinium sp.;Erythropsidinium sp.;;DINOFLAGELLATES;Functional group:plankton > phytoplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Warnowiaceae_Erythropsidinium
612;836546;836546;Estrelladinium sp.;Stelladinium sp.;Stelladinium;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Phthanoperidiniaceae_Stelladinium
527;248058;248058;Eucampia cornuta;Eucampia cornuta;Eucampia cornuta;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Biddulphianae_Hemiaulales_Hemiaulaceae_Eucampia_Eucampia cornuta
350;157430;157430;Eucampia groenlandica;Eucampia groenlandica;Eucampia groenlandica;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Biddulphianae_Hemiaulales_Hemiaulaceae_Eucampia_Eucampia groenlandica
258;149130;149130;Eucampia sp.;Eucampia sp.;Eucampia sp.;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Biddulphianae_Hemiaulales_Hemiaulaceae_Eucampia
259;149131;149131;Eucampia zodiacus;Eucampia zodiacus;Eucampia zodiacus;;DIATOMS;Body size:10, Body size:100, Functional group:benthos, Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Biddulphianae_Hemiaulales_Hemiaulaceae_Eucampia_Eucampia zodiacus
314;149402;149402;Eunotia;Eunotia sp.;Eunotia sp.;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Bacillariophycidae_Eunotiophycanae_Eunotiales_Eunotiaceae_Eunotia
401;178582;178582;Eutreptia sp;Eutreptia sp.;Eutreptia sp.;;OTHERS;NA;Protozoa_Eozoa_Euglenozoa_Euglenozoa_Euglenoidea_Euglenia_Eutreptiida_Eutreptiaceae_Eutreptia
585;573871;573871;Eutreptiella eupharyngea ;Eutreptiella eupharyngea;Eutreptiella eupharyngea;;OTHERS;NA;Protozoa_Eozoa_Euglenozoa_Euglenozoa_Euglenoidea_Euglenia_Eutreptiida_Eutreptiaceae_Eutreptiella_Eutreptiella eupharyngea
178;110652;110652;Eutreptiella gymnastica;Eutreptiella gymnastica;Eutreptiella gymnastica;;OTHERS;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:plankton > phytoplankton;Protozoa_Eozoa_Euglenozoa_Euglenozoa_Euglenoidea_Euglenia_Eutreptiida_Eutreptiaceae_Eutreptiella_Eutreptiella gymnastica
3;17657;17657;Eutreptiella sp.;Eutreptiella sp.;Eutreptiella sp.;;OTHERS;Functional group:plankton > phytoplankton;Protozoa_Eozoa_Euglenozoa_Euglenozoa_Euglenoidea_Euglenia_Eutreptiida_Eutreptiaceae_Eutreptiella
421;231851;231851;Exubiella sp.;Exuviella sp.;Prorocentrum sp.;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Prorocentrales_Prorocentraceae_Exuviella
587;576723;576723;Exuviella baltica;Exuviella baltica;Prorocentrum balticum;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Prorocentrales_Prorocentraceae_Exuviaella_Exuviaella baltica
194;146222;146222;Flagelados;flagellate;Flagellates;;OTHERS;NA;Protozoa_Flagellates
305;149313;149313;Fragilariopsis sp.;Fragilariopsis sp.;Fragilariopsis sp.;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Bacillariophycidae_Bacillariophycanae_Bacillariales_Bacillariaceae_Fragilariopsis
13;109468;109468;Fragilidium sp.;Fragilidium sp.;Fragilidium sp.;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Pyrophacaceae_Fragilidium
224;149028;149028;Fragillaria sp.;Fragilaria sp.;Fragilaria sp.;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Fragilariophycidae_Fragilariophycanae_Fragilariales_Fragilariaceae_Fragilaria
390;172436;172436;Fragillariopsis cf. oceanicum;Fragilariopsis cf. oceanica;Fragilariopsis cf. oceanica;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Bacillariophycidae_Bacillariophycanae_Bacillariales_Bacillariaceae_Fragilariopsis_Fragilariopsis oceanica
31;109538;109538;Glenodinium sp.;Glenodinium sp.;Glenodinium sp.;;DINOFLAGELLATES;Functional group:plankton > phytoplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Peridiniaceae_Glenodinium
204;146602;146602;Gloeocapsa sp.;Gloeocapsa sp.;Gloeocapsa sp.;;CYANOBACTERIA;NA;Bacteria_Gracilicutes_Cyanobacteria_Cyanophyceae_Oscillatoriophycideae_Chroococcales_Microcystaceae_Gloeocapsa
550;409630;409630;Gloeotrichia echinulata;Gloeotrichia echinulata;Gloeotrichia echinulata;;CYANOBACTERIA;Functional group:plankton > phytoplankton;Bacteria_Gracilicutes_Cyanobacteria_Cyanophyceae_Nostocophycideae_Nostocales_Gloeotrichiaceae_Gloeotrichia_Gloeotrichia echinulata
160;110278;110278;Goniodoma acuminatus;Goniodoma acuminatum;Goniodoma acuminatum;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Thoracosphaerales_Thoracosphaeraceae_Goniodoma_Goniodoma acuminatum
481;233386;233386;Goniodoma polyedricum;Goniodoma polyedricum;Triadinium polyedricum;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Thoracosphaerales_Thoracosphaeraceae_Goniodoma_Goniodoma polyedricum
37;109559;109559;Goniodoma sp.;Goniodoma sp.;Goniodoma sp.;;DINOFLAGELLATES;Functional group:plankton > phytoplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Thoracosphaerales_Thoracosphaeraceae_Goniodoma
588;577670;577670;Gonium sp. ;Gonium sp.;Gonium sp.;Cryptophyte;OTHERS;Paraphyletic group:Algae > Macroalgae, Unicellularity:non-unicellular;Plantae_Viridiplantae_Chlorophyta_Chlorophytina_Chlorophyceae_Volvocales_Goniaceae_Gonium
161;110280;110280;Gonodioma sphaericum;Goniodoma sphaericum;Goniodoma sphaericum;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Thoracosphaerales_Thoracosphaeraceae_Goniodoma_Goniodoma sphaericum
105;110010;110010;Gonyaulax apiculata;Gonyaulax apiculata;Gonyaulax apiculata;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Gonyaulacaceae_Gonyaulax_Gonyaulax apiculata
106;110014;110014;Gonyaulax diegensis;Gonyaulax diegensis;Gonyaulax diegensis;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:mixoplankton > Constitutive Mixoplankton (CM);Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Gonyaulacaceae_Gonyaulax_Gonyaulax diegensis
107;110015;110015;Gonyaulax digitale;Gonyaulax digitale;Gonyaulax digitale;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:plankton > phytoplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Gonyaulacaceae_Gonyaulax_Gonyaulax digitale
108;110019;110019;Gonyaulax fragilis;Gonyaulax fragilis;Gonyaulax fragilis;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Gonyaulacaceae_Gonyaulax_Gonyaulax fragilis
