;AphiaID;aphiaid;speciesorig;speciesclean;scientificname;classificationgroup;functionalgroup_old;wm_attrs;wm_classes
203;146585;146585;Anabaena;Anabaena sp.;Anabaena sp.;;CYANOBACTERIA;NA;Bacteria_Gracilicutes_Cyanobacteria_Cyanophyceae_Nostocophycideae_Nostocales_Nostocaceae_Anabaena
573;465530;465530;Anacystis sp.;Anacystis sp.;Anacystis sp.;;CYANOBACTERIA;NA;Bacteria_Gracilicutes_Cyanobacteria_Cyanophyceae_Oscillatoriophycideae_Chroococcales_Microcystaceae_Anacystis
508;235921;235921;Anoplosolenia brasiliensiS;Anoplosolenia brasiliensis;Calciosolenia brasiliensis;;COCCOLITHOPHORIDS;Functional group:plankton > phytoplankton;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Syracosphaerales_Calciosoleniaceae_Anoplosolenia_Anoplosolenia brasiliensis
525;235989;235989;Anthosphaera robusta;Anthosphaera robusta;Algirosphaera robusta;;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Coccolithales_Calyptrosphaeraceae_Anthosphaera_Anthosphaera robusta
361;162385;162385;Arthrospira sp.;Arthrospira sp.;Arthrospira sp.;;CYANOBACTERIA;NA;Bacteria_Gracilicutes_Cyanobacteria_Cyanophyceae_Oscillatoriophycideae_Oscillatoriales_Microcoleaceae_Arthrospira
328;149618;149618;Asrerionellopsis kariana;Asterionellopsis kariana;Asteroplanus karianus;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Fragilariophycidae_Fragilariophycanae_Fragilariales_Fragilariaceae_Asterionellopsis_Asterionellopsis kariana
284;149220;149220;Asterionella japonica;Asterionella japonica;Asterionella japonica;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Fragilariophycidae_Fragilariophycanae_Fragilariales_Fragilariaceae_Asterionella_Asterionella japonica
263;149139;149139;Asterionellopsis glacialis;Asterionellopsis glacialis;Asterionellopsis glacialis;;DIATOMS;Body size:30, Body size:150, Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Fragilariophycidae_Fragilariophycanae_Fragilariales_Fragilariaceae_Asterionellopsis_Asterionellopsis glacialis
262;149138;149138;Asterionellopsis sp. ;Asterionellopsis sp.;Asterionellopsis sp.;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Fragilariophycidae_Fragilariophycanae_Fragilariales_Fragilariaceae_Asterionellopsis
418;231769;231769;Asterodinium sp.;Asterodinium sp.;Asterodinium sp.;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Brachidiniaceae_Asterodinium
428;232113;232113;Asterodinium spinosum;Asterodinium spinosum;Asterodinium spinosum;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Brachidiniaceae_Asterodinium_Asterodinium spinosum
534;248069;248069;Asterolampra sp.;Asterolampra sp.;Asterolampra sp.;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Coscinodiscanae_Asterolamprales_Asterolampraceae_Asterolampra
360;162255;162255;Asteromphallus flabellatus;Asteromphalus flabellatus;Asteromphalus flabellatus;;DIATOMS;Functional group:benthos;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Coscinodiscanae_Asterolamprales_Asterolampraceae_Asteromphalus_Asteromphalus flabellatus
533;248066;248066;Bacteriastrum comosum;Bacteriastrum comosum;Bacteriastrum comosum;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Chaetocerotanae_Chaetocerotanae incertae sedis_Chaetocerotaceae_Bacteriastrum_Bacteriastrum comosum
388;164108;164108;Bacteriastrum delicatulu;Bacteriastrum delicatulum;Bacteriastrum delicatulum;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Chaetocerotanae_Chaetocerotanae incertae sedis_Chaetocerotaceae_Bacteriastrum_Bacteriastrum delicatulum
365;162916;162916;Bacteriastrum elongatum;Bacteriastrum elongatum;Bacteriastrum elongatum;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Chaetocerotanae_Chaetocerotanae incertae sedis_Chaetocerotaceae_Bacteriastrum_Bacteriastrum elongatum
250;149119;149119;Bacteriastrum hyalinum;Bacteriastrum hyalinum;Bacteriastrum hyalinum;;DIATOMS;Functional group:benthos, Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Chaetocerotanae_Chaetocerotanae incertae sedis_Chaetocerotaceae_Bacteriastrum_Bacteriastrum hyalinum
249;149118;149118;Bacteriastrum sp.;Bacteriastrum sp.;Bacteriastrum sp.;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Chaetocerotanae_Chaetocerotanae incertae sedis_Chaetocerotaceae_Bacteriastrum
366;162923;162923;Bacteriosira sp.;Bacterosira sp.;Bacterosira sp.;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Bacillariophyceae incertae sedis_Bacterosira
451;232737;232737;Balechiana coerulea;Balechina coerulea;Balechina coerulea;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Ptychodiscaceae_Balechina_Balechina coerulea
301;149306;149306;Bellerochea malleus;Bellerochea malleus;Bellerochea horologicalis;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Biddulphianae_Hemiaulales_Bellerocheaceae_Bellerochea_Bellerochea malleus
300;149305;149305;Bellorochea sp.;Bellerochea sp.;Bellerochea sp.;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Biddulphianae_Hemiaulales_Bellerocheaceae_Bellerochea
333;149655;149655;Biddulphia cf. alternans;Biddulphia cf. alternans;Trigonium cf. alternans;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Biddulphianae_Biddulphiales_Biddulphiaceae_Biddulphia_Biddulphia alternans
384;163736;163736;Bleakleya notata;Bleakeleya notata;Bleakeleya notata;;DIATOMS;Body size:50, Body size:70;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Fragilariophycidae_Fragilariophycanae_Fragilariales_Fragilariaceae_Bleakeleya_Bleakeleya notata
131;110179;110179;Blepharocysta splendor;Blepharocysta splendor;Blepharocysta splendor-maris;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Peridiniales_Podolampadaceae_Blepharocysta_Blepharocysta splendor-maris
509;235922;235922;Braarudosphaera bigelowi;Braarudosphaera bigelowii;Braarudosphaera bigelowii;;COCCOLITHOPHORIDS;Functional group:plankton > phytoplankton;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Coccosphaerales_Braarudosphaeraceae_Braarudosphaera_Braarudosphaera bigelowii
429;232115;232115;Brachidinium capitatum;Brachidinium capitatum;Brachidinium capitatum;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Kareniaceae_Brachidinium_Brachidinium capitatum
419;231770;231770;Brachidinium sp.;Brachidinium sp.;Brachidinium sp.;;DINOFLAGELLATES;Functional group:plankton > phytoplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gymnodiniales_Kareniaceae_Brachidinium
545;345436;345436;Brachiomonas;Brachiomonas sp.;Brachiomonas sp.;;OTHERS;Paraphyletic group:Algae > Macroalgae, Unicellularity:non-unicellular;Plantae_Viridiplantae_Chlorophyta_Chlorophytina_Chlorophyceae_Chlamydomonadales_Chlamydomonadaceae_Brachiomonas
96;109971;109971;Caeratium pavillardi;Caeratium pavillardi;Neoceratium pavillardii;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium pavillardii
510;235923;235923;Calcidiscus leptoporus;Calcidiscus leptoporus;Calcidiscus leptoporus;;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Coccolithales_Calcidiscaceae_Calcidiscus_Calcidiscus leptoporus
496;235804;235804;Calcidiscus sp.;Calcidiscus sp.;Calcidiscus sp.;;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Coccolithales_Calcidiscaceae_Calcidiscus
511;235924;235924;Calciopapus caudatus;Calciopappus caudatus;Calciopappus caudatus;;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Syracosphaerales_Syracosphaeraceae_Calciopappus_Calciopappus caudatus
512;235926;235926;Calciosolenia murrayii;Calciosolenia murrayi;Calciosolenia murrayi;;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Syracosphaerales_Calciosoleniaceae_Calciosolenia_Calciosolenia murrayi
499;235828;235828;Calypthorsphaera sp.;Calyptrosphaera sp.;Calyptrosphaera sp.;;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Coccolithales_Calyptrosphaeraceae_Calyptrosphaera
497;235826;235826;Calyptrolithina;Calyptrolithina sp.;Calyptrolithina sp.;;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Coccolithales_Calyptrosphaeraceae_Calyptrolithina
498;235827;235827;Calyptrolitthophora sp.;Calyptrolithophora sp.;Calyptrolithophora sp.;;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Coccolithales_Calyptrosphaeraceae_Calyptrolithophora
394;177833;177833;Calyptrophora sp.;Calyptrophora sp.;Calyptrophora sp.;;COCCOLITHOPHORIDS;NA;Animalia_Cnidaria_Anthozoa_Octocorallia_Alcyonacea_Calcaxonia_Primnoidae_Calyptrophora
503;235868;235868;Calyptrosphaera sphaerodidea;Calyptrosphaera sphaerodidea;Holococcolithophora sphaeroidea;;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Prymnesiophyceae_Coccolithales_Calyptrosphaeraceae_Calyptrosphaera_Calyptrosphaera sphaeroidea
327;149616;149616;Campilodiscus sp.;Campylodiscus sp.;Campylodiscus sp.;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Bacillariophycidae_Bacillariophycanae_Surirellales_Surirellaceae_Campylodiscus
311;149357;149357;Campylosira cymbeliformis;Campylosira cymbelliformis;Campylosira cymbelliformis;;DIATOMS;Functional group:benthos, Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Cymatosirophycanae_Cymatosirales_Cymatosiraceae_Campylosira_Campylosira cymbelliformis
113;110072;110072;Centrodinium maximum;Centrodinium maximum;Centrodinium maximum;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ostreopsidaceae_Centrodinium_Centrodinium maximum
28;109526;109526;Centrodinium sp.;Centrodinium sp.;Centrodinium sp.;;DINOFLAGELLATES;Functional group:plankton > phytoplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ostreopsidaceae_Centrodinium
290;149237;149237;Cerataulina bergonii;Cerataulina bergonii;Cerataulina pelagica;;DIATOMS;NA;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Biddulphianae_Hemiaulales_Hemiaulaceae_Cerataulina_Cerataulina bergonii
329;149619;149619;Cerataulina pelagica;Cerataulina pelagica;Cerataulina pelagica;;DIATOMS;Body size:10, Body size:60, Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Biddulphianae_Hemiaulales_Hemiaulaceae_Cerataulina_Cerataulina pelagica
307;149328;149328;Cerataulus sp.;Cerataulus sp.;Cerataulus sp.;;DIATOMS;Functional group:plankton > phytoplankton;Chromista_Harosa_Heterokonta_Ochrophyta_Khakista_Bacillariophyceae_Coscinodiscophycidae_Biddulphianae_Triceratiales_Triceratiaceae_Cerataulus
513;235933;235933;Ceratholithus cristatus;Ceratolithus cristatus;Ceratolithus cristatus;;COCCOLITHOPHORIDS;NA;Chromista_Hacrobia_Haptophyta_Haptophyta incertae sedis_Ceratolithaceae_Ceratolithus_Ceratolithus cristatus
75;109930;109930;Ceratium azoricum;Ceratium azoricum;Tripos azoricus;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium azoricum
76;109931;109931;Ceratium belone;Ceratium belone;Tripos belone;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium belone
77;109932;109932;Ceratium breve;Ceratium breve;Tripos brevis;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium breve
415;196820;196820;Ceratium bucephalum;Ceratium bucephalum;Tripos bucephalus;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium bucephalum
78;109935;109935;Ceratium candelabrum;Ceratium candelabrum;Tripos candelabrus;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium candelabrum
79;109936;109936;Ceratium carriense;Ceratium carriense;Tripos carriense;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium carriense
80;109940;109940;Ceratium concilians;Ceratium concilians;Tripos concilians;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium concilians
81;109941;109941;Ceratium contortum;Ceratium contortum;Tripos contortus;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium contortum
82;109943;109943;Ceratium declinatum;Ceratium declinatum;Tripos declinatus;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium declinatum
475;233245;233245;Ceratium dens;Ceratium dens;Tripos dens;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium dens
83;109947;109947;Ceratium extensum;Ceratium extensum;Ceratium extensum;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium extensum
84;109948;109948;Ceratium falcatiforme;Ceratium falcatiforme;Tripos falcatiformis;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium falcatiforme
85;109949;109949;Ceratium falcatum;Ceratium falcatum;Ceratium falcatum;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium falcatum
