"","Date","val","spec","reg"
"56",2006-07-04,13.94,"Tchla","2"
"57",2006-08-03,23.96,"Tchla","2"
"58",2006-09-12,25.05,"Tchla","2"
"59",2006-10-10,48.05,"Tchla","2"
"60",2006-11-02,21.5,"Tchla","2"
"61",2006-12-05,30.24,"Tchla","2"
"62",2007-02-06,102.46,"Tchla","2"
"63",2007-03-06,31.32,"Tchla","2"
"64",2007-04-10,32.21,"Tchla","2"
"65",2007-05-08,30.94,"Tchla","2"
"66",2007-06-05,20.14,"Tchla","2"
"67",2007-07-03,30.49,"Tchla","2"
"68",2007-08-07,27.78,"Tchla","2"
"69",2007-09-04,22.45,"Tchla","2"
"70",2007-10-19,41.8,"Tchla","2"
"71",2007-12-11,32.43,"Tchla","2"
"72",2008-01-10,23.65,"Tchla","2"
"73",2008-02-12,39.81,"Tchla","2"
"74",2008-03-11,55.07,"Tchla","2"
"75",2008-04-08,29.43,"Tchla","2"
"76",2008-05-04,26.95,"Tchla","2"
"77",2008-06-03,31.12,"Tchla","2"
"78",2008-07-08,34.71,"Tchla","2"
"79",2008-08-05,52.46,"Tchla","2"
"80",2008-09-10,20.97,"Tchla","2"
"81",2008-10-10,26.83,"Tchla","2"
"82",2008-11-18,26.32,"Tchla","2"
"83",2008-12-10,18.5,"Tchla","2"
"84",2009-01-13,59.93,"Tchla","2"
"85",2009-02-10,48.58,"Tchla","2"
"86",2009-03-03,31.05,"Tchla","2"
"87",2009-04-07,27.68,"Tchla","2"
"88",2009-05-08,33.33,"Tchla","2"
"89",2009-06-02,31.8,"Tchla","2"
"90",2009-07-14,18.61,"Tchla","2"
"91",2009-08-11,37.91,"Tchla","2"
"92",2009-09-15,34.39,"Tchla","2"
"93",2009-10-07,29.29,"Tchla","2"
"94",2009-11-10,14.86,"Tchla","2"
"95",2009-12-08,19.44,"Tchla","2"
"96",2010-01-07,29.28,"Tchla","2"
"97",2010-02-11,106.87,"Tchla","2"
"98",2010-03-09,28.22,"Tchla","2"
"99",2010-04-07,23.11,"Tchla","2"
"100",2010-05-11,32.02,"Tchla","2"
"101",2010-06-08,17.24,"Tchla","2"
"102",2010-08-04,16.73,"Tchla","2"
"103",2010-09-15,40.22,"Tchla","2"
"104",2010-10-05,22.74,"Tchla","2"
"105",2010-11-09,15.32,"Tchla","2"
"106",2010-12-08,25.14,"Tchla","2"
"218",2006-07-04,2.1,"Prasino3","2"
"219",2006-08-03,2.36,"Prasino3","2"
"220",2006-09-12,2.97,"Prasino3","2"
"221",2006-10-10,1.22,"Prasino3","2"
"222",2006-11-02,2.71,"Prasino3","2"
"223",2006-12-05,4.32,"Prasino3","2"
"224",2007-02-06,0.54,"Prasino3","2"
"225",2007-03-06,2.64,"Prasino3","2"
"226",2007-04-10,3.76,"Prasino3","2"
"227",2007-05-08,3.62,"Prasino3","2"
"228",2007-06-05,1.9,"Prasino3","2"
"229",2007-07-03,2.21,"Prasino3","2"
"230",2007-08-07,1.43,"Prasino3","2"
"231",2007-09-04,3.19,"Prasino3","2"
"232",2007-10-19,1.67,"Prasino3","2"
"233",2007-12-11,2.04,"Prasino3","2"
"234",2008-01-10,0.91,"Prasino3","2"
"235",2008-02-12,1.75,"Prasino3","2"
"236",2008-03-11,1.85,"Prasino3","2"
"237",2008-04-08,1.96,"Prasino3","2"
"238",2008-05-04,3.64,"Prasino3","2"
"239",2008-06-03,1.92,"Prasino3","2"
"240",2008-07-08,3.11,"Prasino3","2"
"241",2008-08-05,2.04,"Prasino3","2"
"242",2008-09-10,3.07,"Prasino3","2"
"243",2008-10-10,3.09,"Prasino3","2"
"244",2008-11-18,5.67,"Prasino3","2"
"245",2008-12-10,3.85,"Prasino3","2"
"246",2009-01-13,2.82,"Prasino3","2"
"247",2009-02-10,4.22,"Prasino3","2"
"248",2009-03-03,2.5,"Prasino3","2"
"249",2009-04-07,3.79,"Prasino3","2"
"250",2009-05-08,3.22,"Prasino3","2"
"251",2009-06-02,2.57,"Prasino3","2"
"252",2009-07-14,2.03,"Prasino3","2"
"253",2009-08-11,3.39,"Prasino3","2"
"254",2009-09-15,1.8,"Prasino3","2"
"255",2009-10-07,1.51,"Prasino3","2"
"256",2009-11-10,1.96,"Prasino3","2"
"257",2009-12-08,2.04,"Prasino3","2"
"258",2010-01-07,2.52,"Prasino3","2"
"259",2010-02-11,0.32,"Prasino3","2"
"260",2010-03-09,1.62,"Prasino3","2"
"261",2010-04-07,2.12,"Prasino3","2"
"262",2010-05-11,3.13,"Prasino3","2"
"263",2010-06-08,2.24,"Prasino3","2"
"264",2010-08-04,2.86,"Prasino3","2"
"265",2010-09-15,4.545,"Prasino3","2"
"266",2010-10-05,1.44,"Prasino3","2"
"267",2010-11-09,1.84,"Prasino3","2"
"268",2010-12-08,1.71,"Prasino3","2"
"380",2006-07-04,0.27,"Crypto1","2"
"381",2006-08-03,1.99,"Crypto1","2"
"382",2006-09-12,1.77,"Crypto1","2"
