,time,tmld
0,1,14.73596477508545
1,2,14.203765869140625
2,3,14.04380989074707
3,4,14.488364219665527
4,5,15.369067192077637
5,6,17.3863468170166
6,7,19.672103881835938
7,8,20.914283752441406
8,9,20.832927703857422
9,10,19.51511573791504
10,11,17.51605987548828
11,12,15.98973274230957
