"","Fuco","date","Perid","Allo","But_fuco","Hex_fuco","Zea","Tot_Chl_b","DP","Tot_Chl_a","TChl"
"1",0.0154613966350834,1995-12-13,0.00475629580406799,0.00224581516822014,0.00647883317751827,0.0200220482212363,0.0070207360771408,0.0500510353436684,NA,0.127123754899913,NA
"2",0.25173404720004,1996-01-12,0.0565637779291422,0.00432857142857143,0.00858650348064511,0.0196727398112809,0.0055929113315942,0.0516740327442991,NA,0.426448729298857,NA
"3",0.21098653008146,1996-02-13,0.012517568788147,0.0049267063288894,0.00381381308572095,0.0217883961298632,0.00566630692878225,0.0373814136669981,NA,0.275364958774744,NA
"4",0.265042328834457,1996-03-13,0.0425972860802148,0.00662238415501301,0.00157950581395349,0.0174088516001397,0.00688203394143046,0.0238522484733598,NA,0.248491389126018,NA
"5",1.24417041898759,1996-04-16,0.0335104981370105,NA,0.031331991477546,0.219745216339495,0.0168812311048174,0.0842149727589107,NA,2.23165934676438,NA
"6",0.248414553044799,1996-05-09,NA,NA,0.00411290322580645,0.0437482520977937,0.0109549648402442,0.0330175239899401,NA,0.458280459740666,NA
"7",0.0773573647066889,1996-06-12,0.00921052631578947,0.00619590502396082,0.0077845779013674,0.0322747908737165,0.0019016393442623,0.100980841677406,NA,0.255530169231217,NA
"8",0.0208517283712637,1996-07-10,0.00474077497925967,NA,0.00906195435332572,0.0381456462281978,0.0198328695730773,0.01298490573922,NA,0.223909154250117,NA
"9",0.020804873370569,1996-08-06,0.00298792525917826,0.001,0.0121297077425181,0.045329158843037,0.0154423722412875,0.142497603977344,NA,0.234879550265064,NA
"10",0.0324300053710547,1996-09-10,0.00494744907607102,0.0015,0.0235955123174725,0.0701056135235788,0.0218524618467403,0.0131369863243204,NA,0.318339426790868,NA
"11",0.0496109576311073,1996-10-09,0.00913922011308192,NA,0.0119253344987448,0.0389142462151721,0.0231029663178451,0.00951587892163835,NA,0.298592771281885,NA
"12",0.131626123816838,1996-11-10,0.0083063575077021,0.004,0.0100672504681239,0.0405378736851237,0.0145374828025708,0.0336416871288303,NA,0.398879836389427,NA
"13",0.0134947357635754,1996-12-11,0.00446616142658498,0.00220818694427354,0.00861051858988273,0.0330546143657689,0.0178765196756002,0.0825692962212405,NA,0.186562272486595,NA
"14",0.450972670836944,1997-01-07,0.0292873260211407,0.0025,0.00609386692985418,0.0219637822486526,0.016069983497936,0.0547672013290164,NA,1.05663222734159,NA
