"","Fuco","date","Perid","Allo","But_fuco","Hex_fuco","Zea","Tot_Chl_b","DP","Tot_Chl_a","TChl"
"1",0.00474088999615746,1995-12-13,0.002,NA,0.00395238095238095,0.00724056238446236,0.00261536984431858,0.0221059225032817,NA,0.0385205667277394,NA
"2",0.0123223284450997,1996-01-12,0.00104761904761905,NA,0.00223809523809524,0.00783727140986509,0.00114285714285714,0.0214121883155892,NA,0.0390426842417571,NA
"3",0.0160873557458989,1996-02-13,0.001,0.002,0.00166276344816036,0.00633516312196879,0.00214285714285714,0.022728962826027,NA,0.060507972982051,NA
"4",0.0109274216944756,1996-03-13,NA,NA,0.001,0.00314577011027584,0.001,0.00461867141428163,NA,0.0219051959916575,NA
"5",0.0382380952380952,1996-04-16,NA,NA,0.0020952380952381,0.0142857142857143,NA,0.058,NA,0.0707619047619048,NA
"6",0.019199154517131,1996-05-09,NA,NA,0.005,0.00813836489212807,NA,0.00758592469434667,NA,0.0392328448195795,NA
"7",0.0159023385313947,1996-06-12,NA,0.00193189652069978,0.0065062160083156,0.0154967263237735,0.001,0.0374406555960295,NA,0.0630023621374039,NA
"8",0.0228173706354651,1996-07-10,0.00193234006969806,NA,0.00636867619883154,0.0191257843575459,0.0110584137777968,0.0128184234952511,NA,0.123721670380134,NA
"9",0.0231904761904762,1996-08-06,0.0010952380952381,NA,0.0177619047619048,0.0477619047619048,0.00604761904761905,0.112714285714286,NA,0.173523809523809,NA
"10",0.0503494016177678,1996-09-10,0.00447713368793863,0.0015,0.0295049729730745,0.0770216137260826,0.0274803759329691,0.0133100341220259,NA,0.306804189127601,NA
"11",0.0174235362363735,1996-10-09,0.00104761904761905,NA,0.00644911304791725,0.0110968672603658,0.0104028468735405,0.00664023952779988,NA,0.101088855975632,NA
"12",0.0113356372552352,1996-11-10,0.001,0.003,0.00601189232978979,0.0204683308839294,0.00975140238923342,0.03,NA,0.0745760869565217,NA
"13",0.00658250587751649,1996-12-11,NA,0.00148331631382897,0.00471158616691022,0.0116678653980002,0.00838844827900337,0.0958841387852657,NA,0.0585718617012334,NA
"14",0.00811783534639395,1997-01-07,0.001,0.002,0.00258276367163198,0.00902506144160223,0.00613643451553097,0.0347867986821744,NA,0.0438594020990124,NA
"15",0.0139869658348234,1997-02-13,0.00113955855342586,0.001,0.00290411195336136,0.00890656056438998,0.00313920396748358,0.119740783196538,NA,0.0404000170650093,NA
"16",0.0367776055342152,1997-02-23,0.003,NA,0.0010952380952381,0.00284507449821755,0.006,0.00471606608890618,NA,0.0640589452024146,NA
"17",0.0438368034121235,1997-03-13,NA,NA,NA,NA,NA,0.936603802309963,NA,0.062607809311677,NA
"18",0.0274429992160092,1997-04-15,NA,NA,0.0040952380952381,0.0211428571428571,NA,0.0805541506978915,NA,0.075954494458399,NA
"19",0.0224305691516202,1997-05-10,0.001,NA,0.00317385792043106,0.00666451278619797,0.003,0.0327134615896132,NA,0.0583811886135045,NA
"20",0.016578092359149,1997-06-17,0.003,NA,0.0102090690513862,0.0281855823436125,0.013954135915438,0.210083054495011,NA,0.136937513018941,NA
"21",0.0109870324232896,1997-07-08,0.004,NA,0.00509299971084828,0.0120750359532421,0.001,0.0572520627946872,NA,0.0423988200775312,NA
"22",0.0209711670390123,1997-08-17,0.00314285714285714,NA,0.00854902594341386,0.0232726560012344,0.008,0.161380679594339,NA,0.0795421280532461,NA
"23",0.0176838842474833,1997-09-17,0.00391304347826087,0.005,0.0116660787097102,0.0340698757322,0.024,0.129251937476408,NA,0.129473777733561,NA
"24",0.0210115312597147,1997-10-14,0.002,0.00220207531102444,0.0078507089018852,0.0228184193765256,NA,0.121291704714131,NA,0.111641437209893,NA
"25",0.00487461621483771,1997-11-13,NA,NA,0.00119047619047619,0.00217860571972907,NA,0.35768111544431,NA,0.0180188235894266,NA
"26",0.0235710513472729,1997-12-17,0.003,0.00268478260869565,0.0106516057833171,0.045038629240205,NA,0.116386627102415,NA,0.15705782207825,NA
"27",0.0191238811039966,1998-01-14,NA,0.00304761904761905,0.00634292633200587,0.021432670259205,0.00304761904761905,0.0559914319059706,NA,0.0915621312140507,NA
"28",0.0345345632420883,1998-02-11,0.00576484696250343,0.00122032985673844,0.00801739874326153,0.0257737715501402,0.00298997190124963,0.0699025682373596,NA,0.155216308472144,NA
"29",0.0190941685568456,1998-03-12,NA,NA,0.00113327710677975,0.00245096898021845,NA,0.0437659559435244,NA,0.0352033486718745,NA
"30",0.0133047960059793,1998-04-21,0.00233071245307277,0.00214130434782609,0.0119626460434573,0.0325383170220139,0.00702064096994968,0.0466573278889009,NA,0.12970322748058,NA
