1460,0.1962,3.925,0.06041,0.06223
1461,0.1951,3.978,0.05913,0.0616
1462,0.194,4.03,0.0579,0.06101
1463,0.1931,4.082,0.05671,0.06045
1464,0.1922,4.133,0.05557,0.05992
1465,0.1914,4.183,0.05447,0.05941
1466,0.1906,4.232,0.0534,0.05894
1467,0.1899,4.281,0.05238,0.05849
1468,0.1893,4.329,0.05139,0.05807
1469,0.1888,4.377,0.05043,0.05767
1470,0.1883,4.424,0.04952,0.0573
1471,0.1879,4.47,0.04864,0.05696
1472,0.1876,4.516,0.04779,0.05664
1473,0.1873,4.561,0.04697,0.05634
1474,0.1871,4.606,0.04618,0.05607
1475,0.187,4.651,0.04543,0.05582
1476,0.1827,4.775,0.04368,0.05434
1477,0.1788,4.897,0.04202,0.05296
1478,0.1751,5.016,0.04044,0.05167
1479,0.1717,5.132,0.03894,0.05046
1480,0.1686,5.246,0.03752,0.04933
1481,0.1656,5.357,0.03617,0.04827
1482,0.1629,5.467,0.03488,0.04728
1483,0.1604,5.574,0.03365,0.04634
1484,0.158,5.681,0.03249,0.04546
1485,0.1557,5.785,0.03138,0.04463
1486,0.1536,5.888,0.03032,0.04385
1487,0.1517,5.99,0.02931,0.04311
1488,0.1498,6.091,0.02835,0.04241
1489,0.1481,6.19,0.02743,0.04175
1490,0.1464,6.289,0.02655,0.04113
1491,0.1449,6.386,0.02571,0.04054
1492,0.1435,6.482,0.02491,0.03998
1493,0.1421,6.578,0.02414,0.03946
1494,0.1408,6.673,0.0234,0.03896
1495,0.1396,6.767,0.0227,0.03848
1496,0.1385,6.86,0.02203,0.03803
1497,0.1374,6.953,0.02138,0.03761
1498,0.1364,7.045,0.02076,0.0372
1499,0.1355,7.137,0.02017,0.03682
1500,0.1346,7.228,0.0196,0.03646
1501,0.1338,7.318,0.01905,0.03611
1502,0.133,7.408,0.01852,0.03578
1503,0.1323,7.497,0.01802,0.03548
1504,0.1316,7.586,0.01753,0.03518
1505,0.131,7.675,0.01706,0.03491
1506,0.1315,7.718,0.01676,0.03495
1507,0.1329,7.729,0.01657,0.03521
1508,0.1344,7.74,0.01638,0.03549
1509,0.1359,7.751,0.01621,0.03578
1510,0.1375,7.762,0.01605,0.03607
1511,0.1391,7.772,0.01589,0.03638
1512,0.1408,7.783,0.01575,0.03671
1513,0.1425,7.793,0.01561,0.03705
1514,0.1444,7.804,0.01549,0.0374
1515,0.1462,7.814,0.01537,0.03777
1516,0.1482,7.824,0.01526,0.03815
1517,0.1502,7.835,0.01516,0.03855
1518,0.1523,7.845,0.01507,0.03897
1519,0.1544,7.855,0.01499,0.03941
1520,0.1566,7.864,0.01492,0.03987
1521,0.1589,7.874,0.01486,0.04035
1522,0.1612,7.884,0.01481,0.04085
1523,0.1636,7.893,0.01478,0.04138
1524,0.1661,7.903,0.01475,0.04192
